токен	TF	IDF	TF-IDF
абхазская	0.000321	0.116534	0.000037
австралийская	0.000321	0.116534	0.000037
австрийская	0.000321	0.116534	0.000037
автоклава	0.000321	0.116534	0.000037
автор	0.000641	1.427116	0.000915
авторам	0.000321	0.040822	0.000013
агро	0.000321	0.116534	0.000037
аджика	0.000321	0.040822	0.000013
азербайджанская	0.000321	0.116534	0.000037
азиатская	0.000321	0.127833	0.000041
азы	0.000321	0.127833	0.000041
айран	0.000321	0.040822	0.000013
акватика	0.000962	0.127833	0.000123
аккуратно	0.000321	3.506558	0.001124
алексея	0.000321	0.127833	0.000041
алкоголь	0.000641	0.116534	0.000075
алкогольные	0.000321	0.116534	0.000037
алкоголя	0.000321	0.116534	0.000037
альянс	0.000321	0.116534	0.000037
американская	0.000321	0.116534	0.000037
ананасов	0.000321	3.912023	0.001254
английская	0.000321	0.116534	0.000037
андрея	0.000321	0.127833	0.000041
арабская	0.000321	0.116534	0.000037
аргентинская	0.000321	0.116534	0.000037
армянская	0.000321	0.116534	0.000037
ассорти	0.000641	0.116534	0.000075
атлант	0.000321	0.127833	0.000041
афганская	0.000321	0.116534	0.000037
африканская	0.000321	0.116534	0.000037
аэрогриле	0.003205	0.116534	0.000374
баварски	0.000321	4.605170	0.001476
баклажанная	0.000321	4.605170	0.001476
баклажаны	0.000321	0.040822	0.000013
баков	0.000321	4.605170	0.001476
балтком	0.000321	0.127833	0.000041
баранины	0.001282	0.116534	0.000149
басмати	0.000641	0.127833	0.000082
бастурма	0.000321	0.040822	0.000013
батончики	0.000321	0.127833	0.000041
башкирская	0.000321	0.116534	0.000037
безалкогольные	0.000321	0.116534	0.000037
безглютеновые	0.000641	0.116534	0.000075
безе	0.001282	0.040822	0.000052
белебеевский	0.000641	0.116534	0.000075
белки	0.000641	2.407946	0.001544
белорусская	0.000321	0.116534	0.000037
бельгийская	0.000321	0.116534	0.000037
беременных	0.000321	0.116534	0.000037
беседина	0.000321	0.127833	0.000041
бисквит	0.000321	0.040822	0.000013
бисквитное	0.000641	0.116534	0.000075
бисквитный	0.000321	0.105361	0.000034
бисквиты	0.000321	0.127833	0.000041
биточки	0.000321	1.897120	0.000608
ближе	0.000321	0.116534	0.000037
близких	0.000321	0.116534	0.000037
блинов	0.000641	0.116534	0.000075
блины	0.001282	0.040822	0.000052
блога	0.000321	2.407946	0.000772
блогах	0.000321	2.407946	0.000772
блюд	0.000641	0.094311	0.000060
блюда	0.034615	0.040822	0.001413
блюдо	0.001282	0.040822	0.000052
блюду	0.000321	0.116534	0.000037
бобовые	0.000641	0.127833	0.000082
бобовых	0.003526	0.116534	0.000411
болгарская	0.000321	0.116534	0.000037
больше	0.000962	0.105361	0.000101
большое	0.000321	1.560648	0.000500
большой	0.000321	1.560648	0.000500
борщ	0.000641	0.040822	0.000026
ботвинья	0.000321	0.040822	0.000013
брависсимо	0.000321	4.605170	0.001476
бразильская	0.000321	0.116534	0.000037
браузере	0.000321	0.040822	0.000013
брауни	0.000321	0.040822	0.000013
брест	0.000321	0.127833	0.000041
брокколи	0.000321	0.040822	0.000013
брынзой	0.000321	4.605170	0.001476
буженина	0.000321	0.040822	0.000013
булгуром	0.000321	4.605170	0.001476
булочками	0.000321	0.116534	0.000037
булочки	0.000641	0.040822	0.000026
бульон	0.002244	0.040822	0.000092
бульоны	0.001282	0.116534	0.000149
бургер	0.000321	0.040822	0.000013
бургеры	0.000321	0.127833	0.000041
бурятская	0.000321	0.116534	0.000037
бутерброд	0.000641	0.116534	0.000075
бутерброды	0.000641	0.040822	0.000026
быстро	0.000641	0.094311	0.000060
быстрой	0.000321	0.116534	0.000037
быстрый	0.000641	0.105361	0.000068
важные	0.000321	0.116534	0.000037
валлийская	0.000321	0.116534	0.000037
вареники	0.000321	0.116534	0.000037
варенье	0.000641	0.040822	0.000026
ватрушки	0.000321	0.040822	0.000013
вафли	0.000641	0.040822	0.000026
вашей	0.000641	0.040822	0.000026
ввода	0.000321	2.302585	0.000738
вводя	0.000321	0.040822	0.000013
вдохновение	0.001282	0.116534	0.000149
вдохновением	0.000641	0.116534	0.000075
вдохновляйся	0.000321	0.116534	0.000037
вегетарианские	0.000321	0.127833	0.000041
вегетарианское	0.000641	0.116534	0.000075
великий	0.000321	0.116534	0.000037
великолепно	0.000321	3.506558	0.001124
венгерская	0.000321	0.116534	0.000037
версия	0.000321	2.407946	0.000772
весенние	0.000321	0.051293	0.000016
весна	0.001603	0.116534	0.000187
весны	0.000321	0.116534	0.000037
весом	0.000321	4.605170	0.001476
ветчины	0.000321	0.105361	0.000034
вид	0.000321	2.207275	0.000707
видать	0.000321	4.605170	0.001476
виде	0.002564	1.171183	0.003003
видео	0.000641	0.116534	0.000075
вино	0.000641	0.040822	0.000026
включить	0.000321	3.912023	0.001254
вкус	0.000641	0.105361	0.000068
вкуса	0.002564	0.116534	0.000299
вкусная	0.001282	0.061875	0.000079
вкуснее	0.000641	0.116534	0.000075
вкусней	0.000321	0.116534	0.000037
вкусно	0.001923	0.094311	0.000181
вкусные	0.000641	0.105361	0.000068
вкусом	0.000321	0.105361	0.000034
вкусу	0.000962	1.272966	0.001224
вкусы	0.000641	2.120264	0.001359
влюбленных	0.000321	0.116534	0.000037
вместе	0.000321	0.916291	0.000294
во	0.000321	0.061875	0.000020
воде	0.000321	0.105361	0.000034
войти	0.001282	0.000000	0.000000
волованы	0.000321	0.116534	0.000037
волшебные	0.000321	0.116534	0.000037
волшебство	0.000321	0.116534	0.000037
вопросы	0.000641	0.000000	0.000000
воспользовавшись	0.000321	2.302585	0.000738
восточная	0.000321	0.127833	0.000041
времена	0.000321	0.116534	0.000037
временем	0.001923	0.116534	0.000224
время	0.000962	0.400478	0.000385
всего	0.000321	0.186330	0.000060
всей	0.000962	0.105361	0.000101
всему	0.000321	0.061875	0.000020
вспомнить	0.000321	0.040822	0.000013
вставки	0.000641	2.407946	0.001544
вступайте	0.000321	2.407946	0.000772
второе	0.000641	0.116534	0.000075
вторые	0.000321	0.127833	0.000041
вход	0.000962	0.030459	0.000029
выглядеть	0.000321	2.302585	0.000738
выглядит	0.000321	2.120264	0.000680
выйти	0.000321	0.040822	0.000013
выпечка	0.003846	0.040822	0.000157
выпечки	0.000641	0.072571	0.000047
выпечкой	0.000321	0.116534	0.000037
вырезав	0.000321	4.605170	0.001476
высушить	0.000321	4.605170	0.001476
вьетнамская	0.000321	0.116534	0.000037
гавайская	0.000321	0.116534	0.000037
газовые	0.000321	4.605170	0.001476
гарнир	0.002244	0.040822	0.000092
гаспачо	0.000321	0.040822	0.000013
география	0.000321	0.116534	0.000037
главный	0.000321	0.040822	0.000013
глазурь	0.000962	0.040822	0.000039
глинтвейн	0.000321	0.040822	0.000013
говядины	0.001282	0.116534	0.000149
год	0.002885	0.105361	0.000304
годзилла	0.000321	4.605170	0.001476
голландская	0.000321	0.116534	0.000037
города	0.000321	0.116534	0.000037
горох	0.000321	0.116534	0.000037
горчица	0.000641	0.040822	0.000026
горчицами	0.000321	0.127833	0.000041
горшочках	0.000321	0.105361	0.000034
горшочке	0.000321	0.040822	0.000013
горячее	0.000962	0.116534	0.000112
горячие	0.014423	0.105361	0.001520
горячий	0.000641	0.116534	0.000075
гости	0.000321	0.116534	0.000037
готовил	0.000321	2.659260	0.000852
готовим	0.002244	0.094311	0.000212
готовить	0.001603	0.105361	0.000169
готового	0.000321	2.302585	0.000738
готовь	0.000962	0.116534	0.000112
готовят	0.000321	0.116534	0.000037
градусов	0.000321	2.659260	0.000852
грамм	0.000321	3.912023	0.001254
гренки	0.000641	0.040822	0.000026
греческая	0.000321	0.116534	0.000037
гречка	0.000321	0.040822	0.000013
грибами	0.001282	0.105361	0.000135
грибные	0.000641	0.040822	0.000026
грибов	0.002564	0.116534	0.000299
грибы	0.000962	0.040822	0.000039
гриле	0.001923	0.116534	0.000224
гриль	0.000321	0.116534	0.000037
грильмания	0.000321	0.116534	0.000037
гриля	0.001282	0.116534	0.000149
грог	0.000321	0.040822	0.000013
грудки	0.000321	2.525729	0.000810
грузинская	0.000321	0.116534	0.000037
группу	0.000641	2.407946	0.001544
группы	0.000321	0.061875	0.000020
гурмания	0.001923	0.116534	0.000224
гурме	0.000321	0.127833	0.000041
гуся	0.000641	0.105361	0.000068
дает	0.000321	0.040822	0.000013
данные	0.000321	0.040822	0.000013
дары	0.000321	0.116534	0.000037
датская	0.000321	0.116534	0.000037
дачное	0.000962	0.116534	0.000112
даша	0.000321	3.912023	0.001254
два	0.000321	1.171183	0.000375
декор	0.000321	0.127833	0.000041
делает	0.000641	0.116534	0.000075
делал	0.000321	3.912023	0.001254
делимся	0.000321	0.040822	0.000013
делом	0.000321	0.116534	0.000037
день	0.001603	0.083382	0.000134
деревянные	0.000321	4.605170	0.001476
десерт	0.000962	0.116534	0.000112
десертация	0.000321	0.116534	0.000037
десертные	0.000321	0.116534	0.000037
десерты	0.004487	0.040822	0.000183
десяти	0.000321	3.506558	0.001124
десять	0.000321	2.207275	0.000707
детей	0.000321	0.116534	0.000037
дешёвый	0.000321	4.605170	0.001476
джем	0.000321	0.040822	0.000013
дзен	0.000321	0.116534	0.000037
диета	0.000321	0.116534	0.000037
диеты	0.000321	0.116534	0.000037
дикий	0.000641	0.116534	0.000075
дикого	0.000321	0.116534	0.000037
дип	0.000321	0.116534	0.000037
дичи	0.000641	0.116534	0.000075
дичь	0.000321	0.116534	0.000037
дневниках	0.000321	0.061875	0.000020
дней	0.000962	0.116534	0.000112
дня	0.000321	0.040822	0.000013
добавить	0.000321	1.514128	0.000485
добавлять	0.000321	0.040822	0.000013
добавь	0.000321	0.116534	0.000037
доброфлот	0.000321	0.127833	0.000041
доверяешь	0.000321	0.116534	0.000037
дольки	0.000641	3.912023	0.002508
дом	0.002885	0.040822	0.000118
домашнее	0.000962	0.040822	0.000039
домашние	0.000641	0.040822	0.000026
домашний	0.001603	0.116534	0.000187
домашняя	0.000641	0.105361	0.000068
домов	0.000321	0.040822	0.000013
дорогой	0.000321	3.912023	0.001254
дороже	0.000321	4.605170	0.001476
драйв	0.001603	0.127833	0.000205
дрожжевое	0.000321	0.116534	0.000037
другими	0.001603	0.040822	0.000065
друзьями	0.000321	2.040221	0.000654
духовка	0.001603	0.127833	0.000205
духовке	0.001282	0.867501	0.001112
духовку	0.000321	1.771957	0.000568
души	0.000962	0.105361	0.000101
еврейская	0.000321	0.116534	0.000037
египетская	0.000321	0.116534	0.000037
единый	0.000321	0.040822	0.000013
еко	0.000321	0.127833	0.000041
ел	0.000321	3.218876	0.001032
жареный	0.001923	2.120264	0.004077
жарить	0.001282	1.966113	0.002521
жаркое	0.000321	0.040822	0.000013
желанием	0.000321	4.605170	0.001476
желе	0.000962	0.040822	0.000039
женская	0.000321	0.127833	0.000041
женском	0.000321	0.061875	0.000020
женщины	0.000641	0.116534	0.000075
жизни	0.000321	0.040822	0.000013
жизнь	0.000321	0.116534	0.000037
жиры	0.000641	2.207275	0.001415
жульен	0.000321	0.040822	0.000013
журнала	0.000321	0.127833	0.000041
жюльен	0.000321	0.040822	0.000013
забрала	0.000321	4.605170	0.001476
заварное	0.000321	0.116534	0.000037
заварной	0.000321	0.116534	0.000037
завтрак	0.002244	0.094311	0.000212
завтраки	0.000321	0.127833	0.000041
заготовки	0.001282	0.040822	0.000052
задавать	0.000321	0.040822	0.000013
зайца	0.000641	0.116534	0.000075
закваска	0.000321	0.040822	0.000013
заквасками	0.000321	0.116534	0.000037
заквасок	0.000321	0.127833	0.000041
закрытый	0.000321	0.116534	0.000037
закуска	0.001282	1.347074	0.001727
закуски	0.005769	0.040822	0.000236
закуску	0.001603	0.116534	0.000187
закусончик	0.000321	0.116534	0.000037
закусочка	0.000321	0.116534	0.000037
закусочные	0.002885	0.116534	0.000336
заливное	0.000641	0.040822	0.000026
заморозка	0.000321	0.105361	0.000034
запад	0.000321	0.116534	0.000037
запекания	0.001603	1.560648	0.002501
запеканка	0.001282	0.105361	0.000135
запеканки	0.002244	0.040822	0.000092
