токен	TF	IDF	TF-IDF
абхазская	0.000274	0.116534	0.000032
австралийская	0.000274	0.116534	0.000032
австрийская	0.000274	0.116534	0.000032
автоклава	0.000274	0.116534	0.000032
авторам	0.000274	0.040822	0.000011
автору	0.000274	1.660731	0.000456
агро	0.000274	0.116534	0.000032
аджика	0.000274	0.040822	0.000011
адольфом	0.000274	3.218876	0.000883
ажуре	0.000274	2.525729	0.000693
азербайджанская	0.000274	0.116534	0.000032
азиатская	0.000274	0.127833	0.000035
азы	0.000274	0.127833	0.000035
айран	0.000274	0.040822	0.000011
акватика	0.000823	0.127833	0.000105
акции	0.000274	2.120264	0.000582
алексея	0.000274	0.127833	0.000035
алкоголь	0.000549	0.116534	0.000064
алкогольные	0.000274	0.116534	0.000032
алкоголя	0.000274	0.116534	0.000032
альянс	0.000274	0.116534	0.000032
американская	0.000274	0.116534	0.000032
английская	0.000274	0.116534	0.000032
андрея	0.000274	0.127833	0.000035
анна	0.000274	2.995732	0.000822
анны	0.000274	3.218876	0.000883
аппетитную	0.000274	3.218876	0.000883
апреля	0.000549	0.579818	0.000318
арабская	0.000274	0.116534	0.000032
аргентинская	0.000274	0.116534	0.000032
аризона	0.000274	3.912023	0.001074
армянская	0.000274	0.116534	0.000032
аромат	0.000274	1.660731	0.000456
ассорти	0.000549	0.116534	0.000064
атлант	0.000274	0.127833	0.000035
афганская	0.000274	0.116534	0.000032
африканская	0.000274	0.116534	0.000032
аэрогриле	0.002744	0.116534	0.000320
аэропорту	0.000274	2.525729	0.000693
баклажаны	0.000274	0.040822	0.000011
балтком	0.000274	0.127833	0.000035
баранины	0.001098	0.116534	0.000128
басмати	0.000549	0.127833	0.000070
бастурма	0.000274	0.040822	0.000011
батон	0.000549	1.660731	0.000911
батончики	0.000274	0.127833	0.000035
башкирская	0.000274	0.116534	0.000032
безалкогольные	0.000274	0.116534	0.000032
безглютеновые	0.000274	0.116534	0.000032
безе	0.001098	0.040822	0.000045
безумно	0.000274	1.560648	0.000428
белебеевский	0.000549	0.116534	0.000064
белокочанная	0.000549	0.994252	0.000546
белорусская	0.000274	0.116534	0.000032
белый	0.000549	1.609438	0.000883
бельгийская	0.000274	0.116534	0.000032
беременных	0.000274	0.116534	0.000032
беседина	0.000274	0.127833	0.000035
бизнес	0.000274	2.525729	0.000693
бисквит	0.000274	0.040822	0.000011
бисквитное	0.000549	0.116534	0.000064
бисквитный	0.000274	0.105361	0.000029
бисквиты	0.000274	0.127833	0.000035
благодарна	0.000274	1.660731	0.000456
ближе	0.000274	0.116534	0.000032
близких	0.000274	0.116534	0.000032
блинов	0.000549	0.116534	0.000064
блины	0.001098	0.040822	0.000045
блюд	0.000549	0.094311	0.000052
блюда	0.032656	0.040822	0.001333
блюдо	0.003019	0.040822	0.000123
блюду	0.000823	0.116534	0.000096
бобовые	0.000549	0.127833	0.000070
бобовых	0.001921	0.116534	0.000224
болгарская	0.000274	0.116534	0.000032
болгарский	0.001098	0.843970	0.000926
больше	0.000823	0.105361	0.000087
борт	0.000274	2.525729	0.000693
бортового	0.000274	2.525729	0.000693
борщ	0.000549	0.040822	0.000022
ботвинья	0.000274	0.040822	0.000011
бразильская	0.000274	0.116534	0.000032
браузере	0.000274	0.040822	0.000011
брауни	0.000274	0.040822	0.000011
брест	0.000274	0.127833	0.000035
брокколи	0.000274	0.040822	0.000011
буженина	0.000549	0.040822	0.000022
булочками	0.000274	0.116534	0.000032
булочки	0.000549	0.040822	0.000022
бульон	0.001921	0.040822	0.000078
бульоны	0.001372	0.116534	0.000160
бургер	0.000274	0.040822	0.000011
бургеры	0.000274	0.127833	0.000035
бурятская	0.000274	0.116534	0.000032
бутерброд	0.000549	0.116534	0.000064
бутерброды	0.000549	0.040822	0.000022
быстро	0.000823	0.094311	0.000078
быстрой	0.000274	0.116534	0.000032
быстрый	0.000549	0.105361	0.000058
важные	0.000274	0.116534	0.000032
валлийская	0.000274	0.116534	0.000032
вами	0.000549	0.843970	0.000463
вареники	0.000274	0.116534	0.000032
варенье	0.000549	0.040822	0.000022
вариант	0.000274	0.562119	0.000154
варки	0.000274	2.407946	0.000661
ватерфорд	0.000274	4.605170	0.001264
ватрушки	0.000274	0.040822	0.000011
вафли	0.000549	0.040822	0.000022
вашей	0.000549	0.040822	0.000022
вашему	0.000274	1.560648	0.000428
вводя	0.000274	0.040822	0.000011
вдохновение	0.001098	0.116534	0.000128
вдохновением	0.000549	0.116534	0.000064
вдохновляйся	0.000274	0.116534	0.000032
вегетарианские	0.000274	0.127833	0.000035
вегетарианское	0.000274	0.116534	0.000032
великий	0.000274	0.116534	0.000032
венгерская	0.000274	0.116534	0.000032
вернулись	0.000274	3.218876	0.000883
весенние	0.000274	0.051293	0.000014
весна	0.001372	0.116534	0.000160
весны	0.000274	0.116534	0.000032
ветчина	0.000549	1.469676	0.000807
ветчины	0.000549	0.105361	0.000058
взгляд	0.000274	1.427116	0.000392
видео	0.000549	0.116534	0.000064
видеорецепты	0.000274	0.301105	0.000083
вино	0.000549	0.040822	0.000022
включающих	0.000274	0.634878	0.000174
вкус	0.001372	0.105361	0.000145
вкуса	0.002195	0.116534	0.000256
вкусен	0.000274	1.560648	0.000428
вкусная	0.001098	0.061875	0.000068
вкуснее	0.000549	0.116534	0.000064
вкусней	0.000274	0.116534	0.000032
вкуснейшие	0.000274	2.120264	0.000582
вкусно	0.001921	0.094311	0.000181
вкусное	0.000549	0.994252	0.000546
вкусной	0.000549	1.609438	0.000883
вкуснотищу	0.000274	3.218876	0.000883
вкусные	0.000549	0.105361	0.000058
вкусным	0.000274	1.049822	0.000288
вкусом	0.000549	0.105361	0.000058
влюбились	0.000274	2.120264	0.000582
влюбленных	0.000274	0.116534	0.000032
вначале	0.001098	0.248461	0.000273
вниманию	0.000274	1.609438	0.000442
внутри	0.000549	1.469676	0.000807
во	0.001098	0.061875	0.000068
вода	0.001647	0.287682	0.000474
воде	0.000274	0.105361	0.000029
водой	0.000274	2.525729	0.000693
возможно	0.000274	1.469676	0.000403
возразит	0.000274	3.218876	0.000883
войти	0.000274	0.000000	0.000000
волованы	0.000274	0.116534	0.000032
волшебные	0.000274	0.116534	0.000032
волшебство	0.000274	0.116534	0.000032
вопросы	0.000274	0.000000	0.000000
восторге	0.000274	1.469676	0.000403
восточная	0.000274	0.127833	0.000035
впервые	0.000274	1.560648	0.000428
времена	0.000274	0.116534	0.000032
временем	0.001647	0.116534	0.000192
всегда	0.000274	0.653926	0.000179
всего	0.000549	0.186330	0.000102
всей	0.001098	0.105361	0.000116
всему	0.000274	0.061875	0.000017
вспомнить	0.000274	0.040822	0.000011
второе	0.000274	0.116534	0.000032
вторые	0.000274	0.127833	0.000035
вторых	0.000274	2.407946	0.000661
вход	0.000823	0.030459	0.000025
выглядит	0.000549	2.120264	0.001164
выйти	0.000274	0.040822	0.000011
выпечка	0.003293	0.040822	0.000134
выпечки	0.000549	0.072571	0.000040
выпечкой	0.000274	0.116534	0.000032
выпросила	0.000274	2.525729	0.000693
выручал	0.000274	3.218876	0.000883
выручит	0.000274	3.506558	0.000962
вьетнамская	0.000274	0.116534	0.000032
гавайская	0.000274	0.116534	0.000032
гарнир	0.003019	0.040822	0.000123
гаспачо	0.000274	0.040822	0.000011
география	0.000274	0.116534	0.000032
главный	0.000274	0.040822	0.000011
главных	0.000274	2.995732	0.000822
глазурь	0.000823	0.040822	0.000034
глинтвейн	0.000274	0.040822	0.000011
гнездо	0.000274	2.302585	0.000632
говядины	0.001098	0.116534	0.000128
год	0.003019	0.105361	0.000318
года	0.004391	0.248461	0.001091
году	0.000549	1.171183	0.000643
голландская	0.000274	0.116534	0.000032
города	0.000274	0.116534	0.000032
горох	0.000274	0.116534	0.000032
горчица	0.000549	0.040822	0.000022
горчицами	0.000274	0.127833	0.000035
горшочках	0.000274	0.105361	0.000029
горшочке	0.000274	0.040822	0.000011
горячее	0.001098	0.116534	0.000128
горячие	0.014819	0.105361	0.001561
горячий	0.000549	0.116534	0.000064
гости	0.000549	0.116534	0.000064
готовила	0.000549	0.733969	0.000403
готовили	0.000274	1.560648	0.000428
готовим	0.001647	0.094311	0.000155
готовится	0.000549	0.478036	0.000262
готовить	0.001647	0.105361	0.000173
готовлю	0.000274	1.049822	0.000288
готово	0.000274	2.302585	0.000632
готовь	0.000549	0.116534	0.000064
готовят	0.000823	0.116534	0.000096
готовятся	0.000274	1.660731	0.000456
гренки	0.000549	0.040822	0.000022
греческая	0.000274	0.116534	0.000032
греческим	0.000274	2.525729	0.000693
греческой	0.000274	2.525729	0.000693
гречка	0.000274	0.040822	0.000011
грибами	0.001098	0.105361	0.000116
грибные	0.000549	0.040822	0.000022
грибов	0.001098	0.116534	0.000128
грибы	0.000823	0.040822	0.000034
гриле	0.001372	0.116534	0.000160
гриль	0.000274	0.116534	0.000032
грильмания	0.000274	0.116534	0.000032
гриля	0.001098	0.116534	0.000128
грог	0.000274	0.040822	0.000011
грудка	0.001098	1.108663	0.001217
грузинская	0.000274	0.116534	0.000032
группы	0.000274	0.061875	0.000017
гурмания	0.001647	0.116534	0.000192
гурме	0.000274	0.127833	0.000035
гуся	0.000549	0.105361	0.000058
давно	0.000549	0.967584	0.000531
дает	0.000274	0.040822	0.000011
данные	0.000274	0.040822	0.000011
дано	0.000274	3.218876	0.000883
дары	0.000274	0.116534	0.000032
дате	0.000549	0.248461	0.000136
датская	0.000274	0.116534	0.000032
дачное	0.000823	0.116534	0.000096
два	0.000274	1.171183	0.000321
девяностые	0.000274	3.218876	0.000883
декабря	0.000549	0.597837	0.000328
декор	0.000274	0.127833	0.000035
делает	0.000549	0.116534	0.000064
делается	0.000274	1.347074	0.000370
делала	0.000274	1.469676	0.000403
