токен	TF	IDF	TF-IDF
абрикос	0.000601	4.605170	0.002768
абрикосами	0.000301	3.912023	0.001176
абхазская	0.000301	0.116534	0.000035
австралийская	0.000301	0.116534	0.000035
австрийская	0.000301	0.116534	0.000035
автоклава	0.000301	0.116534	0.000035
авторам	0.000301	0.040822	0.000012
агро	0.000301	0.116534	0.000035
аджика	0.000301	0.040822	0.000012
азербайджанская	0.000301	0.116534	0.000035
азиатская	0.000301	0.127833	0.000038
азию	0.000301	4.605170	0.001384
азы	0.000301	0.127833	0.000038
айран	0.000301	0.040822	0.000012
акватика	0.000902	0.127833	0.000115
алексея	0.000301	0.127833	0.000038
алкоголь	0.000601	0.116534	0.000070
алкогольные	0.000301	0.116534	0.000035
алкоголя	0.000301	0.116534	0.000035
альянс	0.000301	0.116534	0.000035
американская	0.000301	0.116534	0.000035
анастасию	0.000301	4.605170	0.001384
английская	0.000301	0.116534	0.000035
андрея	0.000301	0.127833	0.000038
апельсиновый	0.000301	3.506558	0.001054
апреля	0.000601	0.579818	0.000349
арабская	0.000301	0.116534	0.000035
арахисовая	0.000601	4.605170	0.002768
аргентинская	0.000301	0.116534	0.000035
армянская	0.000301	0.116534	0.000035
ароматные	0.000301	2.207275	0.000663
ароматный	0.000601	2.207275	0.001327
ассорти	0.000601	0.116534	0.000070
атлант	0.000301	0.127833	0.000038
афганская	0.000301	0.116534	0.000035
африканская	0.000301	0.116534	0.000035
аэрогриле	0.003006	0.116534	0.000350
баклажаны	0.000301	0.040822	0.000012
балтком	0.000301	0.127833	0.000038
банан	0.002104	3.218876	0.006773
банановые	0.000601	4.605170	0.002768
банановый	0.000301	3.506558	0.001054
баранины	0.001202	0.116534	0.000140
басмати	0.000601	0.127833	0.000077
бастурма	0.000301	0.040822	0.000012
батончики	0.000301	0.127833	0.000038
башкирская	0.000301	0.116534	0.000035
безалкогольные	0.000301	0.116534	0.000035
безглютеновые	0.000301	0.116534	0.000035
безе	0.001202	0.040822	0.000049
белебеевский	0.000601	0.116534	0.000070
белорусская	0.000301	0.116534	0.000035
бельгийская	0.000301	0.116534	0.000035
беременных	0.000301	0.116534	0.000035
беседина	0.000301	0.127833	0.000038
бисквит	0.000301	0.040822	0.000012
бисквитное	0.000601	0.116534	0.000070
бисквитный	0.000601	0.105361	0.000063
бисквиты	0.000301	0.127833	0.000038
благодарю	0.000301	2.525729	0.000759
ближе	0.000301	0.116534	0.000035
близких	0.000601	0.116534	0.000070
блинов	0.000601	0.116534	0.000070
блины	0.001202	0.040822	0.000049
блоггера	0.000301	4.605170	0.001384
блюд	0.000601	0.094311	0.000057
блюда	0.029155	0.040822	0.001190
блюдо	0.001803	0.040822	0.000074
блюдом	0.000301	0.994252	0.000299
блюду	0.000301	0.116534	0.000035
бобовые	0.000902	0.127833	0.000115
бобовых	0.001803	0.116534	0.000210
болгарская	0.000301	0.116534	0.000035
больше	0.000902	0.105361	0.000095
борщ	0.000601	0.040822	0.000025
ботвинья	0.000301	0.040822	0.000012
бразильская	0.000301	0.116534	0.000035
браузере	0.000301	0.040822	0.000012
брауни	0.000301	0.040822	0.000012
брест	0.000301	0.127833	0.000038
брокколи	0.000301	0.040822	0.000012
буженина	0.000301	0.040822	0.000012
булочками	0.000301	0.116534	0.000035
булочки	0.000601	0.040822	0.000025
бульон	0.002705	0.040822	0.000110
бульоны	0.001202	0.116534	0.000140
бургер	0.000301	0.040822	0.000012
бургеры	0.000301	0.127833	0.000038
бурятская	0.000301	0.116534	0.000035
бутерброд	0.000601	0.116534	0.000070
бутерброды	0.000601	0.040822	0.000025
быстро	0.000601	0.094311	0.000057
быстрой	0.000301	0.116534	0.000035
быстрый	0.000601	0.105361	0.000063
важные	0.000301	0.116534	0.000035
валлийская	0.000301	0.116534	0.000035
ванилин	0.001202	1.609438	0.001935
ваниль	0.001202	3.218876	0.003870
ванильная	0.001202	4.605170	0.005537
вареники	0.000301	0.116534	0.000035
варенье	0.000601	0.040822	0.000025
ватрушки	0.000301	0.040822	0.000012
вафли	0.000601	0.040822	0.000025
вашей	0.000601	0.040822	0.000025
вводя	0.000301	0.040822	0.000012
вдохновение	0.001202	0.116534	0.000140
вдохновением	0.000601	0.116534	0.000070
вдохновляйся	0.000301	0.116534	0.000035
веганские	0.000301	4.605170	0.001384
вегетарианские	0.000301	0.127833	0.000038
вегетарианское	0.000301	0.116534	0.000035
великий	0.000301	0.116534	0.000035
великого	0.000301	3.218876	0.000968
венгерская	0.000301	0.116534	0.000035
версию	0.000301	3.218876	0.000968
весенние	0.000301	0.051293	0.000015
весна	0.001503	0.116534	0.000175
весны	0.000301	0.116534	0.000035
ветчины	0.000301	0.105361	0.000032
взрослых	0.000301	2.995732	0.000900
видео	0.001202	0.116534	0.000140
видеорецепты	0.000301	0.301105	0.000091
вино	0.000601	0.040822	0.000025
включающих	0.000301	0.634878	0.000191
вкус	0.001202	0.105361	0.000127
вкуса	0.002405	0.116534	0.000280
вкусная	0.001202	0.061875	0.000074
вкуснее	0.000601	0.116534	0.000070
вкусней	0.000301	0.116534	0.000035
вкусненького	0.000301	3.912023	0.001176
вкусно	0.001503	0.094311	0.000142
вкусного	0.000301	2.207275	0.000663
вкусные	0.001503	0.105361	0.000158
вкусный	0.000601	0.385662	0.000232
вкусом	0.000902	0.105361	0.000095
вкусу	0.000601	1.272966	0.000765
влюбленных	0.000301	0.116534	0.000035
вначале	0.001202	0.248461	0.000299
во	0.001202	0.061875	0.000074
вода	0.001803	0.287682	0.000519
воде	0.000301	0.105361	0.000032
водка	0.000601	2.302585	0.001384
воздушный	0.000301	2.207275	0.000663
войти	0.000301	0.000000	0.000000
волованы	0.000301	0.116534	0.000035
волшебные	0.000301	0.116534	0.000035
волшебство	0.000301	0.116534	0.000035
вопросы	0.000301	0.000000	0.000000
восточная	0.000301	0.127833	0.000038
вреда	0.000301	3.912023	0.001176
времена	0.000301	0.116534	0.000035
временем	0.001803	0.116534	0.000210
время	0.000301	0.400478	0.000120
всего	0.000601	0.186330	0.000112
