токен	TF	IDF	TF-IDF
абхазская	0.000265	0.116534	0.000031
августа	0.000265	0.867501	0.000230
австралийская	0.000265	0.116534	0.000031
австрийская	0.000265	0.116534	0.000031
автоклава	0.000265	0.116534	0.000031
авторам	0.000265	0.040822	0.000011
агро	0.000265	0.116534	0.000031
аджика	0.000265	0.040822	0.000011
азербайджанская	0.000265	0.116534	0.000031
азиатская	0.000265	0.127833	0.000034
азы	0.000265	0.127833	0.000034
айран	0.000265	0.040822	0.000011
акватика	0.000796	0.127833	0.000102
аккуратно	0.000265	3.506558	0.000930
алексея	0.000265	0.127833	0.000034
алкоголь	0.000531	0.116534	0.000062
алкогольные	0.000265	0.116534	0.000031
алкоголя	0.000265	0.116534	0.000031
альянс	0.000265	0.116534	0.000031
американская	0.000265	0.116534	0.000031
английская	0.000265	0.116534	0.000031
андрея	0.000265	0.127833	0.000034
анкл	0.000265	4.605170	0.001222
апреля	0.000265	0.579818	0.000154
арабская	0.000265	0.116534	0.000031
аргентинская	0.000265	0.116534	0.000031
армянская	0.000265	0.116534	0.000031
ассорти	0.000531	0.116534	0.000062
атлант	0.000265	0.127833	0.000034
афганская	0.000265	0.116534	0.000031
африканская	0.000265	0.116534	0.000031
аэрогриле	0.002653	0.116534	0.000309
баклажан	0.001327	2.207275	0.002928
баклажанов	0.000265	2.659260	0.000706
баклажаны	0.000265	0.040822	0.000011
балтком	0.000265	0.127833	0.000034
банке	0.000265	2.407946	0.000639
баночек	0.000265	3.506558	0.000930
баночки	0.000531	3.912023	0.002076
баранины	0.001061	0.116534	0.000124
басков	0.000265	4.605170	0.001222
басмати	0.000531	0.127833	0.000068
бастурма	0.000265	0.040822	0.000011
батон	0.000531	1.660731	0.000881
батончики	0.000265	0.127833	0.000034
башкирская	0.000265	0.116534	0.000031
безалкогольные	0.000265	0.116534	0.000031
безглютеновые	0.000265	0.116534	0.000031
безе	0.001061	0.040822	0.000043
безобразия	0.000265	2.525729	0.000670
безумно	0.000531	1.560648	0.000828
белебеевский	0.000531	0.116534	0.000062
белокочанная	0.000531	0.994252	0.000528
белорусская	0.000265	0.116534	0.000031
бельгийская	0.000265	0.116534	0.000031
бенс	0.000265	4.605170	0.001222
беременных	0.000265	0.116534	0.000031
беседина	0.000265	0.127833	0.000034
бисквит	0.000265	0.040822	0.000011
бисквитное	0.000531	0.116534	0.000062
бисквитный	0.000265	0.105361	0.000028
бисквиты	0.000265	0.127833	0.000034
благодарность	0.000265	2.813411	0.000746
благополучно	0.000265	3.506558	0.000930
ближе	0.000265	0.116534	0.000031
близких	0.000265	0.116534	0.000031
блинов	0.000531	0.116534	0.000062
блины	0.001061	0.040822	0.000043
блюд	0.000531	0.094311	0.000050
блюда	0.026532	0.040822	0.001083
блюдам	0.000531	2.813411	0.001493
блюдо	0.001061	0.040822	0.000043
блюду	0.000265	0.116534	0.000031
бобовые	0.000531	0.127833	0.000068
бобовых	0.001592	0.116534	0.000186
болгарская	0.000265	0.116534	0.000031
болгарский	0.008756	0.843970	0.007389
болезнь	0.000265	3.506558	0.000930
больно	0.000265	1.966113	0.000522
больше	0.000796	0.105361	0.000084
большой	0.000265	1.560648	0.000414
бооооольшим	0.000265	3.218876	0.000854
борщ	0.000531	0.040822	0.000022
ботвинья	0.000265	0.040822	0.000011
бразильская	0.000265	0.116534	0.000031
браузере	0.000265	0.040822	0.000011
брауни	0.000265	0.040822	0.000011
брест	0.000265	0.127833	0.000034
брокколи	0.000265	0.040822	0.000011
буженина	0.000265	0.040822	0.000011
булочками	0.000265	0.116534	0.000031
булочки	0.000531	0.040822	0.000022
бульон	0.002388	0.040822	0.000097
бульоны	0.001592	0.116534	0.000186
бургер	0.000265	0.040822	0.000011
бургеры	0.000265	0.127833	0.000034
бурятская	0.000265	0.116534	0.000031
бутерброд	0.000531	0.116534	0.000062
