токен	TF	IDF	TF-IDF
абхазская	0.000277	0.116534	0.000032
августа	0.000277	0.867501	0.000240
австралийская	0.000277	0.116534	0.000032
австрийская	0.000277	0.116534	0.000032
автоклава	0.000277	0.116534	0.000032
автора	0.000553	2.407946	0.001332
авторам	0.000277	0.040822	0.000011
агро	0.000277	0.116534	0.000032
аджика	0.000277	0.040822	0.000011
ажуре	0.000277	2.525729	0.000699
азербайджанская	0.000277	0.116534	0.000032
азиатская	0.000277	0.127833	0.000035
азу	0.000277	2.813411	0.000778
азы	0.000277	0.127833	0.000035
айран	0.000277	0.040822	0.000011
акватика	0.000830	0.127833	0.000106
акции	0.000277	2.120264	0.000587
алексея	0.000277	0.127833	0.000035
алкоголь	0.000553	0.116534	0.000064
алкогольные	0.000277	0.116534	0.000032
алкоголя	0.000277	0.116534	0.000032
альянс	0.000277	0.116534	0.000032
американская	0.000277	0.116534	0.000032
американски	0.000277	2.995732	0.000829
английская	0.000277	0.116534	0.000032
андрея	0.000277	0.127833	0.000035
аппетитнейшем	0.000277	3.506558	0.000970
апреля	0.000277	0.579818	0.000160
арабская	0.000277	0.116534	0.000032
аргентинская	0.000277	0.116534	0.000032
армянская	0.000277	0.116534	0.000032
ароматная	0.000277	1.832581	0.000507
ароматнее	0.000277	3.506558	0.000970
ароматом	0.000277	1.514128	0.000419
ассорти	0.000553	0.116534	0.000064
атлант	0.000277	0.127833	0.000035
афганская	0.000277	0.116534	0.000032
африканская	0.000277	0.116534	0.000032
аэрогриле	0.002766	0.116534	0.000322
аэропорту	0.000277	2.525729	0.000699
баклажаны	0.000277	0.040822	0.000011
балтком	0.000277	0.127833	0.000035
баранины	0.001107	0.116534	0.000129
басмати	0.000553	0.127833	0.000071
бастурма	0.000277	0.040822	0.000011
батончики	0.000277	0.127833	0.000035
башкирская	0.000277	0.116534	0.000032
бедро	0.000553	2.302585	0.001274
бедрышки	0.000277	3.506558	0.000970
безалкогольные	0.000277	0.116534	0.000032
безглютеновые	0.000277	0.116534	0.000032
безе	0.001107	0.040822	0.000045
безо	0.000277	3.506558	0.000970
белебеевский	0.000553	0.116534	0.000064
белого	0.000277	3.218876	0.000890
белорусская	0.000277	0.116534	0.000032
белый	0.000277	1.609438	0.000445
бельгийская	0.000277	0.116534	0.000032
беременных	0.000277	0.116534	0.000032
беседина	0.000277	0.127833	0.000035
бефстроганов	0.000277	2.995732	0.000829
бешбармак	0.000277	3.506558	0.000970
биа	0.000277	2.995732	0.000829
бизнес	0.000277	2.525729	0.000699
бисквит	0.000277	0.040822	0.000011
бисквитное	0.000553	0.116534	0.000064
бисквитный	0.000277	0.105361	0.000029
бисквиты	0.000277	0.127833	0.000035
биточки	0.000277	1.897120	0.000525
благодарна	0.000277	1.660731	0.000459
ближе	0.000277	0.116534	0.000032
близких	0.000277	0.116534	0.000032
блинов	0.000553	0.116534	0.000064
блины	0.001107	0.040822	0.000045
блиц	0.000553	2.207275	0.001221
блюд	0.000553	0.094311	0.000052
блюда	0.040664	0.040822	0.001660
блюдо	0.003043	0.040822	0.000124
блюдом	0.000277	0.994252	0.000275
блюду	0.000277	0.116534	0.000032
бобовые	0.000553	0.127833	0.000071
бобовых	0.001660	0.116534	0.000193
болгарская	0.000277	0.116534	0.000032
больше	0.001107	0.105361	0.000117
большое	0.000277	1.560648	0.000432
борт	0.000277	2.525729	0.000699
бортового	0.000277	2.525729	0.000699
борщ	0.000553	0.040822	0.000023
ботвинья	0.000277	0.040822	0.000011
бразильская	0.000277	0.116534	0.000032
браузере	0.000277	0.040822	0.000011
брауни	0.000277	0.040822	0.000011
брест	0.000277	0.127833	0.000035
бризоль	0.000277	2.659260	0.000736
брокколи	0.000277	0.040822	0.000011
буженина	0.000277	0.040822	0.000011
булочками	0.000277	0.116534	0.000032
булочки	0.000553	0.040822	0.000023
бульон	0.003043	0.040822	0.000124
бульоны	0.001107	0.116534	0.000129
бургер	0.000277	0.040822	0.000011
бургеры	0.000277	0.127833	0.000035
бурятская	0.000277	0.116534	0.000032
бутерброд	0.000553	0.116534	0.000064
бутерброды	0.000553	0.040822	0.000023
быстренько	0.000277	3.218876	0.000890
быстро	0.000830	0.094311	0.000078
быстрое	0.000277	2.525729	0.000699
быстрой	0.000277	0.116534	0.000032
быстрый	0.000553	0.105361	0.000058
важные	0.000277	0.116534	0.000032
валлийская	0.000277	0.116534	0.000032
вами	0.000830	0.843970	0.000700
вареники	0.000277	0.116534	0.000032
варенье	0.000553	0.040822	0.000023
вариант	0.000830	0.562119	0.000466
варианте	0.000277	2.659260	0.000736
варианты	0.000277	1.609438	0.000445
вариаций	0.000277	3.218876	0.000890
ватрушки	0.000277	0.040822	0.000011
вафли	0.000553	0.040822	0.000023
