токен	TF	IDF	TF-IDF
абхазская	0.000290	0.116534	0.000034
августа	0.000290	0.867501	0.000252
австралийская	0.000290	0.116534	0.000034
австрийская	0.000290	0.116534	0.000034
автоклава	0.000290	0.116534	0.000034
авторам	0.000290	0.040822	0.000012
агро	0.000290	0.116534	0.000034
аджика	0.000290	0.040822	0.000012
азербайджанская	0.000290	0.116534	0.000034
азиатская	0.000290	0.127833	0.000037
азы	0.000290	0.127833	0.000037
айран	0.000290	0.040822	0.000012
акватика	0.000871	0.127833	0.000111
активного	0.000290	3.912023	0.001136
алексея	0.000290	0.127833	0.000037
алкоголь	0.000581	0.116534	0.000068
алкогольные	0.000290	0.116534	0.000034
алкоголя	0.000290	0.116534	0.000034
альянс	0.000290	0.116534	0.000034
американская	0.000290	0.116534	0.000034
американски	0.000290	2.995732	0.000870
английская	0.000290	0.116534	0.000034
андрея	0.000290	0.127833	0.000037
апреля	0.000871	0.579818	0.000505
арабская	0.000290	0.116534	0.000034
аргентинская	0.000290	0.116534	0.000034
армянская	0.000290	0.116534	0.000034
ароматные	0.000290	2.207275	0.000641
ассорти	0.000581	0.116534	0.000068
атлант	0.000290	0.127833	0.000037
афганская	0.000290	0.116534	0.000034
африканская	0.000290	0.116534	0.000034
аэрогриле	0.002904	0.116534	0.000338
бабич	0.000290	1.514128	0.000440
баклажаны	0.000290	0.040822	0.000012
балтком	0.000290	0.127833	0.000037
баранины	0.001162	0.116534	0.000135
басмати	0.000581	0.127833	0.000074
бастурма	0.000871	0.040822	0.000036
батончики	0.000290	0.127833	0.000037
башкирская	0.000290	0.116534	0.000034
безалкогольные	0.000290	0.116534	0.000034
безвреднее	0.000290	3.506558	0.001018
безглютеновые	0.000290	0.116534	0.000034
безе	0.001162	0.040822	0.000047
безумно	0.000290	1.560648	0.000453
белебеевский	0.000581	0.116534	0.000068
белокочанная	0.000581	0.994252	0.000578
белорусская	0.000290	0.116534	0.000034
бельгийская	0.000290	0.116534	0.000034
беляшей	0.000290	4.605170	0.001338
беляши	0.000581	3.506558	0.002037
беременных	0.000290	0.116534	0.000034
беседина	0.000290	0.127833	0.000037
бисквит	0.000290	0.040822	0.000012
бисквитное	0.000581	0.116534	0.000068
бисквитный	0.000290	0.105361	0.000031
бисквиты	0.000290	0.127833	0.000037
благодаря	0.000290	1.897120	0.000551
ближе	0.000290	0.116534	0.000034
близких	0.000290	0.116534	0.000034
блинов	0.000581	0.116534	0.000068
блины	0.001162	0.040822	0.000047
блюд	0.000581	0.094311	0.000055
блюда	0.031078	0.040822	0.001269
блюдо	0.001743	0.040822	0.000071
блюдом	0.000290	0.994252	0.000289
блюду	0.000290	0.116534	0.000034
бобовые	0.000581	0.127833	0.000074
бобовых	0.002033	0.116534	0.000237
болгарская	0.000290	0.116534	0.000034
болгарский	0.001162	0.843970	0.000981
больше	0.000581	0.105361	0.000061
большинство	0.000290	2.407946	0.000699
борщ	0.000581	0.040822	0.000024
ботвинья	0.000290	0.040822	0.000012
боунд	0.000290	3.912023	0.001136
бразильская	0.000290	0.116534	0.000034
браузере	0.000290	0.040822	0.000012
брауни	0.000290	0.040822	0.000012
брест	0.000290	0.127833	0.000037
брок	0.000290	3.912023	0.001136
брокколи	0.000290	0.040822	0.000012
будете	0.000290	2.302585	0.000669
буженина	0.000581	0.040822	0.000024
булочками	0.000290	0.116534	0.000034
булочки	0.000581	0.040822	0.000024
бульон	0.003776	0.040822	0.000154
бульоны	0.001743	0.116534	0.000203
бургер	0.000290	0.040822	0.000012
бургеры	0.000290	0.127833	0.000037
бурятская	0.000290	0.116534	0.000034
бутерброд	0.000581	0.116534	0.000068
бутербродов	0.000290	2.813411	0.000817
бутерброды	0.000871	0.040822	0.000036
быстро	0.000581	0.094311	0.000055
быстрой	0.000290	0.116534	0.000034
быстрый	0.000581	0.105361	0.000061
важные	0.000290	0.116534	0.000034
валлийская	0.000290	0.116534	0.000034
