токен	TF	IDF	TF-IDF
абхазская	0.000281	0.116534	0.000033
австралийская	0.000281	0.116534	0.000033
австрийская	0.000281	0.116534	0.000033
автоклава	0.000281	0.116534	0.000033
авторам	0.000281	0.040822	0.000011
агро	0.000281	0.116534	0.000033
аджика	0.000281	0.040822	0.000011
азербайджанская	0.000281	0.116534	0.000033
азиатская	0.000281	0.127833	0.000036
азы	0.000281	0.127833	0.000036
айран	0.000281	0.040822	0.000011
акватика	0.000843	0.127833	0.000108
алексея	0.000281	0.127833	0.000036
алкоголь	0.000562	0.116534	0.000066
алкогольные	0.000281	0.116534	0.000033
алкоголя	0.000281	0.116534	0.000033
альянс	0.000281	0.116534	0.000033
американская	0.000281	0.116534	0.000033
английская	0.000281	0.116534	0.000033
андрея	0.000281	0.127833	0.000036
ане	0.000281	4.605170	0.001294
апреля	0.000281	0.579818	0.000163
арабская	0.000281	0.116534	0.000033
аргентинская	0.000281	0.116534	0.000033
армянская	0.000281	0.116534	0.000033
аромат	0.000281	1.660731	0.000467
ароматы	0.000281	2.659260	0.000747
ассорти	0.000562	0.116534	0.000066
атлант	0.000281	0.127833	0.000036
афганская	0.000281	0.116534	0.000033
африканская	0.000281	0.116534	0.000033
аэрогриле	0.002811	0.116534	0.000328
базилик	0.000562	1.609438	0.000905
баклажаны	0.000281	0.040822	0.000011
балтком	0.000281	0.127833	0.000036
баранины	0.001124	0.116534	0.000131
басмати	0.000562	0.127833	0.000072
бастурма	0.000281	0.040822	0.000011
батон	0.000562	1.660731	0.000934
батончики	0.000281	0.127833	0.000036
башкирская	0.000281	0.116534	0.000033
бедро	0.000562	2.302585	0.001294
безалкогольные	0.000281	0.116534	0.000033
безглютеновые	0.000281	0.116534	0.000033
безе	0.001124	0.040822	0.000046
белебеевский	0.000562	0.116534	0.000066
белок	0.000562	2.120264	0.001192
белорусская	0.000281	0.116534	0.000033
бельгийская	0.000281	0.116534	0.000033
беременных	0.000281	0.116534	0.000033
беседина	0.000281	0.127833	0.000036
бисквит	0.000281	0.040822	0.000011
бисквитное	0.000562	0.116534	0.000066
бисквитный	0.000281	0.105361	0.000030
бисквиты	0.000281	0.127833	0.000036
ближе	0.000281	0.116534	0.000033
близких	0.000281	0.116534	0.000033
блинов	0.000562	0.116534	0.000066
блины	0.001124	0.040822	0.000046
блюд	0.000562	0.094311	0.000053
блюда	0.031478	0.040822	0.001285
блюдо	0.001686	0.040822	0.000069
блюду	0.000281	0.116534	0.000033
бобовые	0.000562	0.127833	0.000072
бобовых	0.001686	0.116534	0.000197
болгарская	0.000281	0.116534	0.000033
болгарский	0.000562	0.843970	0.000474
больше	0.000562	0.105361	0.000059
большой	0.000281	1.560648	0.000439
бомба	0.000281	3.506558	0.000986
борщ	0.000562	0.040822	0.000023
ботвинья	0.000281	0.040822	0.000011
бразильская	0.000281	0.116534	0.000033
браузере	0.000281	0.040822	0.000011
брауни	0.000281	0.040822	0.000011
брест	0.000281	0.127833	0.000036
брокколи	0.000281	0.040822	0.000011
брызг	0.000281	2.659260	0.000747
буду	0.000281	1.427116	0.000401
буженина	0.000281	0.040822	0.000011
булочками	0.000281	0.116534	0.000033
булочки	0.000562	0.040822	0.000023
бульон	0.001967	0.040822	0.000080
бульоны	0.001124	0.116534	0.000131
бургер	0.000281	0.040822	0.000011
бургеры	0.000281	0.127833	0.000036
бурятская	0.000281	0.116534	0.000033
бутерброд	0.000562	0.116534	0.000066
бутерброды	0.000562	0.040822	0.000023
быстро	0.000562	0.094311	0.000053
быстрого	0.000281	2.995732	0.000842
быстрой	0.000281	0.116534	0.000033
быстрому	0.000281	2.813411	0.000791
быстрый	0.000562	0.105361	0.000059
важно	0.000281	4.605170	0.001294
важные	0.000281	0.116534	0.000033
валентинов	0.000281	4.605170	0.001294
валлийская	0.000281	0.116534	0.000033
вареная	0.000281	3.506558	0.000986
вареники	0.000281	0.116534	0.000033
вареной	0.000281	3.218876	0.000905
варенье	0.000562	0.040822	0.000023
вариант	0.000562	0.562119	0.000316
варианта	0.000281	2.659260	0.000747
вариантов	0.000281	2.120264	0.000596
ватрушки	0.000281	0.040822	0.000011
вафли	0.000562	0.040822	0.000023
вашей	0.000562	0.040822	0.000023
вашему	0.000281	1.560648	0.000439
вводя	0.000281	0.040822	0.000011
вдохновение	0.001124	0.116534	0.000131
вдохновением	0.000562	0.116534	0.000066
вдохновляйся	0.000281	0.116534	0.000033
вегетарианские	0.000281	0.127833	0.000036
вегетарианское	0.000281	0.116534	0.000033
великий	0.000281	0.116534	0.000033
венгерская	0.000281	0.116534	0.000033
