токен	TF	IDF	TF-IDF
автор	0.006410	1.427116	0.009148
авторам	0.005342	0.040822	0.000218
аджика	0.001068	0.040822	0.000044
айран	0.001068	0.040822	0.000044
акчуч	0.004274	2.995732	0.012802
алекс	0.007479	4.605170	0.034440
александер	0.001068	3.506558	0.003746
алсу	0.002137	4.605170	0.009840
английски	0.003205	3.912023	0.012539
англичане	0.001068	4.605170	0.004920
апельсиновый	0.001068	3.506558	0.003746
апельсиновым	0.001068	4.605170	0.004920
аппетитной	0.001068	3.912023	0.004180
аппетитных	0.002137	4.605170	0.009840
артемовск	0.001068	4.605170	0.004920
артемовске	0.001068	4.605170	0.004920
ася	0.001068	3.218876	0.003439
баклажаны	0.001068	0.040822	0.000044
балконом	0.001068	2.302585	0.002460
бастет	0.001068	4.605170	0.004920
бастурма	0.001068	0.040822	0.000044
безе	0.001068	0.040822	0.000044
беседки	0.001068	4.605170	0.004920
бисквит	0.001068	0.040822	0.000044
благодарю	0.004274	2.525729	0.010794
благоухать	0.001068	4.605170	0.004920
блины	0.001068	0.040822	0.000044
блог	0.001068	4.605170	0.004920
блоги	0.001068	4.605170	0.004920
блюд	0.002137	0.094311	0.000202
блюда	0.003205	0.040822	0.000131
блюдо	0.002137	0.040822	0.000087
блюменталя	0.001068	4.605170	0.004920
бодрого	0.001068	4.605170	0.004920
большое	0.011752	1.560648	0.018341
большой	0.002137	1.560648	0.003335
борщ	0.001068	0.040822	0.000044
ботвинья	0.001068	0.040822	0.000044
браузере	0.001068	0.040822	0.000044
брауни	0.001068	0.040822	0.000044
брокколи	0.001068	0.040822	0.000044
бронзовую	0.001068	4.605170	0.004920
буженина	0.001068	0.040822	0.000044
булочки	0.001068	0.040822	0.000044
бульон	0.001068	0.040822	0.000044
бургер	0.001068	0.040822	0.000044
бутерброды	0.001068	0.040822	0.000044
быстренько	0.001068	3.218876	0.003439
варенье	0.001068	0.040822	0.000044
вариант	0.001068	0.562119	0.000601
варю	0.001068	3.912023	0.004180
ватрушки	0.001068	0.040822	0.000044
вафли	0.001068	0.040822	0.000044
вашей	0.002137	0.040822	0.000087
вводя	0.001068	0.040822	0.000044
веке	0.001068	3.912023	0.004180
венчала	0.001068	4.605170	0.004920
вернули	0.001068	4.605170	0.004920
весенние	0.001068	0.051293	0.000055
веточек	0.001068	4.605170	0.004920
ветчинные	0.001068	4.605170	0.004920
ветчину	0.001068	4.605170	0.004920
вешенки	0.001068	4.605170	0.004920
взвешивала	0.001068	4.605170	0.004920
вино	0.001068	0.040822	0.000044
витаминных	0.001068	4.605170	0.004920
виченце	0.001068	4.605170	0.004920
вкусная	0.001068	0.061875	0.000066
вкусно	0.002137	0.094311	0.000202
вкусной	0.001068	1.609438	0.001719
вкусный	0.002137	0.385662	0.000824
вкусных	0.003205	1.897120	0.006081
вместе	0.001068	0.916291	0.000979
вначале	0.001068	0.248461	0.000265
во	0.001068	0.061875	0.000066
водой	0.001068	2.525729	0.002698
войти	0.001068	0.000000	0.000000
вопросы	0.001068	0.000000	0.000000
воспользоваться	0.001068	3.506558	0.003746
всегда	0.002137	0.653926	0.001397
всего	0.001068	0.186330	0.000199
всей	0.004274	0.105361	0.000450
всему	0.001068	0.061875	0.000066
вспомнить	0.001068	0.040822	0.000044
встречу	0.002137	4.605170	0.009840
вход	0.003205	0.030459	0.000098
выйти	0.001068	0.040822	0.000044
выпечка	0.002137	0.040822	0.000087
выпечки	0.001068	0.072571	0.000078
выражение	0.002137	4.605170	0.009840
выражением	0.001068	4.605170	0.004920
выражения	0.001068	4.605170	0.004920
высшему	0.001068	4.605170	0.004920
вяленая	0.001068	3.912023	0.004180
газ	0.001068	4.605170	0.004920
гарнир	0.001068	0.040822	0.000044
гаспачо	0.001068	0.040822	0.000044
главный	0.001068	0.040822	0.000044
гладь	0.001068	4.605170	0.004920
