токен	TF	IDF	TF-IDF
абхазская	0.000325	0.116534	0.000038
австралийская	0.000325	0.116534	0.000038
австрийская	0.000325	0.116534	0.000038
автоклава	0.000325	0.116534	0.000038
авторам	0.000325	0.040822	0.000013
агро	0.000325	0.116534	0.000038
аджика	0.000325	0.040822	0.000013
азербайджанская	0.000325	0.116534	0.000038
азиатская	0.000325	0.127833	0.000042
азы	0.000325	0.127833	0.000042
айран	0.000325	0.040822	0.000013
акватика	0.000974	0.127833	0.000125
алексея	0.000325	0.127833	0.000042
алкоголь	0.000650	0.116534	0.000076
алкогольные	0.000325	0.116534	0.000038
алкоголя	0.000325	0.116534	0.000038
альянс	0.000325	0.116534	0.000038
американская	0.000325	0.116534	0.000038
английская	0.000325	0.116534	0.000038
андрея	0.000325	0.127833	0.000042
аппетита	0.000325	2.659260	0.000864
арабская	0.000325	0.116534	0.000038
аргентинская	0.000325	0.116534	0.000038
армянская	0.000325	0.116534	0.000038
ассорти	0.000650	0.116534	0.000076
атлант	0.000325	0.127833	0.000042
афганская	0.000325	0.116534	0.000038
африканская	0.000325	0.116534	0.000038
аэрогриле	0.003248	0.116534	0.000378
баклажаны	0.000325	0.040822	0.000013
балтком	0.000325	0.127833	0.000042
банке	0.000325	2.407946	0.000782
баранины	0.001299	0.116534	0.000151
басмати	0.000650	0.127833	0.000083
бастурма	0.000325	0.040822	0.000013
батончики	0.000325	0.127833	0.000042
башкирская	0.000325	0.116534	0.000038
безалкогольные	0.000325	0.116534	0.000038
безглютеновые	0.000325	0.116534	0.000038
безе	0.001299	0.040822	0.000053
белебеевский	0.000650	0.116534	0.000076
белки	0.000974	2.407946	0.002346
белорусская	0.000325	0.116534	0.000038
белые	0.000325	3.218876	0.001045
бельгийская	0.000325	0.116534	0.000038
беременных	0.000325	0.116534	0.000038
беседина	0.000325	0.127833	0.000042
беспорядок	0.000325	4.605170	0.001496
бисквит	0.000325	0.040822	0.000013
бисквитное	0.000650	0.116534	0.000076
бисквитный	0.000325	0.105361	0.000034
бисквиты	0.000325	0.127833	0.000042
ближе	0.000325	0.116534	0.000038
близких	0.000325	0.116534	0.000038
блинов	0.000650	0.116534	0.000076
блины	0.001299	0.040822	0.000053
блога	0.000325	2.407946	0.000782
блогах	0.000325	2.407946	0.000782
блюд	0.000650	0.094311	0.000061
блюда	0.035076	0.040822	0.001432
блюдо	0.002598	0.040822	0.000106
блюду	0.000325	0.116534	0.000038
бобовые	0.000650	0.127833	0.000083
бобовых	0.001949	0.116534	0.000227
болгарская	0.000325	0.116534	0.000038
болгарский	0.001299	0.843970	0.001096
больше	0.000974	0.105361	0.000103
борщ	0.000650	0.040822	0.000027
ботвинья	0.000325	0.040822	0.000013
бразильская	0.000325	0.116534	0.000038
браузере	0.000325	0.040822	0.000013
брауни	0.000325	0.040822	0.000013
брест	0.000325	0.127833	0.000042
брокколи	0.000325	0.040822	0.000013
буженина	0.000325	0.040822	0.000013
булочками	0.000325	0.116534	0.000038
булочки	0.000650	0.040822	0.000027
бульон	0.002273	0.040822	0.000093
бульоны	0.001299	0.116534	0.000151
бургер	0.000325	0.040822	0.000013
бургеры	0.000325	0.127833	0.000042
бурятская	0.000325	0.116534	0.000038
бутерброд	0.000650	0.116534	0.000076
бутерброды	0.000650	0.040822	0.000027
быстро	0.000325	0.094311	0.000031
быстрой	0.000325	0.116534	0.000038
быстрый	0.000650	0.105361	0.000068
важную	0.001299	3.912023	0.005082
важные	0.000325	0.116534	0.000038
валлийская	0.000325	0.116534	0.000038
вареники	0.000325	0.116534	0.000038
варенье	0.000650	0.040822	0.000027
вариации	0.001299	2.813411	0.003655
ватрушки	0.000325	0.040822	0.000013
вафли	0.000650	0.040822	0.000027
вашей	0.000650	0.040822	0.000027
ввода	0.000325	2.302585	0.000748
вводя	0.000325	0.040822	0.000013
вдохновение	0.001299	0.116534	0.000151
вдохновением	0.000650	0.116534	0.000076
вдохновляйся	0.000325	0.116534	0.000038
вегетарианские	0.000325	0.127833	0.000042
вегетарианское	0.000325	0.116534	0.000038
великий	0.000325	0.116534	0.000038
венгерская	0.000325	0.116534	0.000038
версия	0.000325	2.407946	0.000782
весенние	0.000325	0.051293	0.000017
весна	0.001624	0.116534	0.000189
весны	0.000325	0.116534	0.000038
ветчины	0.000325	0.105361	0.000034
взбитые	0.000325	4.605170	0.001496
видео	0.000650	0.116534	0.000076
вино	0.000650	0.040822	0.000027
вкус	0.000650	0.105361	0.000068
вкуса	0.002598	0.116534	0.000303
вкусная	0.001299	0.061875	0.000080
вкуснее	0.000650	0.116534	0.000076
вкусней	0.000325	0.116534	0.000038
вкусно	0.000974	0.094311	0.000092
вкусное	0.001299	0.994252	0.001292
вкусные	0.000650	0.105361	0.000068
вкусом	0.000325	0.105361	0.000034
вкусы	0.000650	2.120264	0.001377
влить	0.000325	3.218876	0.001045
влюбленных	0.000325	0.116534	0.000038
вместе	0.000325	0.916291	0.000298
во	0.000325	0.061875	0.000020
вода	0.001299	0.287682	0.000374
воде	0.000325	0.105361	0.000034
воду	0.000325	3.218876	0.001045
войти	0.001299	0.000000	0.000000
волованы	0.000325	0.116534	0.000038
волшебные	0.000325	0.116534	0.000038
волшебство	0.000325	0.116534	0.000038
вопросы	0.000650	0.000000	0.000000
воспользовавшись	0.000325	2.302585	0.000748
восточная	0.000325	0.127833	0.000042
времена	0.000325	0.116534	0.000038
временем	0.001949	0.116534	0.000227
время	0.000325	0.400478	0.000130
всей	0.000974	0.105361	0.000103
всему	0.000325	0.061875	0.000020
вспомнить	0.000325	0.040822	0.000013
вставки	0.000650	2.407946	0.001564
вступайте	0.000325	2.407946	0.000782
второе	0.000650	0.116534	0.000076
вторые	0.000325	0.127833	0.000042
вход	0.000974	0.030459	0.000030
выглядеть	0.000325	2.302585	0.000748
выйти	0.000325	0.040822	0.000013
выложить	0.000650	2.302585	0.001496
выпечка	0.003897	0.040822	0.000159
выпечки	0.000650	0.072571	0.000047
выпечкой	0.000325	0.116534	0.000038
высвободив	0.000325	4.605170	0.001496
выше	0.000325	3.912023	0.001271
вьетнамская	0.000325	0.116534	0.000038
гавайская	0.000325	0.116534	0.000038
гаражом	0.000325	1.078810	0.000350
гарнир	0.001624	0.040822	0.000066
гаспачо	0.000325	0.040822	0.000013
география	0.000325	0.116534	0.000038
главный	0.000325	0.040822	0.000013
глазурь	0.000974	0.040822	0.000040
глинтвейн	0.000325	0.040822	0.000013
говядины	0.001299	0.116534	0.000151
год	0.006820	0.105361	0.000719
голландская	0.000325	0.116534	0.000038
города	0.000325	0.116534	0.000038
горох	0.000325	0.116534	0.000038
горчица	0.000650	0.040822	0.000027
горчицами	0.000325	0.127833	0.000042
горшочках	0.000325	0.105361	0.000034
горшочке	0.000325	0.040822	0.000013
горячее	0.000974	0.116534	0.000114
горячие	0.014615	0.105361	0.001540
горячий	0.000650	0.116534	0.000076
гости	0.001949	0.116534	0.000227
готовим	0.001949	0.094311	0.000184
готовить	0.002273	0.105361	0.000240
готового	0.000325	2.302585	0.000748
готовы	0.000325	2.407946	0.000782
готовые	0.000325	3.218876	0.001045
готовь	0.000650	0.116534	0.000076
готовят	0.000325	0.116534	0.000038
гренки	0.000650	0.040822	0.000027
греческая	0.000325	0.116534	0.000038
гречка	0.000325	0.040822	0.000013
грибами	0.001624	0.105361	0.000171
грибные	0.000650	0.040822	0.000027
грибов	0.000974	0.116534	0.000114
грибы	0.000974	0.040822	0.000040
гриле	0.001624	0.116534	0.000189
гриль	0.000325	0.116534	0.000038
грильмания	0.000325	0.116534	0.000038
гриля	0.001299	0.116534	0.000151
грог	0.000325	0.040822	0.000013
грузинская	0.000325	0.116534	0.000038
группу	0.000650	2.407946	0.001564
группы	0.000325	0.061875	0.000020
гурмания	0.001949	0.116534	0.000227
гурме	0.000325	0.127833	0.000042
гуся	0.000650	0.105361	0.000068
дает	0.000325	0.040822	0.000013
данные	0.000325	0.040822	0.000013
дары	0.000325	0.116534	0.000038
датская	0.000325	0.116534	0.000038
дачное	0.000974	0.116534	0.000114
две	0.000325	2.525729	0.000820
декор	0.000325	0.127833	0.000042
делает	0.000650	0.116534	0.000076
делимся	0.000325	0.040822	0.000013
делом	0.000325	0.116534	0.000038
день	0.001624	0.083382	0.000135
десерт	0.000974	0.116534	0.000114
десертация	0.000325	0.116534	0.000038
десертные	0.000325	0.116534	0.000038
десерты	0.004547	0.040822	0.000186
десять	0.000325	2.207275	0.000717
детей	0.000325	0.116534	0.000038
джем	0.000325	0.040822	0.000013
дзен	0.000325	0.116534	0.000038
диета	0.000325	0.116534	0.000038
диеты	0.000325	0.116534	0.000038
дикий	0.000650	0.116534	0.000076
дикого	0.000325	0.116534	0.000038
дип	0.000325	0.116534	0.000038
дичи	0.000650	0.116534	0.000076
дичь	0.000325	0.116534	0.000038
дневниках	0.000325	0.061875	0.000020
дней	0.000974	0.116534	0.000114
дну	0.000325	2.813411	0.000914
