токен	TF	IDF	TF-IDF
аббатства	0.000562	4.605170	0.002589
абхазская	0.000281	0.116534	0.000033
августа	0.000562	0.867501	0.000488
австралийская	0.000281	0.116534	0.000033
австрийская	0.000281	0.116534	0.000033
автоклава	0.000281	0.116534	0.000033
автора	0.000281	2.407946	0.000677
авторам	0.000281	0.040822	0.000011
агро	0.000281	0.116534	0.000033
аджика	0.000281	0.040822	0.000011
азербайджанская	0.000281	0.116534	0.000033
азиатская	0.000281	0.127833	0.000036
азы	0.000281	0.127833	0.000036
айран	0.000281	0.040822	0.000011
акватика	0.000843	0.127833	0.000108
акрон	0.000281	4.605170	0.001295
алексея	0.000281	0.127833	0.000036
алиго	0.000843	4.605170	0.003884
алкоголь	0.000562	0.116534	0.000066
алкогольные	0.000281	0.116534	0.000033
алкоголя	0.000281	0.116534	0.000033
альянс	0.000281	0.116534	0.000033
американская	0.000281	0.116534	0.000033
анастасии	0.000281	4.605170	0.001295
английская	0.000281	0.116534	0.000033
андрея	0.000281	0.127833	0.000036
арабская	0.000281	0.116534	0.000033
аргентинская	0.000281	0.116534	0.000033
армянская	0.000281	0.116534	0.000033
ароматно	0.000281	2.659260	0.000748
ароматную	0.000281	3.506558	0.000986
архива	0.000281	4.605170	0.001295
ассорти	0.000562	0.116534	0.000066
атлант	0.000281	0.127833	0.000036
афганская	0.000281	0.116534	0.000033
африканская	0.000281	0.116534	0.000033
аэрогриле	0.002811	0.116534	0.000328
базилик	0.001687	1.609438	0.002715
баклажан	0.000562	2.207275	0.001241
баклажаны	0.000281	0.040822	0.000011
балтком	0.000281	0.127833	0.000036
баранины	0.001125	0.116534	0.000131
басмати	0.000562	0.127833	0.000072
бастурма	0.000281	0.040822	0.000011
батончики	0.000281	0.127833	0.000036
башкирская	0.000281	0.116534	0.000033
безалкогольные	0.000281	0.116534	0.000033
безглютеновые	0.000281	0.116534	0.000033
безе	0.001125	0.040822	0.000046
безумия	0.000281	4.605170	0.001295
бекон	0.000562	1.966113	0.001105
беконом	0.000281	2.995732	0.000842
белебеевский	0.000562	0.116534	0.000066
белорусская	0.000281	0.116534	0.000033
бельгийская	0.000281	0.116534	0.000033
беременных	0.000281	0.116534	0.000033
беседина	0.000281	0.127833	0.000036
бисквит	0.000281	0.040822	0.000011
бисквитное	0.000562	0.116534	0.000066
бисквитный	0.000281	0.105361	0.000030
бисквиты	0.000281	0.127833	0.000036
блату	0.000281	3.506558	0.000986
ближе	0.000281	0.116534	0.000033
близких	0.000281	0.116534	0.000033
блинов	0.000562	0.116534	0.000066
блины	0.001125	0.040822	0.000046
блюд	0.000562	0.094311	0.000053
блюда	0.031206	0.040822	0.001274
блюдо	0.002530	0.040822	0.000103
блюду	0.000281	0.116534	0.000033
бобовые	0.000562	0.127833	0.000072
бобовых	0.001968	0.116534	0.000229
болгарская	0.000281	0.116534	0.000033
болгарский	0.001687	0.843970	0.001424
больше	0.000562	0.105361	0.000059
большим	0.000281	3.218876	0.000905
бомба	0.000281	3.506558	0.000986
борщ	0.000562	0.040822	0.000023
ботвинья	0.000281	0.040822	0.000011
бразильская	0.000281	0.116534	0.000033
брат	0.000281	3.912023	0.001100
брать	0.000281	2.659260	0.000748
браузере	0.000281	0.040822	0.000011
брауни	0.000281	0.040822	0.000011
брест	0.000281	0.127833	0.000036
брокколи	0.000281	0.040822	0.000011
будни	0.000281	3.506558	0.000986
буду	0.000281	1.427116	0.000401
буженина	0.000281	0.040822	0.000011
булочками	0.000281	0.116534	0.000033
булочки	0.000562	0.040822	0.000023
бульон	0.001968	0.040822	0.000080
бульоны	0.001125	0.116534	0.000131
бургер	0.000281	0.040822	0.000011
бургеры	0.000281	0.127833	0.000036
бурятская	0.000281	0.116534	0.000033
бутерброд	0.000562	0.116534	0.000066
бутерброды	0.000562	0.040822	0.000023
быстро	0.000843	0.094311	0.000080
быстрое	0.000281	2.525729	0.000710
быстрой	0.000281	0.116534	0.000033
быстрый	0.000562	0.105361	0.000059
важные	0.000562	0.116534	0.000066
валлийская	0.000281	0.116534	0.000033
вареники	0.000281	0.116534	0.000033
варенье	0.000562	0.040822	0.000023
вариант	0.000281	0.562119	0.000158
ватрушки	0.000281	0.040822	0.000011
вафли	0.000562	0.040822	0.000023
ваш	0.000281	1.309333	0.000368
ваша	0.000281	4.605170	0.001295
вашей	0.000562	0.040822	0.000023
вводя	0.000281	0.040822	0.000011
вдохновение	0.001125	0.116534	0.000131
вдохновением	0.000562	0.116534	0.000066
вдохновляйся	0.000281	0.116534	0.000033
вегетарианские	0.000281	0.127833	0.000036
вегетарианское	0.000281	0.116534	0.000033
великий	0.000281	0.116534	0.000033
великого	0.000281	3.218876	0.000905
венгерская	0.000281	0.116534	0.000033
венерик	0.000843	2.120264	0.001788
весенние	0.000281	0.051293	0.000014
весна	0.001406	0.116534	0.000164
весны	0.000281	0.116534	0.000033
ветчина	0.000562	1.469676	0.000826
ветчины	0.000281	0.105361	0.000030
вечном	0.000281	4.605170	0.001295
взрослым	0.000281	3.912023	0.001100
виде	0.000281	1.171183	0.000329
видео	0.000562	0.116534	0.000066
видеорецепты	0.000281	0.301105	0.000085
вино	0.000562	0.040822	0.000023
включающих	0.000281	0.634878	0.000178
вкус	0.000843	0.105361	0.000089
вкуса	0.002249	0.116534	0.000262
вкусная	0.001406	0.061875	0.000087
вкуснее	0.000562	0.116534	0.000066
вкусней	0.000281	0.116534	0.000033
вкусно	0.002249	0.094311	0.000212
вкусного	0.000281	2.207275	0.000621
вкусное	0.000843	0.994252	0.000839
вкусной	0.000281	1.609438	0.000452
вкусную	0.000281	2.207275	0.000621
вкусные	0.000562	0.105361	0.000059
вкусный	0.000281	0.385662	0.000108
вкусом	0.000562	0.105361	0.000059
вкусу	0.000562	1.272966	0.000716
влюбленных	0.000281	0.116534	0.000033
вначале	0.001125	0.248461	0.000279
во	0.001687	0.061875	0.000104
вода	0.001687	0.287682	0.000485
воде	0.000281	0.105361	0.000030
войти	0.000281	0.000000	0.000000
волованы	0.000281	0.116534	0.000033
волшебные	0.000281	0.116534	0.000033
волшебство	0.000281	0.116534	0.000033
вопросы	0.000281	0.000000	0.000000
воспользоваться	0.000281	3.506558	0.000986
восточная	0.000281	0.127833	0.000036
впечатлением	0.000281	4.605170	0.001295
времена	0.000562	0.116534	0.000066
временем	0.001687	0.116534	0.000197
времени	0.000281	0.967584	0.000272
всего	0.000281	0.186330	0.000052
всей	0.000843	0.105361	0.000089
всему	0.000281	0.061875	0.000017
вспомнить	0.000281	0.040822	0.000011
встретила	0.000281	4.605170	0.001295
второе	0.000281	0.116534	0.000033
вторые	0.000281	0.127833	0.000036
вторых	0.000281	2.407946	0.000677
вход	0.000843	0.030459	0.000026
выбрасывать	0.000281	3.912023	0.001100
выжившие	0.000281	4.605170	0.001295
выйти	0.000281	0.040822	0.000011
выкладываю	0.000281	2.407946	0.000677
выпечка	0.005904	0.040822	0.000241
выпечки	0.000562	0.072571	0.000041
выпечкой	0.000281	0.116534	0.000033
выручалочка	0.000281	1.560648	0.000439
выходным	0.000281	4.605170	0.001295
вьетнамская	0.000281	0.116534	0.000033
вяленые	0.000562	2.995732	0.001684
гавайская	0.000281	0.116534	0.000033
гарнир	0.001406	0.040822	0.000057
гаспачо	0.000281	0.040822	0.000011
гениальные	0.000281	4.605170	0.001295
география	0.000281	0.116534	0.000033
гибель	0.000281	4.605170	0.001295
главное	0.000562	1.139434	0.000641
главный	0.000281	0.040822	0.000011
глазурь	0.000843	0.040822	0.000034
глинтвейн	0.000281	0.040822	0.000011
глубинке	0.000281	4.605170	0.001295
говядины	0.001125	0.116534	0.000131
год	0.002530	0.105361	0.000267
года	0.004217	0.248461	0.001048
голландская	0.000281	0.116534	0.000033
голландский	0.000562	1.966113	0.001105
города	0.000281	0.116534	0.000033
горох	0.000281	0.116534	0.000033
горчица	0.001125	0.040822	0.000046
горчицами	0.000281	0.127833	0.000036
горшочках	0.000281	0.105361	0.000030
горшочке	0.000281	0.040822	0.000011
горячее	0.000562	0.116534	0.000066
горячие	0.013213	0.105361	0.001392
горячий	0.000562	0.116534	0.000066
гости	0.000281	0.116534	0.000033
готов	0.000281	2.207275	0.000621
готовила	0.000281	0.733969	0.000206
готовим	0.001687	0.094311	0.000159
готовится	0.000843	0.478036	0.000403
готовить	0.001406	0.105361	0.000148
готовлю	0.000281	1.049822	0.000295
готовь	0.000562	0.116534	0.000066
готовят	0.000281	0.116534	0.000033
гренки	0.000562	0.040822	0.000023
грех	0.000281	4.605170	0.001295
греческая	0.000281	0.116534	0.000033
гречка	0.000281	0.040822	0.000011
грибами	0.001687	0.105361	0.000178
грибные	0.000562	0.040822	0.000023
грибов	0.001125	0.116534	0.000131
грибы	0.001406	0.040822	0.000057
гриле	0.001406	0.116534	0.000164
гриль	0.000281	0.116534	0.000033
грильмания	0.000281	0.116534	0.000033
гриля	0.001125	0.116534	0.000131
грог	0.000281	0.040822	0.000011
грудки	0.000281	2.525729	0.000710
грудок	0.000281	3.912023	0.001100
грузинская	0.000281	0.116534	0.000033
группы	0.000281	0.061875	0.000017
гурмания	0.001687	0.116534	0.000197
гурме	0.000281	0.127833	0.000036
гуся	0.000562	0.105361	0.000059
давать	0.000281	3.218876	0.000905
давно	0.000562	0.967584	0.000544
дает	0.000281	0.040822	0.000011
данные	0.000281	0.040822	0.000011
дары	0.000281	0.116534	0.000033
дате	0.000562	0.248461	0.000140
датская	0.000281	0.116534	0.000033
дачное	0.000843	0.116534	0.000098
два	0.000281	1.171183	0.000329
двери	0.000281	4.605170	0.001295
дегустацией	0.000281	4.605170	0.001295
декор	0.000281	0.127833	0.000036
делает	0.000562	0.116534	0.000066
делать	0.000281	1.386294	0.000390
делаю	0.000281	1.386294	0.000390
делимся	0.000281	0.040822	0.000011
делом	0.000281	0.116534	0.000033
день	0.001406	0.083382	0.000117
держащих	0.000281	4.605170	0.001295
десерт	0.000843	0.116534	0.000098
десертация	0.000281	0.116534	0.000033
десертные	0.000281	0.116534	0.000033
десерты	0.003936	0.040822	0.000161
детей	0.000281	0.116534	0.000033
детишкам	0.000281	3.912023	0.001100
дж	0.000281	4.605170	0.001295
джем	0.000281	0.040822	0.000011
дзен	0.000281	0.116534	0.000033
диета	0.000281	0.116534	0.000033
диеты	0.000562	0.116534	0.000066
дикий	0.000562	0.116534	0.000066
дикого	0.000281	0.116534	0.000033
дип	0.000281	0.116534	0.000033
дичи	0.000562	0.116534	0.000066
дичь	0.000281	0.116534	0.000033
дневниках	0.000281	0.061875	0.000017
дней	0.000843	0.116534	0.000098
дня	0.000281	0.040822	0.000011
добавлениям	0.000281	0.274437	0.000077
добавлять	0.000281	0.040822	0.000011
добавь	0.000281	0.116534	0.000033
доброфлот	0.000281	0.127833	0.000036
доверяешь	0.000281	0.116534	0.000033
довольно	0.000281	1.609438	0.000452
долго	0.000281	1.514128	0.000426
дом	0.002530	0.040822	0.000103
домашнее	0.000843	0.040822	0.000034
домашние	0.000562	0.040822	0.000023
домашний	0.001968	0.116534	0.000229
домашняя	0.000562	0.105361	0.000059
домов	0.000281	0.040822	0.000011
дорогу	0.000281	2.995732	0.000842
доставшийся	0.000281	4.605170	0.001295
достижениями	0.000281	4.605170	0.001295
драйв	0.001406	0.127833	0.000180
дрожжевое	0.000843	0.116534	0.000098
дрожжи	0.002811	0.941609	0.002647
другими	0.000281	0.040822	0.000011
другого	0.000281	2.813411	0.000791
друзей	0.000281	1.514128	0.000426
духовка	0.001125	0.127833	0.000144
духовке	0.000281	0.867501	0.000244
души	0.000843	0.105361	0.000089
еврейская	0.000281	0.116534	0.000033
египетская	0.000281	0.116534	0.000033
единый	0.000281	0.040822	0.000011
еко	0.000281	0.127833	0.000036
жаль	0.000281	3.218876	0.000905
жаркое	0.000281	0.040822	0.000011
ждать	0.000281	3.912023	0.001100
желе	0.000843	0.040822	0.000034
желток	0.000562	1.272966	0.000716
женская	0.000281	0.127833	0.000036
женском	0.000281	0.061875	0.000017
женщины	0.000562	0.116534	0.000066
жестокие	0.000281	4.605170	0.001295
жизни	0.000281	0.040822	0.000011
жизнь	0.000281	0.116534	0.000033
жульен	0.000281	0.040822	0.000011
журнала	0.000281	0.127833	0.000036
жюльен	0.000281	0.040822	0.000011
заварное	0.000281	0.116534	0.000033
заварной	0.000281	0.116534	0.000033
завтрак	0.001968	0.094311	0.000186
завтраки	0.000281	0.127833	0.000036
заготовки	0.001125	0.040822	0.000046
задавать	0.000281	0.040822	0.000011
зайца	0.000562	0.116534	0.000066
закваска	0.000281	0.040822	0.000011
заквасками	0.000281	0.116534	0.000033
заквасок	0.000281	0.127833	0.000036
закрытый	0.000281	0.116534	0.000033
закуски	0.005060	0.040822	0.000207
закуску	0.000843	0.116534	0.000098
закусончик	0.000281	0.116534	0.000033
закусочка	0.000281	0.116534	0.000033
закусочные	0.002530	0.116534	0.000295
заливное	0.000562	0.040822	0.000023
замерзшие	0.000281	4.605170	0.001295
замесила	0.000281	4.605170	0.001295
замечательный	0.000281	1.514128	0.000426
заморозка	0.000281	0.105361	0.000030
заносы	0.000281	4.605170	0.001295
заодно	0.000281	3.506558	0.000986
запад	0.000281	0.116534	0.000033
запеканка	0.001687	0.105361	0.000178
запеканки	0.002249	0.040822	0.000092
запеченных	0.000281	4.605170	0.001295
заправка	0.000562	0.040822	0.000023
зарегистрировавшись	0.000281	0.040822	0.000011
зарегистрироваться	0.000281	0.030459	0.000009
засолка	0.000281	0.116534	0.000033
заставила	0.000281	3.912023	0.001100
званый	0.000281	0.127833	0.000036
звезда	0.000281	0.127833	0.000036
звёздные	0.000281	0.116534	0.000033
здоровое	0.000281	0.116534	0.000033
здоровый	0.000281	0.116534	0.000033
зелень	0.000843	0.094311	0.000080
зефир	0.000281	0.040822	0.000011
зимние	0.000281	0.051293	0.000014
зиму	0.001125	0.040822	0.000046
золотая	0.000281	0.116534	0.000033
иакова	0.000281	4.605170	0.001295
иванова	0.000281	0.127833	0.000036
идеальная	0.000281	0.116534	0.000033
идеального	0.001406	0.116534	0.000164
идеальное	0.000281	0.116534	0.000033
идейки	0.000281	0.116534	0.000033
изделия	0.002249	0.116534	0.000262
изделиями	0.000843	0.116534	0.000098
измученные	0.000281	4.605170	0.001295
изобретено	0.000281	4.605170	0.001295
икра	0.000843	0.040822	0.000034
именем	0.000281	0.040822	0.000011
инверторной	0.000281	0.127833	0.000036
ингредиенты	0.008434	0.139262	0.001175
индейка	0.000562	3.218876	0.001810
индейки	0.002249	0.094311	0.000212
индейкой	0.000281	0.116534	0.000033
индийская	0.000281	0.116534	0.000033
индилайт	0.000843	0.116534	0.000098
индиресные	0.000281	0.116534	0.000033
инструкциями	0.000281	0.040822	0.000011
интернета	0.000281	1.771957	0.000498
интернете	0.000281	1.309333	0.000368
иракская	0.000281	0.116534	0.000033
иранская	0.000281	0.116534	0.000033
ирландская	0.000281	0.116534	0.000033
искренне	0.000281	0.116534	0.000033
исландская	0.000281	0.116534	0.000033
испанию	0.000281	4.605170	0.001295
испанская	0.000281	0.116534	0.000033
испеки	0.000281	0.116534	0.000033
испытания	0.000281	4.605170	0.001295
истории	0.001406	0.116534	0.000164
историю	0.000281	0.116534	0.000033
итак	0.000281	1.609438	0.000452
италии	0.000562	0.105361	0.000059
итальянская	0.000281	0.116534	0.000033
итальянский	0.000281	2.995732	0.000842
итальянской	0.000281	3.506558	0.000986
итальянцы	0.000281	3.218876	0.000905
июля	0.000281	0.597837	0.000168
йогурт	0.001406	0.040822	0.000057
кабачки	0.000281	0.040822	0.000011
кабачок	0.000562	1.771957	0.000996
кавказская	0.000281	0.116534	0.000033
кажется	0.000281	1.714798	0.000482
казане	0.000281	0.116534	0.000033
казахская	0.000281	0.116534	0.000033
какао	0.000562	0.040822	0.000023
калейдоскоп	0.001125	0.116534	0.000131
калмыцкая	0.000281	0.116534	0.000033
кальмар	0.000281	0.040822	0.000011
камера	0.000281	0.116534	0.000033
канадская	0.000281	0.116534	0.000033
канал	0.000562	0.040822	0.000023
канале	0.000281	0.040822	0.000011
канапе	0.000562	0.040822	0.000023
каннеллони	0.001125	3.912023	0.004399
каперсы	0.000562	2.525729	0.001420
капуста	0.000562	0.040822	0.000023
капустняк	0.000281	0.040822	0.000011
капусты	0.000281	0.040822	0.000011
карамель	0.000281	0.040822	0.000011
каркасный	0.001125	0.116534	0.000131
картофелем	0.000562	2.813411	0.001582
картофель	0.001968	0.040822	0.000080
картофельно	0.000281	2.995732	0.000842
картофельное	0.000281	0.040822	0.000011
картофельный	0.000281	0.116534	0.000033
