токен	TF	IDF	TF-IDF
абхазская	0.000279	0.116534	0.000033
августа	0.000279	0.867501	0.000242
австралийская	0.000279	0.116534	0.000033
австрийская	0.000279	0.116534	0.000033
автоклава	0.000279	0.116534	0.000033
автора	0.000558	2.407946	0.001344
авторам	0.000279	0.040822	0.000011
агро	0.000279	0.116534	0.000033
аджика	0.000279	0.040822	0.000011
азербайджанская	0.000279	0.116534	0.000033
азиатская	0.000279	0.127833	0.000036
азу	0.000279	2.813411	0.000785
азы	0.000279	0.127833	0.000036
айран	0.000279	0.040822	0.000011
акватика	0.000837	0.127833	0.000107
акции	0.000279	2.120264	0.000592
алексея	0.000279	0.127833	0.000036
алкоголь	0.000558	0.116534	0.000065
алкогольные	0.000279	0.116534	0.000033
алкоголя	0.000279	0.116534	0.000033
альянс	0.000279	0.116534	0.000033
американская	0.000279	0.116534	0.000033
американски	0.000279	2.995732	0.000836
английская	0.000279	0.116534	0.000033
андрея	0.000279	0.127833	0.000036
аппетитнейшем	0.000279	3.506558	0.000978
апреля	0.000279	0.579818	0.000162
арабская	0.000279	0.116534	0.000033
аргентинская	0.000279	0.116534	0.000033
армянская	0.000279	0.116534	0.000033
аромат	0.000279	1.660731	0.000463
ароматная	0.000279	1.832581	0.000511
ароматнее	0.000279	3.506558	0.000978
ароматом	0.000279	1.514128	0.000422
ассорти	0.000558	0.116534	0.000065
атлант	0.000279	0.127833	0.000036
афганская	0.000279	0.116534	0.000033
африканская	0.000279	0.116534	0.000033
аэрогриле	0.002790	0.116534	0.000325
аэропорту	0.000279	2.525729	0.000705
базилик	0.000558	1.609438	0.000898
баклажаны	0.000279	0.040822	0.000011
балтком	0.000279	0.127833	0.000036
баранины	0.001116	0.116534	0.000130
басмати	0.000558	0.127833	0.000071
бастурма	0.000279	0.040822	0.000011
батончики	0.000279	0.127833	0.000036
башкирская	0.000279	0.116534	0.000033
бедро	0.000558	2.302585	0.001285
бедрышки	0.000279	3.506558	0.000978
безалкогольные	0.000279	0.116534	0.000033
безглютеновые	0.000279	0.116534	0.000033
безе	0.001116	0.040822	0.000046
безо	0.000279	3.506558	0.000978
белебеевский	0.000558	0.116534	0.000065
белого	0.000279	3.218876	0.000898
белорусская	0.000279	0.116534	0.000033
белый	0.000279	1.609438	0.000449
бельгийская	0.000279	0.116534	0.000033
беременных	0.000279	0.116534	0.000033
беседина	0.000279	0.127833	0.000036
бефстроганов	0.000279	2.995732	0.000836
бешбармак	0.000279	3.506558	0.000978
биа	0.000279	2.995732	0.000836
бизнес	0.000279	2.525729	0.000705
бисквит	0.000279	0.040822	0.000011
бисквитное	0.000558	0.116534	0.000065
бисквитный	0.000279	0.105361	0.000029
бисквиты	0.000279	0.127833	0.000036
биточки	0.000279	1.897120	0.000529
благодарна	0.000279	1.660731	0.000463
ближе	0.000279	0.116534	0.000033
близких	0.000279	0.116534	0.000033
блинов	0.000558	0.116534	0.000065
блины	0.001116	0.040822	0.000046
блиц	0.000558	2.207275	0.001232
блюд	0.000558	0.094311	0.000053
блюда	0.039621	0.040822	0.001617
блюдо	0.002790	0.040822	0.000114
блюдом	0.000279	0.994252	0.000277
блюду	0.000279	0.116534	0.000033
бобовые	0.000558	0.127833	0.000071
бобовых	0.001674	0.116534	0.000195
болгарская	0.000279	0.116534	0.000033
больше	0.001116	0.105361	0.000118
большое	0.000279	1.560648	0.000435
борт	0.000279	2.525729	0.000705
бортового	0.000279	2.525729	0.000705
борщ	0.000558	0.040822	0.000023
ботвинья	0.000279	0.040822	0.000011
бразильская	0.000279	0.116534	0.000033
браузере	0.000279	0.040822	0.000011
брауни	0.000279	0.040822	0.000011
брест	0.000279	0.127833	0.000036
бризоль	0.000279	2.659260	0.000742
брокколи	0.000279	0.040822	0.000011
буженина	0.000279	0.040822	0.000011
булочками	0.000279	0.116534	0.000033
булочки	0.000558	0.040822	0.000023
бульон	0.003069	0.040822	0.000125
бульоны	0.001116	0.116534	0.000130
бургер	0.000279	0.040822	0.000011
бургеры	0.000279	0.127833	0.000036
бурятская	0.000279	0.116534	0.000033
бутерброд	0.000558	0.116534	0.000065
бутерброды	0.000558	0.040822	0.000023
быстренько	0.000279	3.218876	0.000898
быстро	0.000558	0.094311	0.000053
быстрое	0.000279	2.525729	0.000705
быстрой	0.000279	0.116534	0.000033
быстрый	0.000558	0.105361	0.000059
важные	0.000279	0.116534	0.000033
валлийская	0.000279	0.116534	0.000033
вами	0.000837	0.843970	0.000706
вареники	0.000279	0.116534	0.000033
варенье	0.000558	0.040822	0.000023
вариант	0.000558	0.562119	0.000314
варианте	0.000279	2.659260	0.000742
вариаций	0.000279	3.218876	0.000898
ватрушки	0.000279	0.040822	0.000011
вафли	0.000558	0.040822	0.000023
вашей	0.000558	0.040822	0.000023
вводя	0.000279	0.040822	0.000011
вдохновение	0.001116	0.116534	0.000130
вдохновением	0.000558	0.116534	0.000065
вдохновляйся	0.000279	0.116534	0.000033
вегетарианские	0.000279	0.127833	0.000036
вегетарианское	0.000279	0.116534	0.000033
