токен	TF	IDF	TF-IDF
абхазская	0.000260	0.116534	0.000030
австралийская	0.000260	0.116534	0.000030
австрийская	0.000260	0.116534	0.000030
автоклава	0.000260	0.116534	0.000030
автор	0.000260	1.427116	0.000371
авторам	0.000260	0.040822	0.000011
агро	0.000260	0.116534	0.000030
адаптировала	0.000260	3.506558	0.000911
аджика	0.000260	0.040822	0.000011
азербайджанская	0.000260	0.116534	0.000030
азиатская	0.000260	0.127833	0.000033
азы	0.000260	0.127833	0.000033
айран	0.000260	0.040822	0.000011
акватика	0.000779	0.127833	0.000100
алексея	0.000260	0.127833	0.000033
алкоголь	0.000519	0.116534	0.000061
алкогольные	0.000260	0.116534	0.000030
алкоголя	0.000260	0.116534	0.000030
альп	0.000519	4.605170	0.002392
альянс	0.000260	0.116534	0.000030
американская	0.000260	0.116534	0.000030
английская	0.000260	0.116534	0.000030
английский	0.000779	3.218876	0.002508
андрея	0.000260	0.127833	0.000033
аппетита	0.000260	2.659260	0.000691
апреля	0.000260	0.579818	0.000151
арабская	0.000260	0.116534	0.000030
аргентинская	0.000260	0.116534	0.000030
армянская	0.000260	0.116534	0.000030
аромат	0.000260	1.660731	0.000431
аромата	0.000260	3.218876	0.000836
ароматные	0.000260	2.207275	0.000573
ассорти	0.000519	0.116534	0.000061
ася	0.000260	3.218876	0.000836
атлант	0.000260	0.127833	0.000033
афганская	0.000260	0.116534	0.000030
африканская	0.000260	0.116534	0.000030
аэрогриле	0.002597	0.116534	0.000303
баварских	0.000519	4.605170	0.002392
баварском	0.000260	4.605170	0.001196
бад	0.000260	4.605170	0.001196
баклажаны	0.000260	0.040822	0.000011
балтком	0.000260	0.127833	0.000033
баранины	0.001039	0.116534	0.000121
басмати	0.000519	0.127833	0.000066
бастурма	0.000260	0.040822	0.000011
батончики	0.000260	0.127833	0.000033
башкирская	0.000260	0.116534	0.000030
безалкогольные	0.000260	0.116534	0.000030
безглютеновые	0.000260	0.116534	0.000030
бездрожжевое	0.000519	2.659260	0.001381
безе	0.001039	0.040822	0.000042
безразмерная	0.000260	4.605170	0.001196
бекон	0.000519	1.966113	0.001021
белебеевский	0.000519	0.116534	0.000061
белокочанная	0.001039	0.994252	0.001033
белорусская	0.000260	0.116534	0.000030
бельгийская	0.000260	0.116534	0.000030
беременных	0.000260	0.116534	0.000030
берил	0.000260	4.605170	0.001196
беседина	0.000260	0.127833	0.000033
бесподобные	0.000260	4.605170	0.001196
бешамель	0.000260	2.813411	0.000731
бисквит	0.000260	0.040822	0.000011
бисквитное	0.000519	0.116534	0.000061
бисквитный	0.000260	0.105361	0.000027
бисквиты	0.000260	0.127833	0.000033
бисмарка	0.000260	4.605170	0.001196
бисмарку	0.000260	4.605170	0.001196
ближе	0.000260	0.116534	0.000030
близких	0.000260	0.116534	0.000030
блинами	0.000260	3.218876	0.000836
блинов	0.000519	0.116534	0.000061
блины	0.001558	0.040822	0.000064
блюд	0.000779	0.094311	0.000073
блюда	0.025714	0.040822	0.001050
блюдо	0.002078	0.040822	0.000085
блюду	0.000260	0.116534	0.000030
бобовые	0.000519	0.127833	0.000066
бобовых	0.001558	0.116534	0.000182
болгарская	0.000260	0.116534	0.000030
больше	0.000519	0.105361	0.000055
большинство	0.000260	2.407946	0.000625
борщ	0.000519	0.040822	0.000021
ботвинья	0.000260	0.040822	0.000011
бразильская	0.000260	0.116534	0.000030
брать	0.000260	2.659260	0.000691
браузере	0.000260	0.040822	0.000011
брауни	0.000260	0.040822	0.000011
брест	0.000260	0.127833	0.000033
брокколи	0.000260	0.040822	0.000011
буду	0.000519	1.427116	0.000741
буженина	0.000260	0.040822	0.000011
булочками	0.000260	0.116534	0.000030
булочки	0.000519	0.040822	0.000021
бульон	0.004156	0.040822	0.000170
бульонные	0.000260	4.605170	0.001196
бульоны	0.002078	0.116534	0.000242
бургер	0.000260	0.040822	0.000011
бургеры	0.000260	0.127833	0.000033
бурятская	0.000260	0.116534	0.000030
бутерброд	0.000519	0.116534	0.000061
бутерброды	0.000519	0.040822	0.000021
бывают	0.000260	2.995732	0.000778
быстро	0.000779	0.094311	0.000073
быстрой	0.000260	0.116534	0.000030
быстрый	0.000519	0.105361	0.000055
важные	0.000260	0.116534	0.000030
