токен	TF	IDF	TF-IDF
абхазская	0.000300	0.116534	0.000035
австралийская	0.000300	0.116534	0.000035
австрийская	0.000300	0.116534	0.000035
автоклава	0.000300	0.116534	0.000035
авторам	0.000300	0.040822	0.000012
агро	0.000300	0.116534	0.000035
аджика	0.001198	0.040822	0.000049
аджикой	0.000300	4.605170	0.001380
адыгейская	0.000300	4.605170	0.001380
азербайджанская	0.000300	0.116534	0.000035
азиатская	0.000300	0.127833	0.000038
азы	0.000300	0.127833	0.000038
айран	0.000300	0.040822	0.000012
акватика	0.000899	0.127833	0.000115
алексей	0.000300	4.605170	0.001380
алексея	0.000300	0.127833	0.000038
алкоголь	0.000599	0.116534	0.000070
алкогольные	0.000300	0.116534	0.000035
алкоголя	0.000300	0.116534	0.000035
альянс	0.000300	0.116534	0.000035
американская	0.000300	0.116534	0.000035
ананас	0.000599	2.995732	0.001795
ананасами	0.000300	4.605170	0.001380
ананасов	0.000300	3.912023	0.001172
английская	0.000300	0.116534	0.000035
андрея	0.000300	0.127833	0.000038
апельсин	0.000599	3.912023	0.002344
апельсиновый	0.000599	3.506558	0.002101
аппетитно	0.000300	3.506558	0.001050
арабская	0.000300	0.116534	0.000035
аргентинская	0.000300	0.116534	0.000035
армянская	0.000300	0.116534	0.000035
ароматной	0.000300	3.218876	0.000964
ароматном	0.000300	4.605170	0.001380
ароматные	0.000300	2.207275	0.000661
ароматный	0.000300	2.207275	0.000661
ароматным	0.000300	2.407946	0.000721
ассорти	0.001198	0.116534	0.000140
атлант	0.000300	0.127833	0.000038
афганская	0.000300	0.116534	0.000035
африканская	0.000300	0.116534	0.000035
аэрогриле	0.002996	0.116534	0.000349
баклажаны	0.000300	0.040822	0.000012
балтком	0.000300	0.127833	0.000038
баранины	0.001198	0.116534	0.000140
бархатистой	0.000300	4.605170	0.001380
басмати	0.000599	0.127833	0.000077
бастурма	0.000300	0.040822	0.000012
батат	0.000899	4.605170	0.004139
батончики	0.000300	0.127833	0.000038
башкирская	0.000300	0.116534	0.000035
безалкогольные	0.000300	0.116534	0.000035
безглютеновые	0.000300	0.116534	0.000035
безе	0.001198	0.040822	0.000049
бекон	0.001498	1.966113	0.002945
белебеевский	0.000599	0.116534	0.000070
белорусская	0.000300	0.116534	0.000035
бельгийская	0.000300	0.116534	0.000035
беременных	0.000300	0.116534	0.000035
берите	0.000300	3.218876	0.000964
беседина	0.000300	0.127833	0.000038
бисквит	0.000300	0.040822	0.000012
бисквитное	0.000599	0.116534	0.000070
бисквитный	0.000300	0.105361	0.000032
бисквиты	0.000300	0.127833	0.000038
ближе	0.000300	0.116534	0.000035
близких	0.000300	0.116534	0.000035
блинного	0.000300	3.912023	0.001172
блинный	0.000300	2.813411	0.000843
блинов	0.000599	0.116534	0.000070
