токен	TF	IDF	TF-IDF
абилин	0.000254	4.605170	0.001172
абхазская	0.000254	0.116534	0.000030
августа	0.000509	0.867501	0.000441
австралийская	0.000254	0.116534	0.000030
австрийская	0.000254	0.116534	0.000030
автоклава	0.000254	0.116534	0.000030
автор	0.000254	1.427116	0.000363
авторам	0.000254	0.040822	0.000010
агро	0.000254	0.116534	0.000030
аджика	0.000254	0.040822	0.000010
администратору	0.000254	3.218876	0.000819
азербайджанская	0.000254	0.116534	0.000030
азиатская	0.000254	0.127833	0.000033
азы	0.000254	0.127833	0.000033
айран	0.000254	0.040822	0.000010
академии	0.000254	4.605170	0.001172
акватика	0.000763	0.127833	0.000098
алексея	0.000254	0.127833	0.000033
алкоголь	0.000509	0.116534	0.000059
алкогольные	0.000254	0.116534	0.000030
алкоголя	0.000254	0.116534	0.000030
альянс	0.000254	0.116534	0.000030
американская	0.000254	0.116534	0.000030
аналогом	0.000254	3.506558	0.000892
ананас	0.000509	2.995732	0.001525
анатомические	0.000254	4.605170	0.001172
английская	0.000254	0.116534	0.000030
андрея	0.000254	0.127833	0.000033
арабская	0.000763	0.116534	0.000089
аргентинская	0.000254	0.116534	0.000030
армянская	0.000254	0.116534	0.000030
арье	0.000254	4.605170	0.001172
ассорти	0.000509	0.116534	0.000059
атлант	0.000254	0.127833	0.000033
афганская	0.000254	0.116534	0.000030
африканская	0.000254	0.116534	0.000030
аэрогриле	0.002545	0.116534	0.000297
баварский	0.000254	4.605170	0.001172
баварского	0.000254	4.605170	0.001172
баклажаны	0.000254	0.040822	0.000010
балтком	0.000254	0.127833	0.000033
банальное	0.000254	3.506558	0.000892
баранины	0.001018	0.116534	0.000119
бархатистым	0.000254	4.605170	0.001172
басмати	0.000509	0.127833	0.000065
бастурма	0.000254	0.040822	0.000010
батончик	0.000509	4.605170	0.002344
батончики	0.000254	0.127833	0.000033
башкирская	0.000254	0.116534	0.000030
безалкогольные	0.000254	0.116534	0.000030
безглютеновые	0.000254	0.116534	0.000030
безе	0.001018	0.040822	0.000042
безумно	0.000254	1.560648	0.000397
белебеевский	0.000509	0.116534	0.000059
белку	0.000254	4.605170	0.001172
белорусская	0.000254	0.116534	0.000030
белый	0.001272	1.609438	0.002048
бельгийская	0.000254	0.116534	0.000030
беременных	0.000254	0.116534	0.000030
беседина	0.000254	0.127833	0.000033
бисквит	0.001272	0.040822	0.000052
