токен	TF	IDF	TF-IDF
абхазская	0.000299	0.116534	0.000035
августа	0.000299	0.867501	0.000259
австралийская	0.000299	0.116534	0.000035
австрийская	0.000299	0.116534	0.000035
автоклава	0.000299	0.116534	0.000035
авторам	0.000299	0.040822	0.000012
агро	0.000299	0.116534	0.000035
аджика	0.000299	0.040822	0.000012
азербайджанская	0.000299	0.116534	0.000035
азиатская	0.000299	0.127833	0.000038
азы	0.000299	0.127833	0.000038
айран	0.000299	0.040822	0.000012
акватика	0.000896	0.127833	0.000114
алексея	0.000299	0.127833	0.000038
алкоголь	0.000597	0.116534	0.000070
алкогольные	0.000299	0.116534	0.000035
алкоголя	0.000299	0.116534	0.000035
альянс	0.000299	0.116534	0.000035
американская	0.000299	0.116534	0.000035
америки	0.000299	3.912023	0.001168
английская	0.000299	0.116534	0.000035
андрея	0.000299	0.127833	0.000038
арабская	0.000299	0.116534	0.000035
аргентинская	0.000299	0.116534	0.000035
армянская	0.000299	0.116534	0.000035
ассорти	0.000597	0.116534	0.000070
атлант	0.000299	0.127833	0.000038
афганская	0.000299	0.116534	0.000035
африканская	0.000299	0.116534	0.000035
ах	0.000299	3.912023	0.001168
аэрогриле	0.002985	0.116534	0.000348
бабич	0.000299	1.514128	0.000452
баклажан	0.000597	2.207275	0.001318
баклажанов	0.000299	2.659260	0.000794
баклажаны	0.000597	0.040822	0.000024
балтком	0.000299	0.127833	0.000038
бара	0.000299	3.912023	0.001168
баранины	0.001194	0.116534	0.000139
барах	0.000299	3.506558	0.001047
бары	0.000299	3.912023	0.001168
басмати	0.000597	0.127833	0.000076
бастурма	0.000299	0.040822	0.000012
батон	0.000597	1.660731	0.000991
батончики	0.000299	0.127833	0.000038
баффало	0.000896	3.506558	0.003140
башкирская	0.000299	0.116534	0.000035
безалкогольные	0.000299	0.116534	0.000035
безглютеновые	0.000299	0.116534	0.000035
безе	0.001194	0.040822	0.000049
бекон	0.000597	1.966113	0.001174
беконом	0.000299	2.995732	0.000894
белебеевский	0.000597	0.116534	0.000070
белорусская	0.000299	0.116534	0.000035
бельгийская	0.000299	0.116534	0.000035
беременных	0.000299	0.116534	0.000035
беседина	0.000299	0.127833	0.000038
бисквит	0.000299	0.040822	0.000012
бисквитное	0.000597	0.116534	0.000070
бисквитный	0.000299	0.105361	0.000031
бисквиты	0.000299	0.127833	0.000038
благодаря	0.000299	1.897120	0.000566
ближе	0.000299	0.116534	0.000035
близких	0.000299	0.116534	0.000035
блинов	0.000597	0.116534	0.000070
блины	0.001194	0.040822	0.000049
блю	0.000299	3.506558	0.001047
блюд	0.000896	0.094311	0.000084
блюда	0.029254	0.040822	0.001194
блюде	0.000299	2.302585	0.000687
блюдо	0.002090	0.040822	0.000085
блюду	0.000299	0.116534	0.000035
бобовые	0.000597	0.127833	0.000076
бобовых	0.002090	0.116534	0.000244
болгарская	0.000299	0.116534	0.000035
больше	0.000597	0.105361	0.000063
бомба	0.000299	3.506558	0.001047
борщ	0.000597	0.040822	0.000024
ботвинья	0.000299	0.040822	0.000012
бразильская	0.000299	0.116534	0.000035
браузере	0.000299	0.040822	0.000012
брауни	0.000299	0.040822	0.000012
брест	0.000299	0.127833	0.000038
брокколи	0.000299	0.040822	0.000012
буженина	0.000299	0.040822	0.000012
булочка	0.000597	3.218876	0.001922
булочками	0.000299	0.116534	0.000035
булочки	0.000597	0.040822	0.000024
бульон	0.002090	0.040822	0.000085
бульоны	0.001194	0.116534	0.000139
бургер	0.000299	0.040822	0.000012
бургеры	0.000299	0.127833	0.000038
бурятская	0.000299	0.116534	0.000035
бутерброд	0.001194	0.116534	0.000139
бутерброды	0.000896	0.040822	0.000037
быстро	0.001194	0.094311	0.000113
быстрой	0.000299	0.116534	0.000035
быстрый	0.000896	0.105361	0.000094
бьет	0.000299	3.506558	0.001047
важные	0.000299	0.116534	0.000035
валлийская	0.000299	0.116534	0.000035
вареники	0.000299	0.116534	0.000035
варенье	0.000597	0.040822	0.000024
вариант	0.000597	0.562119	0.000336
васаби	0.000597	3.912023	0.002336
ватрушки	0.000299	0.040822	0.000012
вафли	0.000597	0.040822	0.000024
вашей	0.000597	0.040822	0.000024
вводя	0.000299	0.040822	0.000012
вдохновение	0.001194	0.116534	0.000139
вдохновением	0.000597	0.116534	0.000070
вдохновляйся	0.000299	0.116534	0.000035
вегетарианские	0.000299	0.127833	0.000038
вегетарианское	0.000299	0.116534	0.000035
великий	0.000299	0.116534	0.000035
великолепное	0.000299	4.605170	0.001375
венгерская	0.000299	0.116534	0.000035
весеннее	0.000299	3.912023	0.001168
весенние	0.000299	0.051293	0.000015
весна	0.001493	0.116534	0.000174
весны	0.000299	0.116534	0.000035
ветчины	0.000299	0.105361	0.000031
виде	0.000896	1.171183	0.001049
видео	0.000597	0.116534	0.000070
видеорецепты	0.000299	0.301105	0.000090
вино	0.000597	0.040822	0.000024
вину	0.000299	3.506558	0.001047
включающих	0.000299	0.634878	0.000190
вкус	0.001493	0.105361	0.000157
вкуса	0.002388	0.116534	0.000278
вкусная	0.001493	0.061875	0.000092
вкуснее	0.000597	0.116534	0.000070
вкусней	0.000299	0.116534	0.000035
вкусно	0.001194	0.094311	0.000113
вкусное	0.000299	0.994252	0.000297
вкусной	0.000597	1.609438	0.000961
вкусные	0.001493	0.105361	0.000157
вкусом	0.000299	0.105361	0.000031
влюбленных	0.000299	0.116534	0.000035
вместе	0.000299	0.916291	0.000274
вначале	0.001194	0.248461	0.000297
внутри	0.000299	1.469676	0.000439
во	0.001493	0.061875	0.000092
вода	0.001791	0.287682	0.000515
воде	0.000299	0.105361	0.000031
войти	0.000299	0.000000	0.000000
волованы	0.000299	0.116534	0.000035
волшебные	0.000299	0.116534	0.000035
волшебство	0.000299	0.116534	0.000035
вопросы	0.000299	0.000000	0.000000
восточная	0.000299	0.127833	0.000038
восхитительно	0.000299	3.912023	0.001168
восхитительны	0.000299	3.218876	0.000961
восхитительные	0.000299	4.605170	0.001375
впервые	0.000299	1.560648	0.000466
времена	0.000299	0.116534	0.000035
временем	0.001791	0.116534	0.000209
время	0.000597	0.400478	0.000239
всегда	0.000597	0.653926	0.000390
всего	0.000597	0.186330	0.000111
всей	0.000896	0.105361	0.000094
всему	0.000299	0.061875	0.000018
вспомнить	0.000299	0.040822	0.000012
второе	0.000299	0.116534	0.000035
второй	0.000299	2.813411	0.000840
вторые	0.000299	0.127833	0.000038
вторых	0.000299	2.407946	0.000719
вход	0.000896	0.030459	0.000027
выйти	0.000299	0.040822	0.000012
выпечка	0.003881	0.040822	0.000158
выпечки	0.001194	0.072571	0.000087
выпечкой	0.000299	0.116534	0.000035
вьетнамская	0.000299	0.116534	0.000035
гавайская	0.000299	0.116534	0.000035
гаражом	0.000299	1.078810	0.000322
гарнир	0.001493	0.040822	0.000061
гаспачо	0.000299	0.040822	0.000012
гастронома	0.000299	3.912023	0.001168
география	0.000299	0.116534	0.000035
главное	0.000299	1.139434	0.000340
главный	0.000299	0.040822	0.000012
глазурь	0.000896	0.040822	0.000037
глинтвейн	0.000299	0.040822	0.000012
говядины	0.001194	0.116534	0.000139
год	0.002985	0.105361	0.000315
года	0.004478	0.248461	0.001113
голландская	0.000299	0.116534	0.000035
города	0.000299	0.116534	0.000035
горох	0.000299	0.116534	0.000035
горошек	0.000597	2.407946	0.001438
горчица	0.000597	0.040822	0.000024
горчицами	0.000299	0.127833	0.000038
горшочках	0.000299	0.105361	0.000031
горшочке	0.000299	0.040822	0.000012
горячего	0.000299	3.218876	0.000961
горячее	0.000597	0.116534	0.000070
горячие	0.011642	0.105361	0.001227
горячий	0.000896	0.116534	0.000104
гостей	0.000299	1.272966	0.000380
гости	0.000597	0.116534	0.000070
готов	0.000299	2.207275	0.000659
готовила	0.000299	0.733969	0.000219
готовим	0.001791	0.094311	0.000169
готовить	0.001493	0.105361	0.000157
готовь	0.000597	0.116534	0.000070
готовьте	0.000299	2.407946	0.000719
готовят	0.000299	0.116534	0.000035
готовятся	0.000597	1.660731	0.000991
гренки	0.000597	0.040822	0.000024
грецкие	0.001194	1.469676	0.001755
греческая	0.000299	0.116534	0.000035
гречка	0.000299	0.040822	0.000012
грибами	0.001194	0.105361	0.000126
грибные	0.000597	0.040822	0.000024
грибов	0.001194	0.116534	0.000139
грибы	0.001493	0.040822	0.000061
гриле	0.001493	0.116534	0.000174
гриль	0.000299	0.116534	0.000035
грильмания	0.000299	0.116534	0.000035
гриля	0.001194	0.116534	0.000139
грог	0.000299	0.040822	0.000012
грузинская	0.000299	0.116534	0.000035
группы	0.000299	0.061875	0.000018
гурмания	0.001791	0.116534	0.000209
гурме	0.000299	0.127833	0.000038
гуся	0.000597	0.105361	0.000063
дает	0.000299	0.040822	0.000012
данные	0.000299	0.040822	0.000012
дары	0.000299	0.116534	0.000035
дате	0.000597	0.248461	0.000148
датская	0.000299	0.116534	0.000035
дачное	0.000896	0.116534	0.000104
декабря	0.000597	0.597837	0.000357
декор	0.000299	0.127833	0.000038
делает	0.000597	0.116534	0.000070
делать	0.000299	1.386294	0.000414
делимся	0.000299	0.040822	0.000012
дело	0.000299	1.386294	0.000414
делом	0.000299	0.116534	0.000035
день	0.000896	0.083382	0.000075
десерт	0.001194	0.116534	0.000139
десертация	0.000299	0.116534	0.000035
десертные	0.000299	0.116534	0.000035
десерты	0.004478	0.040822	0.000183
детей	0.000299	0.116534	0.000035
джем	0.000299	0.040822	0.000012
дзен	0.000299	0.116534	0.000035
диета	0.000299	0.116534	0.000035
диеты	0.000299	0.116534	0.000035
дикий	0.000597	0.116534	0.000070
дикого	0.000299	0.116534	0.000035
дип	0.000299	0.116534	0.000035
дипами	0.000299	3.912023	0.001168
дичи	0.000597	0.116534	0.000070
дичь	0.000299	0.116534	0.000035
дневниках	0.000299	0.061875	0.000018
дней	0.000896	0.116534	0.000104
дня	0.000597	0.040822	0.000024
добавлениям	0.000299	0.274437	0.000082
добавлять	0.000299	0.040822	0.000012
добавь	0.000299	0.116534	0.000035
доброфлот	0.000299	0.127833	0.000038
довелось	0.000299	4.605170	0.001375
доверяешь	0.000299	0.116534	0.000035
долго	0.000299	1.514128	0.000452
дом	0.002687	0.040822	0.000110
домашнее	0.000896	0.040822	0.000037
домашние	0.000597	0.040822	0.000024
домашний	0.001493	0.116534	0.000174
домашних	0.000299	1.714798	0.000512
домашняя	0.000597	0.105361	0.000063
домов	0.000299	0.040822	0.000012
доступные	0.000299	3.912023	0.001168
драйв	0.001493	0.127833	0.000191
дрожжевое	0.000299	0.116534	0.000035
другими	0.000299	0.040822	0.000012
друзей	0.000299	1.514128	0.000452
друзья	0.000299	1.966113	0.000587
друзьями	0.000299	2.040221	0.000609
думала	0.000299	1.272966	0.000380
духовка	0.001194	0.127833	0.000153
души	0.000896	0.105361	0.000094
еврейская	0.000299	0.116534	0.000035
египетская	0.000299	0.116534	0.000035
единый	0.000299	0.040822	0.000012
едой	0.000299	3.506558	0.001047
еды	0.000299	2.525729	0.000754
еко	0.000299	0.127833	0.000038
жаркое	0.000299	0.040822	0.000012
желатин	0.000597	1.427116	0.000852
желе	0.000896	0.040822	0.000037
женская	0.000299	0.127833	0.000038
женском	0.000299	0.061875	0.000018
женщины	0.000597	0.116534	0.000070
жизни	0.000299	0.040822	0.000012
жизнь	0.000299	0.116534	0.000035
жульен	0.000299	0.040822	0.000012
журнала	0.000597	0.127833	0.000076
жюльен	0.000299	0.040822	0.000012
заварное	0.000299	0.116534	0.000035
заварной	0.000299	0.116534	0.000035
завтрак	0.002687	0.094311	0.000253
