токен	TF	IDF	TF-IDF
волшебство	0.000277	0.116534	0.000032
вообще	0.000277	1.386294	0.000383
вопрос	0.000277	1.771957	0.000490
вопросы	0.000277	0.000000	0.000000
воскресного	0.000277	2.407946	0.000666
восточная	0.000277	0.127833	0.000035
впереди	0.000277	2.407946	0.000666
впитывают	0.000277	3.506558	0.000970
вполне	0.000277	2.813411	0.000778
времена	0.000553	0.116534	0.000064
временем	0.001659	0.116534	0.000193
время	0.000277	0.400478	0.000111
вроде	0.000830	1.897120	0.001574
врут	0.000277	2.407946	0.000666
всевозможных	0.000277	2.813411	0.000778
всегда	0.000830	0.653926	0.000543
всего	0.000277	0.186330	0.000052
всей	0.001106	0.105361	0.000117
всему	0.000277	0.061875	0.000017
вспомнить	0.000277	0.040822	0.000011
второе	0.000277	0.116534	0.000032
вторые	0.000277	0.127833	0.000035
втрое	0.000277	4.605170	0.001274
вход	0.000830	0.030459	0.000025
выйти	0.000277	0.040822	0.000011
выкладывала	0.000277	3.218876	0.000890
выкладывать	0.000277	2.659260	0.000735
выкладывают	0.000277	4.605170	0.001274
выпечка	0.007743	0.040822	0.000316
выпечки	0.000830	0.072571	0.000060
выпечкой	0.000277	0.116534	0.000032
высокая	0.000277	4.605170	0.001274
выставляя	0.000277	3.506558	0.000970
выходные	0.000277	2.302585	0.000637
вьетнамская	0.000277	0.116534	0.000032
гавайская	0.000277	0.116534	0.000032
газете	0.000277	2.302585	0.000637
гаражом	0.000277	1.078810	0.000298
гарнир	0.001383	0.040822	0.000056
гаспачо	0.000277	0.040822	0.000011
география	0.000277	0.116534	0.000032
главный	0.000277	0.040822	0.000011
глазурь	0.000830	0.040822	0.000034
глинтвейн	0.000277	0.040822	0.000011
говорит	0.000277	2.813411	0.000778
говоря	0.000277	2.207275	0.000610
говядины	0.001106	0.116534	0.000129
год	0.002489	0.105361	0.000262
года	0.004701	0.248461	0.001168
годах	0.000277	2.207275	0.000610
голландская	0.000277	0.116534	0.000032
города	0.000277	0.116534	0.000032
городах	0.000277	4.605170	0.001274
горох	0.000277	0.116534	0.000032
гороховая	0.000277	4.605170	0.001274
горчица	0.000553	0.040822	0.000023
горчицами	0.000277	0.127833	0.000035
горшочках	0.000277	0.105361	0.000029
горшочке	0.000553	0.040822	0.000023
горячее	0.000553	0.116534	0.000064
горячие	0.009679	0.105361	0.001020
горячий	0.000553	0.116534	0.000064
гости	0.000277	0.116534	0.000032
готовая	0.001106	2.525729	0.002794
готовила	0.000277	0.733969	0.000203
готовим	0.001659	0.094311	0.000156
готовится	0.000830	0.478036	0.000397
готовить	0.001659	0.105361	0.000175
готовых	0.000277	2.659260	0.000735
готовь	0.000553	0.116534	0.000064
готовят	0.000553	0.116534	0.000064
гранд	0.000277	3.912023	0.001082
гренки	0.000553	0.040822	0.000023
греческая	0.000277	0.116534	0.000032
гречка	0.000277	0.040822	0.000011
грибами	0.001106	0.105361	0.000117
грибные	0.000553	0.040822	0.000023
грибов	0.000830	0.116534	0.000097
грибы	0.000830	0.040822	0.000034
гриле	0.001383	0.116534	0.000161
гриль	0.000277	0.116534	0.000032
грильмания	0.000277	0.116534	0.000032
гриля	0.001106	0.116534	0.000129
грог	0.000277	0.040822	0.000011
грузинская	0.000277	0.116534	0.000032
группы	0.000277	0.061875	0.000017
гурмания	0.001659	0.116534	0.000193
гурме	0.000277	0.127833	0.000035
гуся	0.000553	0.105361	0.000058
дает	0.000277	0.040822	0.000011
данные	0.000277	0.040822	0.000011
дары	0.000277	0.116534	0.000032
дате	0.000553	0.248461	0.000137
датская	0.000277	0.116534	0.000032
дачное	0.000830	0.116534	0.000097
дверь	0.000277	2.407946	0.000666
девочки	0.000277	1.427116	0.000395
действительно	0.000277	1.832581	0.000507
декор	0.000277	0.127833	0.000035
делает	0.000553	0.116534	0.000064
делается	0.000277	1.347074	0.000373
делать	0.000277	1.386294	0.000383
делаю	0.000553	1.386294	0.000767
делимся	0.000277	0.040822	0.000011
дело	0.000277	1.386294	0.000383
делом	0.000277	0.116534	0.000032
демоника	0.000277	2.525729	0.000698
день	0.000830	0.083382	0.000069
депрессии	0.000277	2.302585	0.000637
держитесь	0.000277	2.407946	0.000666
десерт	0.000830	0.116534	0.000097
десертация	0.000277	0.116534	0.000032
десертные	0.000277	0.116534	0.000032
десерты	0.003872	0.040822	0.000158
детей	0.000277	0.116534	0.000032
джем	0.000277	0.040822	0.000011
дзен	0.000277	0.116534	0.000032
диета	0.000277	0.116534	0.000032
диеты	0.000277	0.116534	0.000032
дикий	0.000553	0.116534	0.000064
дикого	0.000277	0.116534	0.000032
дип	0.000277	0.116534	0.000032
дичи	0.000553	0.116534	0.000064
дичь	0.000277	0.116534	0.000032
длительного	0.000277	2.525729	0.000698
дневниках	0.000277	0.061875	0.000017
дней	0.001106	0.116534	0.000129
дня	0.000277	0.040822	0.000011
добавлениям	0.000277	0.274437	0.000076
добавлять	0.000277	0.040822	0.000011
