токен	TF	IDF	TF-IDF
абхазская	0.000282	0.116534	0.000033
австралийская	0.000282	0.116534	0.000033
австрийская	0.000282	0.116534	0.000033
автоклава	0.000282	0.116534	0.000033
автор	0.000282	1.427116	0.000402
авторам	0.000282	0.040822	0.000012
автору	0.000282	1.660731	0.000468
агро	0.000282	0.116534	0.000033
аджика	0.000282	0.040822	0.000012
азербайджанская	0.000282	0.116534	0.000033
азиатская	0.000282	0.127833	0.000036
азы	0.000282	0.127833	0.000036
айран	0.000282	0.040822	0.000012
акватика	0.000846	0.127833	0.000108
алексея	0.000282	0.127833	0.000036
алкоголь	0.000564	0.116534	0.000066
алкогольные	0.000282	0.116534	0.000033
алкоголя	0.000282	0.116534	0.000033
альянс	0.000282	0.116534	0.000033
американская	0.000282	0.116534	0.000033
английская	0.000282	0.116534	0.000033
андрея	0.000282	0.127833	0.000036
апреля	0.000282	0.579818	0.000164
арабская	0.000282	0.116534	0.000033
аргентинская	0.000282	0.116534	0.000033
армянская	0.000282	0.116534	0.000033
аромат	0.000282	1.660731	0.000468
ароматная	0.000564	1.832581	0.001034
ассорти	0.000564	0.116534	0.000066
ася	0.000282	3.218876	0.000908
атлант	0.000282	0.127833	0.000036
афганская	0.000282	0.116534	0.000033
африканская	0.000282	0.116534	0.000033
аэрогриле	0.002820	0.116534	0.000329
бабич	0.000564	1.514128	0.000854
базилик	0.000564	1.609438	0.000908
баклажан	0.000564	2.207275	0.001245
баклажаны	0.000282	0.040822	0.000012
балтком	0.000282	0.127833	0.000036
банке	0.000282	2.407946	0.000679
баранины	0.001128	0.116534	0.000131
бархатный	0.000282	3.218876	0.000908
басмати	0.000564	0.127833	0.000072
бастурма	0.000282	0.040822	0.000012
батончики	0.000282	0.127833	0.000036
башкирская	0.000282	0.116534	0.000033
беда	0.000282	3.506558	0.000989
безалкогольные	0.000282	0.116534	0.000033
безглютеновые	0.000282	0.116534	0.000033
безе	0.001128	0.040822	0.000046
белебеевский	0.000564	0.116534	0.000066
белое	0.000564	2.407946	0.001358
белорусская	0.000282	0.116534	0.000033
белых	0.000282	4.605170	0.001299
бельгийская	0.000282	0.116534	0.000033
беременных	0.000282	0.116534	0.000033
беседина	0.000282	0.127833	0.000036
бисквит	0.000282	0.040822	0.000012
бисквитное	0.000564	0.116534	0.000066
бисквитный	0.000282	0.105361	0.000030
бисквиты	0.000282	0.127833	0.000036
ближе	0.000282	0.116534	0.000033
близких	0.000282	0.116534	0.000033
блинов	0.000564	0.116534	0.000066
блины	0.001128	0.040822	0.000046
блуждая	0.000282	4.605170	0.001299
блюд	0.000564	0.094311	0.000053
блюда	0.030739	0.040822	0.001255
блюдо	0.001974	0.040822	0.000081
блюду	0.000282	0.116534	0.000033
бобовые	0.000564	0.127833	0.000072
бобовых	0.002256	0.116534	0.000263
болгарская	0.000282	0.116534	0.000033
болгарский	0.000564	0.843970	0.000476
болезнь	0.000282	3.506558	0.000989
болеть	0.000282	4.605170	0.001299
больше	0.000846	0.105361	0.000089
борщ	0.000564	0.040822	0.000023
ботвинья	0.000282	0.040822	0.000012
бразильская	0.000282	0.116534	0.000033
браузере	0.000282	0.040822	0.000012
брауни	0.000282	0.040822	0.000012
брест	0.000282	0.127833	0.000036
брокколи	0.000282	0.040822	0.000012
буду	0.000282	1.427116	0.000402
буженина	0.000282	0.040822	0.000012
булочка	0.000564	3.218876	0.001815
булочками	0.000282	0.116534	0.000033
булочке	0.000282	3.912023	0.001103
булочки	0.000564	0.040822	0.000023
бульон	0.001974	0.040822	0.000081
бульоны	0.001692	0.116534	0.000197
бургер	0.000282	0.040822	0.000012
бургеры	0.000282	0.127833	0.000036
бурятская	0.000282	0.116534	0.000033
бутерброд	0.000564	0.116534	0.000066
бутерброды	0.000564	0.040822	0.000023
быстро	0.001128	0.094311	0.000106
быстрой	0.000282	0.116534	0.000033
быстрый	0.000564	0.105361	0.000059
важная	0.000282	4.605170	0.001299
важные	0.000282	0.116534	0.000033
валлийская	0.000282	0.116534	0.000033
вареники	0.001128	0.116534	0.000131
варенье	0.000564	0.040822	0.000023
вариант	0.000282	0.562119	0.000159
ватрушки	0.000282	0.040822	0.000012
вафли	0.000564	0.040822	0.000023
ваш	0.000282	1.309333	0.000369
вашей	0.000564	0.040822	0.000023
вводя	0.000282	0.040822	0.000012
вдохновение	0.001128	0.116534	0.000131
вдохновением	0.000564	0.116534	0.000066
вдохновляйся	0.000282	0.116534	0.000033
вегетарианские	0.000282	0.127833	0.000036
вегетарианское	0.000282	0.116534	0.000033
великий	0.000282	0.116534	0.000033
венгерская	0.000282	0.116534	0.000033
весенние	0.000282	0.051293	0.000014
весна	0.001410	0.116534	0.000164
весны	0.000282	0.116534	0.000033
ветчина	0.000564	1.469676	0.000829
ветчины	0.000564	0.105361	0.000059
вечером	0.000282	2.407946	0.000679
взгляд	0.000282	1.427116	0.000402
взяла	0.000282	2.525729	0.000712
видео	0.000564	0.116534	0.000066
видеорецепты	0.000282	0.301105	0.000085
вино	0.001128	0.040822	0.000046
включающих	0.000282	0.634878	0.000179
вкус	0.000846	0.105361	0.000089
вкуса	0.002256	0.116534	0.000263
вкусная	0.001692	0.061875	0.000105
вкуснее	0.000564	0.116534	0.000066
вкусней	0.000282	0.116534	0.000033
вкусненько	0.000282	4.605170	0.001299
вкусно	0.002256	0.094311	0.000213
вкусное	0.000564	0.994252	0.000561
вкусные	0.000846	0.105361	0.000089
вкусом	0.000282	0.105361	0.000030
влюбленных	0.000282	0.116534	0.000033
вначале	0.001128	0.248461	0.000280
внесла	0.000282	2.995732	0.000845
во	0.000564	0.061875	0.000035
вода	0.002256	0.287682	0.000649
воде	0.000282	0.105361	0.000030
водка	0.000564	2.302585	0.001299
войти	0.000282	0.000000	0.000000
волованы	0.000282	0.116534	0.000033
волшебные	0.000282	0.116534	0.000033
волшебство	0.000282	0.116534	0.000033
вопросы	0.000282	0.000000	0.000000
воскресного	0.000282	2.407946	0.000679
восторге	0.000282	1.469676	0.000414
восточная	0.000282	0.127833	0.000036
времена	0.000282	0.116534	0.000033
временем	0.001692	0.116534	0.000197
временных	0.000282	3.912023	0.001103
время	0.000282	0.400478	0.000113
всегда	0.000282	0.653926	0.000184
всего	0.000564	0.186330	0.000105
всей	0.000846	0.105361	0.000089
всемирной	0.000282	4.605170	0.001299
всему	0.000282	0.061875	0.000017
вспомнил	0.000282	3.912023	0.001103
вспомнить	0.000282	0.040822	0.000012
второе	0.000282	0.116534	0.000033
вторые	0.000282	0.127833	0.000036
вход	0.000846	0.030459	0.000026
вчера	0.000282	2.040221	0.000575
выйти	0.000282	0.040822	0.000012
выкладываю	0.000282	2.407946	0.000679
выпечка	0.003948	0.040822	0.000161
выпечки	0.001128	0.072571	0.000082
выпечкой	0.000282	0.116534	0.000033
вьетнамская	0.000282	0.116534	0.000033
гавайская	0.000282	0.116534	0.000033
гарнир	0.001410	0.040822	0.000058
гаспачо	0.000282	0.040822	0.000012
география	0.000282	0.116534	0.000033
главный	0.000282	0.040822	0.000012
глаза	0.000282	2.525729	0.000712
глазурь	0.000846	0.040822	0.000035
глинтвейн	0.000282	0.040822	0.000012
говядины	0.001128	0.116534	0.000131
год	0.002538	0.105361	0.000267
года	0.004230	0.248461	0.001051
голландская	0.000282	0.116534	0.000033
голландский	0.000564	1.966113	0.001109
голова	0.000282	4.605170	0.001299
города	0.000282	0.116534	0.000033
горох	0.000282	0.116534	0.000033
горошек	0.000564	2.407946	0.001358
горчица	0.000564	0.040822	0.000023
горчицами	0.000282	0.127833	0.000036
горшочках	0.000282	0.105361	0.000030
горшочке	0.000282	0.040822	0.000012
горячее	0.000564	0.116534	0.000066
горячие	0.012972	0.105361	0.001367
горячий	0.000564	0.116534	0.000066
горячими	0.000282	4.605170	0.001299
гостей	0.000282	1.272966	0.000359
гости	0.000282	0.116534	0.000033
гость	0.000564	3.506558	0.001978
готовил	0.000282	2.659260	0.000750
готовила	0.000564	0.733969	0.000414
готовим	0.001974	0.094311	0.000186
готовится	0.000564	0.478036	0.000270
готовить	0.001974	0.105361	0.000208
готовь	0.000564	0.116534	0.000066
готовят	0.000282	0.116534	0.000033
готовящегося	0.000282	4.605170	0.001299
гренки	0.000564	0.040822	0.000023
грецкие	0.000564	1.469676	0.000829
греческая	0.000282	0.116534	0.000033
гречка	0.000282	0.040822	0.000012
гречневая	0.000564	3.912023	0.002206
грибам	0.000282	3.218876	0.000908
грибами	0.002256	0.105361	0.000238
грибной	0.000282	2.120264	0.000598
грибные	0.001410	0.040822	0.000058
грибов	0.001410	0.116534	0.000164
грибы	0.010152	0.040822	0.000414
гриле	0.001410	0.116534	0.000164
гриль	0.000282	0.116534	0.000033
грильмания	0.000282	0.116534	0.000033
гриля	0.001128	0.116534	0.000131
грог	0.000282	0.040822	0.000012
грудка	0.000564	1.108663	0.000625
грузинская	0.000282	0.116534	0.000033
группы	0.000282	0.061875	0.000017
гурмания	0.001692	0.116534	0.000197
гурме	0.000282	0.127833	0.000036
гуся	0.000564	0.105361	0.000059
дает	0.000282	0.040822	0.000012
данные	0.000282	0.040822	0.000012
дары	0.000282	0.116534	0.000033
дате	0.000564	0.248461	0.000140
датская	0.000282	0.116534	0.000033
дачное	0.000846	0.116534	0.000099
дачу	0.000282	2.995732	0.000845
двухметрового	0.000282	4.605170	0.001299
декабря	0.000846	0.597837	0.000506
декор	0.000282	0.127833	0.000036
делает	0.000564	0.116534	0.000066
делимся	0.000282	0.040822	0.000012
делом	0.000282	0.116534	0.000033
день	0.000846	0.083382	0.000071
десерт	0.000846	0.116534	0.000099
десертация	0.000282	0.116534	0.000033
десертные	0.000282	0.116534	0.000033
десерты	0.003948	0.040822	0.000161
детей	0.000282	0.116534	0.000033
детства	0.000282	2.207275	0.000622
джем	0.000282	0.040822	0.000012
дзен	0.000282	0.116534	0.000033
диета	0.000282	0.116534	0.000033
диеты	0.000282	0.116534	0.000033
дикий	0.000564	0.116534	0.000066
дикого	0.000282	0.116534	0.000033
дип	0.000282	0.116534	0.000033
дичи	0.000564	0.116534	0.000066
дичь	0.000282	0.116534	0.000033
дневниках	0.000282	0.061875	0.000017
дней	0.000846	0.116534	0.000099
дня	0.000282	0.040822	0.000012
добавила	0.000282	1.897120	0.000535
добавить	0.000282	1.514128	0.000427
добавлениям	0.000282	0.274437	0.000077
добавлять	0.000282	0.040822	0.000012
добавь	0.000282	0.116534	0.000033
доброфлот	0.000282	0.127833	0.000036
доверяешь	0.000282	0.116534	0.000033
должна	0.000282	2.207275	0.000622
дом	0.002538	0.040822	0.000104
домашнее	0.000846	0.040822	0.000035
домашней	0.000282	1.771957	0.000500
домашние	0.000564	0.040822	0.000023
домашний	0.001410	0.116534	0.000164
домашняя	0.000564	0.105361	0.000059
домов	0.000282	0.040822	0.000012
дорогие	0.000282	1.272966	0.000359
достойно	0.000282	2.995732	0.000845
достойных	0.000282	3.506558	0.000989
доступных	0.000282	3.218876	0.000908
дочкой	0.000282	3.506558	0.000989
дошла	0.000282	3.506558	0.000989
драйв	0.001410	0.127833	0.000180
дрожжевое	0.000564	0.116534	0.000066
дрожжи	0.000564	0.941609	0.000531
другими	0.000282	0.040822	0.000012
других	0.000282	1.714798	0.000484
думаете	0.000282	2.813411	0.000793
думала	0.000282	1.272966	0.000359
духовка	0.001128	0.127833	0.000144
души	0.000846	0.105361	0.000089
дышу	0.000282	3.506558	0.000989
еврейская	0.000282	0.116534	0.000033
европы	0.000282	3.506558	0.000989
египетская	0.000282	0.116534	0.000033
единый	0.000282	0.040822	0.000012
еко	0.000282	0.127833	0.000036
жаркое	0.000282	0.040822	0.000012
желе	0.000846	0.040822	0.000035
женская	0.000282	0.127833	0.000036
женском	0.000282	0.061875	0.000017
женщины	0.000564	0.116534	0.000066
жизни	0.000282	0.040822	0.000012
жизнь	0.000564	0.116534	0.000066
жульен	0.000282	0.040822	0.000012
журнала	0.000282	0.127833	0.000036
жюльен	0.000564	0.040822	0.000023
жюльены	0.000282	3.912023	0.001103
забегала	0.000282	3.506558	0.000989
заварное	0.000282	0.116534	0.000033
заварной	0.000282	0.116534	0.000033
завтрак	0.001974	0.094311	0.000186
завтраки	0.000282	0.127833	0.000036
заготовки	0.001128	0.040822	0.000046
задавать	0.000282	0.040822	0.000012
займет	0.000282	3.506558	0.000989
зайца	0.000564	0.116534	0.000066
закваска	0.000282	0.040822	0.000012
заквасками	0.000282	0.116534	0.000033
заквасок	0.000282	0.127833	0.000036
закрытый	0.000282	0.116534	0.000033
закуска	0.000564	1.347074	0.000760
закуски	0.005640	0.040822	0.000230
закуску	0.000846	0.116534	0.000099
закусончик	0.000282	0.116534	0.000033
закусочка	0.000282	0.116534	0.000033
закусочные	0.003102	0.116534	0.000361
заливке	0.000282	2.659260	0.000750
заливная	0.000282	3.506558	0.000989
заливное	0.000564	0.040822	0.000023
заливных	0.000282	3.506558	0.000989
заморозка	0.000282	0.105361	0.000030
запад	0.000282	0.116534	0.000033
запах	0.000282	2.407946	0.000679
запеканка	0.001128	0.105361	0.000119
запеканки	0.002256	0.040822	0.000092
запеченные	0.000564	2.302585	0.001299
заправка	0.000564	0.040822	0.000023
зарегистрировавшись	0.000282	0.040822	0.000012
зарегистрироваться	0.000282	0.030459	0.000009
засолка	0.000282	0.116534	0.000033
затрат	0.000282	2.995732	0.000845
затянулась	0.000282	3.506558	0.000989
зацепился	0.000282	3.506558	0.000989
зачет	0.000564	3.506558	0.001978
званый	0.000282	0.127833	0.000036
звезда	0.000282	0.127833	0.000036
звучит	0.000282	2.995732	0.000845
звёздные	0.000282	0.116534	0.000033
здоровое	0.000282	0.116534	0.000033
здоровый	0.000282	0.116534	0.000033
здравствуйте	0.000282	2.407946	0.000679
зеленый	0.001128	1.021651	0.001152
зелень	0.003102	0.094311	0.000293
зефир	0.000282	0.040822	0.000012
зимние	0.000282	0.051293	0.000014
зиму	0.001128	0.040822	0.000046
знаете	0.000282	2.302585	0.000649
знаю	0.000282	0.755023	0.000213
золотая	0.000282	0.116534	0.000033
иванова	0.000282	0.127833	0.000036
идеальная	0.000282	0.116534	0.000033
идеального	0.001410	0.116534	0.000164
идеальное	0.000282	0.116534	0.000033
идейки	0.000282	0.116534	0.000033
известное	0.000282	3.506558	0.000989
изделия	0.001128	0.116534	0.000131
изделиями	0.000846	0.116534	0.000099
изредка	0.000282	3.218876	0.000908
изумрудный	0.000282	3.912023	0.001103
изюминку	0.000282	3.506558	0.000989
икра	0.000846	0.040822	0.000035
именем	0.000282	0.040822	0.000012
инверторной	0.000282	0.127833	0.000036
ингредиенты	0.008460	0.139262	0.001178
индейки	0.001410	0.094311	0.000133
индейкой	0.000282	0.116534	0.000033
индийская	0.000282	0.116534	0.000033
индилайт	0.000846	0.116534	0.000099
индиресные	0.000282	0.116534	0.000033
