лемма	TF	IDF	TF-IDF
абгор	0.000284	4.605170	0.001307
абес	0.000568	4.605170	0.002614
абхазский	0.000284	0.116534	0.000033
авдать	0.000284	4.605170	0.001307
австралийский	0.000284	0.116534	0.000033
австрийский	0.000851	0.116534	0.000099
автоклав	0.000568	0.116534	0.000066
автор	0.000284	0.040822	0.000012
агро	0.000284	0.116534	0.000033
аджика	0.000284	0.040822	0.000012
аз	0.000284	0.127833	0.000036
азербайджан	0.000284	4.605170	0.001307
азербайджанский	0.000284	0.116534	0.000033
азиатский	0.000284	0.127833	0.000036
айран	0.000284	0.040822	0.000012
акараж	0.000568	4.605170	0.002614
аква	0.000284	4.605170	0.001307
акватик	0.000851	0.127833	0.000109
акветта	0.000284	4.605170	0.001307
алабама	0.000284	4.605170	0.001307
алексей	0.000284	0.127833	0.000036
алкоголь	0.000851	0.116534	0.000099
алкогольный	0.001135	0.116534	0.000132
альтернатива	0.000284	2.813411	0.000798
альянс	0.000284	0.116534	0.000033
амандин	0.000284	4.605170	0.001307
американский	0.000851	0.116534	0.000099
аналог	0.000284	2.995732	0.000850
английский	0.000568	0.116534	0.000066
андрей	0.000284	0.127833	0.000036
античный	0.000284	4.605170	0.001307
апфелькрен	0.000568	4.605170	0.002614
арабский	0.000568	0.116534	0.000066
арбузный	0.000284	3.912023	0.001110
аргентинский	0.000284	0.116534	0.000033
ареал	0.000284	4.605170	0.001307
арец	0.000568	4.605170	0.002614
армянский	0.000568	0.116534	0.000066
аромат	0.000284	0.820981	0.000233
ассорти	0.000568	0.116534	0.000066
атлант	0.000284	0.116534	0.000033
афганский	0.000284	0.116534	0.000033
африканский	0.000284	0.116534	0.000033
афро	0.000284	4.605170	0.001307
аэрогриль	0.002838	0.116534	0.000331
бажа	0.001135	4.605170	0.005227
баклажан	0.000284	0.040822	0.000012
балмарей	0.000284	4.605170	0.001307
балткома	0.000284	0.127833	0.000036
бамия	0.000284	4.605170	0.001307
банановый	0.000284	3.218876	0.000913
бараний	0.000284	4.605170	0.001307
баранина	0.001135	0.116534	0.000132
барбекю	0.000568	3.218876	0.001827
барный	0.000284	4.605170	0.001307
басмати	0.000568	0.127833	0.000073
бассейн	0.000284	4.605170	0.001307
бастурм	0.000284	0.040822	0.000012
бастурма	0.000284	0.040822	0.000012
