лемма	TF	IDF	TF-IDF
абхазский	0.000735	0.116534	0.000086
австралийский	0.000735	0.116534	0.000086
австрийский	0.000735	0.116534	0.000086
автоклав	0.000735	0.116534	0.000086
автор	0.000735	0.040822	0.000030
аджика	0.000735	0.040822	0.000030
азербайджанский	0.000735	0.116534	0.000086
азу	0.000735	2.813411	0.002069
айран	0.000735	0.040822	0.000030
алкоголь	0.002206	0.116534	0.000257
алкогольный	0.000735	0.116534	0.000086
американский	0.000735	0.116534	0.000086
английский	0.000735	0.116534	0.000086
арабский	0.000735	0.116534	0.000086
аргентинский	0.000735	0.116534	0.000086
армянский	0.000735	0.116534	0.000086
ассорти	0.001471	0.116534	0.000171
афганский	0.000735	0.116534	0.000086
африканский	0.000735	0.116534	0.000086
ачм	0.000735	3.218876	0.002367
аэрогриль	0.007353	0.116534	0.000857
баба	0.000735	3.912023	0.002876
баклажан	0.000735	0.040822	0.000030
баранина	0.002941	0.116534	0.000343
бастурм	0.000735	0.040822	0.000030
бастурма	0.000735	0.040822	0.000030
баурсак	0.000735	4.605170	0.003386
башкирский	0.000735	0.116534	0.000086
безалкогольный	0.000735	0.116534	0.000086
безглютеновое	0.000735	0.116534	0.000086
безе	0.002206	0.040822	0.000090
белорусский	0.000735	0.116534	0.000086
бельгийский	0.000735	0.116534	0.000086
беляш	0.000735	3.506558	0.002578
беременная	0.000735	0.116534	0.000086
бефстроганов	0.000735	2.995732	0.002203
бешбармак	0.000735	3.506558	0.002578
бигус	0.000735	3.506558	0.002578
бисквит	0.000735	0.040822	0.000030
бисквитный	0.002206	0.105361	0.000232
биточек	0.000735	1.897120	0.001395
бифштекс	0.000735	4.605170	0.003386
блин	0.003676	0.040822	0.000150
блюдо	0.056618	0.040822	0.002311
бобовый	0.003676	0.116534	0.000428
болгарский	0.000735	0.116534	0.000086
борщ	0.001471	0.040822	0.000060
ботвинья	0.000735	0.040822	0.000030
бразильский	0.000735	0.116534	0.000086
браузер	0.000735	0.040822	0.000030
брауни	0.000735	0.040822	0.000030
бризоль	0.000735	2.659260	0.001955
брокколи	0.000735	0.040822	0.000030
буженина	0.000735	0.040822	0.000030
булочка	0.001471	0.040822	0.000060
бульон	0.007353	0.040822	0.000300
бургер	0.000735	0.040822	0.000030
бурить	0.000735	4.605170	0.003386
бурятский	0.000735	0.116534	0.000086
бутерброд	0.002941	0.040822	0.000120
буш	0.000735	3.506558	0.002578
быстрый	0.000735	0.094311	0.000069
валлийский	0.000735	0.116534	0.000086
варение	0.001471	0.040822	0.000060
вареник	0.001471	0.116534	0.000171
ватрушка	0.000735	0.040822	0.000030
вафля	0.001471	0.040822	0.000060
ваш	0.000735	0.000000	0.000000
вводить	0.000735	0.040822	0.000030
вегетарианский	0.000735	0.116534	0.000086
венгерский	0.000735	0.116534	0.000086
вертут	0.000735	4.605170	0.003386
ветчина	0.000735	0.094311	0.000069
вино	0.001471	0.040822	0.000060
влюбить	0.000735	0.116534	0.000086
вода	0.000735	0.094311	0.000069
войти	0.000735	0.000000	0.000000
волован	0.001471	0.116534	0.000171
вопрос	0.000735	0.000000	0.000000
вспомнить	0.000735	0.040822	0.000030
второе	0.000735	0.116534	0.000086
вход	0.002206	0.030459	0.000067
выйти	0.000735	0.040822	0.000030
выпечка	0.005882	0.040822	0.000240
вьетнамский	0.000735	0.116534	0.000086
гавайский	0.000735	0.116534	0.000086
галета	0.000735	4.605170	0.003386
галушка	0.000735	2.813411	0.002069
гарнир	0.003676	0.040822	0.000150
гаспачо	0.000735	0.040822	0.000030
главный	0.000735	0.040822	0.000030
