лемма	TF	IDF	TF-IDF
абрикосовый	0.000547	3.912023	0.002138
абхазский	0.000273	0.116534	0.000032
август	0.000273	0.843970	0.000231
австралийский	0.000273	0.116534	0.000032
австрийский	0.000273	0.116534	0.000032
автоклав	0.000273	0.116534	0.000032
автор	0.000820	0.040822	0.000033
агро	0.000273	0.116534	0.000032
аджика	0.000820	0.040822	0.000033
аз	0.000273	0.127833	0.000035
азербайджанский	0.000273	0.116534	0.000032
азиатский	0.000273	0.127833	0.000035
айран	0.000273	0.040822	0.000011
акватик	0.000820	0.127833	0.000105
алексей	0.000273	0.127833	0.000035
алкоголь	0.000820	0.116534	0.000096
алкогольный	0.000273	0.116534	0.000032
альянс	0.000273	0.116534	0.000032
американский	0.000273	0.116534	0.000032
английский	0.000273	0.116534	0.000032
андрей	0.000273	0.127833	0.000035
апельсин	0.000547	2.813411	0.001538
апрель	0.000273	0.544727	0.000149
арабский	0.000820	0.116534	0.000096
аргентинский	0.000273	0.116534	0.000032
армянский	0.000273	0.116534	0.000032
аромат	0.000273	0.820981	0.000224
ароматный	0.000547	0.693147	0.000379
ассорти	0.000547	0.116534	0.000064
атлант	0.000273	0.116534	0.000032
афганский	0.000273	0.116534	0.000032
африканский	0.000273	0.116534	0.000032
аэрогриль	0.003006	0.116534	0.000350
баклажан	0.000273	0.040822	0.000011
балкон	0.000273	2.120264	0.000579
балткома	0.000273	0.127833	0.000035
баранина	0.001093	0.116534	0.000127
барнхаус	0.000273	3.218876	0.000880
басмати	0.000547	0.127833	0.000070
бастурм	0.000273	0.040822	0.000011
бастурма	0.000273	0.040822	0.000011
батончик	0.000273	0.127833	0.000035
башкирский	0.000273	0.116534	0.000032
безалкогольный	0.000273	0.116534	0.000032
безглютеновое	0.000273	0.116534	0.000032
бездрожжевой	0.000547	2.407946	0.001316
безе	0.001093	0.040822	0.000045
белебеевский	0.000547	0.116534	0.000064
белок	0.000547	2.040221	0.001115
белокочанный	0.000547	0.967584	0.000529
белорусский	0.000273	0.116534	0.000032
бельгийский	0.000273	0.116534	0.000032
беременная	0.000273	0.116534	0.000032
беречься	0.000273	4.605170	0.001259
беседин	0.000273	0.127833	0.000035
бесподобный	0.000273	1.560648	0.000427
бисквит	0.000547	0.040822	0.000022
бисквитный	0.000820	0.105361	0.000086
близкий	0.000820	0.116534	0.000096
блин	0.001640	0.040822	0.000067
блю	0.000273	3.506558	0.000958
блюдо	0.030336	0.040822	0.001238
бобовый	0.002186	0.116534	0.000255
богатый	0.000273	2.813411	0.000769
болгарский	0.000820	0.116534	0.000096
больно	0.000273	1.966113	0.000537
больший	0.000273	2.040221	0.000558
большой	0.001366	0.094311	0.000129
борщ	0.000547	0.040822	0.000022
ботвинья	0.000273	0.040822	0.000011
бразильский	0.000273	0.116534	0.000032
брать	0.000273	1.897120	0.000518
браузер	0.000273	0.040822	0.000011
брауни	0.000273	0.040822	0.000011
бренди	0.000547	4.605170	0.002517
брест	0.000273	0.127833	0.000035
брокколи	0.000273	0.040822	0.000011
буженина	0.000273	0.040822	0.000011
булочка	0.000820	0.040822	0.000033
бульон	0.003006	0.040822	0.000123
бургер	0.000547	0.040822	0.000022
бурятский	0.000273	0.116534	0.000032
бутерброд	0.001093	0.040822	0.000045
быстро	0.001366	0.094311	0.000129
быстрый	0.001366	0.094311	0.000129
важный	0.000273	0.116534	0.000032
валлийский	0.000273	0.116534	0.000032
ванилин	0.002186	1.609438	0.003519
ваниль	0.000273	2.813411	0.000769
ванильный	0.001093	1.347074	0.001473
варение	0.000820	0.040822	0.000033
вареник	0.000273	0.116534	0.000032
ватрушка	0.000273	0.040822	0.000011
вафля	0.000547	0.040822	0.000022
ваш	0.001640	0.000000	0.000000
вводить	0.000273	0.040822	0.000011
вдохновение	0.001640	0.116534	0.000191
вдохновляться	0.000273	0.116534	0.000032
вегетарианский	0.000547	0.116534	0.000064
великий	0.000273	0.116534	0.000032
венгерский	0.000273	0.116534	0.000032
венерик	0.000273	2.120264	0.000579
весенний	0.000273	0.051293	0.000014
весна	0.001640	0.116534	0.000191
ветчина	0.001093	0.094311	0.000103
вещество	0.000273	3.506558	0.000958
взять	0.000273	1.171183	0.000320
вид	0.000273	0.776529	0.000212
видео	0.000547	0.116534	0.000064
