лемма	TF	IDF	TF-IDF
абхазский	0.000263	0.116534	0.000031
австралийский	0.000263	0.116534	0.000031
австрийский	0.000263	0.116534	0.000031
автоклав	0.000263	0.116534	0.000031
автор	0.000263	0.040822	0.000011
агро	0.000263	0.116534	0.000031
аджика	0.000263	0.040822	0.000011
аз	0.000263	0.127833	0.000034
азербайджанский	0.000263	0.116534	0.000031
азиатский	0.000263	0.127833	0.000034
айран	0.000263	0.040822	0.000011
акватик	0.000788	0.127833	0.000101
акция	0.000263	2.040221	0.000536
алексей	0.000263	0.127833	0.000034
алкоголь	0.000788	0.116534	0.000092
алкогольный	0.000263	0.116534	0.000031
альтернатива	0.000263	2.813411	0.000739
альянс	0.000263	0.116534	0.000031
амарант	0.000263	4.605170	0.001210
американский	0.000263	0.116534	0.000031
английский	0.000263	0.116534	0.000031
андрей	0.000263	0.127833	0.000034
анкарташа	0.000263	4.605170	0.001210
аппетит	0.000263	2.302585	0.000605
аппетитный	0.000525	1.832581	0.000963
арабский	0.000263	0.116534	0.000031
аргентинский	0.000263	0.116534	0.000031
армянский	0.000263	0.116534	0.000031
аромат	0.000525	0.820981	0.000431
ароматный	0.000263	0.693147	0.000182
ассорти	0.000525	0.116534	0.000061
атлант	0.000263	0.116534	0.000031
ауричка	0.000263	3.506558	0.000921
афганский	0.000263	0.116534	0.000031
африканский	0.000525	0.116534	0.000061
аэрогриль	0.002627	0.116534	0.000306
баклажан	0.000263	0.040822	0.000011
балткома	0.000263	0.127833	0.000034
баранина	0.001051	0.116534	0.000122
барьерный	0.000525	4.605170	0.002420
басмати	0.000525	0.127833	0.000067
бастурм	0.000263	0.040822	0.000011
бастурма	0.000263	0.040822	0.000011
батончик	0.000263	0.127833	0.000034
башкирский	0.000263	0.116534	0.000031
бедро	0.009459	2.302585	0.021780
бедрышка	0.000263	3.506558	0.000921
безалкогольный	0.000263	0.116534	0.000031
безглютеновое	0.000263	0.116534	0.000031
безе	0.001051	0.040822	0.000043
безответно	0.000263	4.605170	0.001210
бекон	0.000525	1.897120	0.000997
белебеевский	0.000525	0.116534	0.000061
белок	0.000525	2.040221	0.001072
белорусский	0.000263	0.116534	0.000031
белый	0.001051	1.237874	0.001301
бельгийский	0.000263	0.116534	0.000031
беременная	0.000263	0.116534	0.000031
беркли	0.000263	4.605170	0.001210
беседин	0.000263	0.127833	0.000034
бесподобный	0.000263	1.560648	0.000410
бисквит	0.000525	0.040822	0.000021
бисквитный	0.000788	0.105361	0.000083
благополучно	0.000263	3.506558	0.000921
близкий	0.000525	0.116534	0.000061
блин	0.001576	0.040822	0.000064
блинчик	0.000263	1.714798	0.000451
блюдо	0.037835	0.040822	0.001545
бобовый	0.002102	0.116534	0.000245
бог	0.000263	3.218876	0.000846
болгарский	0.000788	0.116534	0.000092
болезный	0.000263	4.605170	0.001210
болезнь	0.000263	2.995732	0.000787
большой	0.000788	0.094311	0.000074
борщ	0.000525	0.040822	0.000021
ботвинья	0.000263	0.040822	0.000011
бразильский	0.000263	0.116534	0.000031
браузер	0.000263	0.040822	0.000011
брауни	0.000263	0.040822	0.000011
брест	0.000263	0.127833	0.000034
брокколи	0.000263	0.040822	0.000011
буженина	0.000263	0.040822	0.000011
булочка	0.000788	0.040822	0.000032
бульон	0.003941	0.040822	0.000161
бургер	0.000525	0.040822	0.000021
бурятский	0.000263	0.116534	0.000031
бутерброд	0.001314	0.040822	0.000054
бывать	0.000263	1.897120	0.000498
быстро	0.000263	0.094311	0.000025
быстрота	0.000263	3.506558	0.000921
быстрый	0.001839	0.094311	0.000173
бюджетный	0.000263	2.813411	0.000739
бёдрышка	0.000263	4.605170	0.001210
важный	0.000525	0.116534	0.000061
валлийский	0.000263	0.116534	0.000031
варение	0.000525	0.040822	0.000021
вареник	0.000263	0.116534	0.000031
вариант	0.001051	0.356675	0.000375
ватрушка	0.000263	0.040822	0.000011
вафля	0.000525	0.040822	0.000021
ваш	0.001314	0.000000	0.000000
вводить	0.000263	0.040822	0.000011
вдохновение	0.001576	0.116534	0.000184
вдохновляться	0.000263	0.116534	0.000031
вегетарианский	0.000525	0.116534	0.000061
великий	0.000263	0.116534	0.000031
великое	0.000263	2.995732	0.000787
венгерский	0.000263	0.116534	0.000031
весенний	0.000263	0.051293	0.000013
весна	0.001576	0.116534	0.000184
ветчина	0.000263	0.094311	0.000025
вечером	0.000263	2.407946	0.000633
вид	0.000525	0.776529	0.000408
видео	0.000525	0.116534	0.000061
видеорецепт	0.000263	0.301105	0.000079
визит	0.000263	4.605170	0.001210
визитёр	0.000263	4.605170	0.001210
вино	0.001051	0.040822	0.000043
включать	0.000263	0.634878	0.000167
вкрапление	0.000263	3.506558	0.000921
вкус	0.004204	0.105361	0.000443
вкусно	0.001314	0.094311	0.000124
вкусный	0.004992	0.061875	0.000309
влюбить	0.000263	0.116534	0.000031
вначале	0.001051	0.248461	0.000261
