лемма	TF	IDF	TF-IDF
абхазский	0.000299	0.116534	0.000035
август	0.000299	0.843970	0.000252
австралийский	0.000299	0.116534	0.000035
австрийский	0.000299	0.116534	0.000035
автоклав	0.000299	0.116534	0.000035
автор	0.000896	0.040822	0.000037
агро	0.000299	0.116534	0.000035
аджика	0.000299	0.040822	0.000012
ажур	0.000299	2.525729	0.000754
аз	0.000299	0.127833	0.000038
азербайджанский	0.000299	0.116534	0.000035
азиатский	0.000299	0.127833	0.000038
айран	0.000299	0.040822	0.000012
акватик	0.000896	0.127833	0.000115
акция	0.000299	2.040221	0.000609
алексей	0.000299	0.127833	0.000038
алкоголь	0.000896	0.116534	0.000104
алкогольный	0.000299	0.116534	0.000035
альянс	0.000299	0.116534	0.000035
американский	0.000299	0.116534	0.000035
английский	0.000299	0.116534	0.000035
андрей	0.000299	0.127833	0.000038
апрель	0.000896	0.544727	0.000488
арабский	0.000299	0.116534	0.000035
аргентинский	0.000299	0.116534	0.000035
армянский	0.000299	0.116534	0.000035
аромат	0.000597	0.820981	0.000490
ассорти	0.000597	0.116534	0.000070
атлант	0.000299	0.116534	0.000035
афганский	0.000299	0.116534	0.000035
африканский	0.000299	0.116534	0.000035
ачм	0.000299	3.218876	0.000961
аэрогриль	0.002987	0.116534	0.000348
аэропорт	0.000299	2.525729	0.000754
бабич	0.000597	1.514128	0.000904
баклажан	0.000299	0.040822	0.000012
балткома	0.000299	0.127833	0.000038
баранина	0.001195	0.116534	0.000139
барнхаус	0.000299	3.218876	0.000961
басмати	0.000597	0.127833	0.000076
бастурм	0.000299	0.040822	0.000012
бастурма	0.000299	0.040822	0.000012
батон	0.000896	1.514128	0.001357
батончик	0.000299	0.127833	0.000038
башкирский	0.000299	0.116534	0.000035
безалкогольный	0.000299	0.116534	0.000035
безглютеновое	0.000299	0.116534	0.000035
безе	0.001195	0.040822	0.000049
безмерно	0.000299	2.659260	0.000794
белебеевский	0.000597	0.116534	0.000070
белорусский	0.000299	0.116534	0.000035
бельгийский	0.000299	0.116534	0.000035
беременная	0.000299	0.116534	0.000035
беседин	0.000299	0.127833	0.000038
бесподобный	0.000299	1.560648	0.000466
бизнес	0.000299	2.525729	0.000754
бисквит	0.000597	0.040822	0.000024
бисквитный	0.000896	0.105361	0.000094
благодарный	0.000299	1.660731	0.000496
близкий	0.000597	0.116534	0.000070
блин	0.001792	0.040822	0.000073
блиц	0.000299	2.207275	0.000659
блондиночка	0.000299	3.218876	0.000961
блюдо	0.036738	0.040822	0.001500
бобовый	0.002389	0.116534	0.000278
болгарский	0.000896	0.116534	0.000104
большой	0.000597	0.094311	0.000056
борт	0.000299	2.525729	0.000754
бортовый	0.000299	2.525729	0.000754
борщ	0.000597	0.040822	0.000024
ботвинья	0.000299	0.040822	0.000012
бразильский	0.000299	0.116534	0.000035
брат	0.000299	2.813411	0.000840
браузер	0.000299	0.040822	0.000012
брауни	0.000299	0.040822	0.000012
брест	0.000299	0.127833	0.000038
брокколи	0.000299	0.040822	0.000012
буженина	0.000299	0.040822	0.000012
булочка	0.000896	0.040822	0.000037
бульон	0.003286	0.040822	0.000134
бургер	0.000597	0.040822	0.000024
бурятский	0.000299	0.116534	0.000035
бутерброд	0.001493	0.040822	0.000061
быстро	0.001493	0.094311	0.000141
быстрый	0.001195	0.094311	0.000113
важный	0.000299	0.116534	0.000035
валлийский	0.000299	0.116534	0.000035
варение	0.000597	0.040822	0.000024
вареник	0.000299	0.116534	0.000035
вариант	0.000299	0.356675	0.000107
ватрушка	0.000299	0.040822	0.000012
вафля	0.000597	0.040822	0.000024
ваш	0.001493	0.000000	0.000000
вводить	0.000299	0.040822	0.000012
вдохновение	0.001792	0.116534	0.000209
вдохновляться	0.000299	0.116534	0.000035
вегетарианский	0.000597	0.116534	0.000070
великий	0.000299	0.116534	0.000035
великолепный	0.000299	1.427116	0.000426
венгерский	0.000299	0.116534	0.000035
весенний	0.000299	0.051293	0.000015
весна	0.001792	0.116534	0.000209
