лемма	TF	IDF	TF-IDF
абхазский	0.000272	0.116534	0.000032
австралийский	0.000272	0.116534	0.000032
австрийский	0.000272	0.116534	0.000032
автоклав	0.000272	0.116534	0.000032
автор	0.000272	0.040822	0.000011
агро	0.000272	0.116534	0.000032
аджика	0.000272	0.040822	0.000011
аз	0.000272	0.127833	0.000035
азербайджанский	0.000272	0.116534	0.000032
азиатский	0.000272	0.127833	0.000035
айран	0.000272	0.040822	0.000011
акватик	0.000817	0.127833	0.000104
алексей	0.000272	0.127833	0.000035
алкоголь	0.001090	0.116534	0.000127
алкогольный	0.000272	0.116534	0.000032
альянс	0.000272	0.116534	0.000032
американский	0.000545	0.116534	0.000064
английский	0.001362	0.116534	0.000159
андрей	0.000272	0.127833	0.000035
апельсин	0.000545	2.813411	0.001533
апрель	0.000272	0.544727	0.000148
арабский	0.000272	0.116534	0.000032
аргентинский	0.000272	0.116534	0.000032
армянский	0.000272	0.116534	0.000032
аромат	0.000272	0.820981	0.000224
ароматный	0.001090	0.693147	0.000755
архангельск	0.000272	4.605170	0.001255
ассорти	0.000545	0.116534	0.000064
атлант	0.000272	0.116534	0.000032
афганский	0.000272	0.116534	0.000032
африканский	0.000272	0.116534	0.000032
аэрогриль	0.002725	0.116534	0.000318
баклажан	0.000272	0.040822	0.000011
балткома	0.000272	0.127833	0.000035
бальзамик	0.000545	2.659260	0.001449
баранина	0.001090	0.116534	0.000127
барнхаус	0.000272	3.218876	0.000877
басмати	0.000545	0.127833	0.000070
бастурм	0.000272	0.040822	0.000011
бастурма	0.000272	0.040822	0.000011
батончик	0.000272	0.127833	0.000035
башкирский	0.000272	0.116534	0.000032
безалкогольный	0.000272	0.116534	0.000032
безглютеновое	0.000272	0.116534	0.000032
бездрожжевой	0.000272	2.407946	0.000656
безе	0.001090	0.040822	0.000044
безусловно	0.000272	4.605170	0.001255
белебеевский	0.000545	0.116534	0.000064
белок	0.000545	2.040221	0.001112
белорусский	0.000272	0.116534	0.000032
белоснежный	0.000272	3.912023	0.001066
белочка	0.000545	4.605170	0.002510
белый	0.000545	1.237874	0.000675
бельгийский	0.000272	0.116534	0.000032
беннитый	0.000272	3.912023	0.001066
беременная	0.000272	0.116534	0.000032
беседин	0.000272	0.127833	0.000035
бисквит	0.000545	0.040822	0.000022
бисквитный	0.001362	0.105361	0.000144
близкий	0.000817	0.116534	0.000095
блин	0.002180	0.040822	0.000089
блюдо	0.028065	0.040822	0.001146
бобовый	0.002180	0.116534	0.000254
богатый	0.000817	2.813411	0.002300
болгарский	0.000272	0.116534	0.000032
большой	0.000545	0.094311	0.000051
борщ	0.000545	0.040822	0.000022
ботвинья	0.000272	0.040822	0.000011
бразильский	0.000272	0.116534	0.000032
брать	0.000272	1.897120	0.000517
браузер	0.000272	0.040822	0.000011
брауни	0.000272	0.040822	0.000011
брест	0.000272	0.127833	0.000035
брокколи	0.000272	0.040822	0.000011
буженина	0.000272	0.040822	0.000011
булочка	0.002452	0.040822	0.000100
бульон	0.002997	0.040822	0.000122
бургер	0.000545	0.040822	0.000022
бурятский	0.000272	0.116534	0.000032
бутерброд	0.001090	0.040822	0.000044
быстро	0.000817	0.094311	0.000077
быстрый	0.001090	0.094311	0.000103
бюджетный	0.000272	2.813411	0.000767
важный	0.000272	0.116534	0.000032
валлийский	0.000272	0.116534	0.000032
ванилин	0.000545	1.609438	0.000877
ваниль	0.000545	2.813411	0.001533
ванильный	0.000545	1.347074	0.000734
варение	0.000545	0.040822	0.000022
вареник	0.000272	0.116534	0.000032
вариант	0.000545	0.356675	0.000194
вариация	0.000272	2.407946	0.000656
ватрушка	0.000272	0.040822	0.000011
вафля	0.000545	0.040822	0.000022
ваш	0.001635	0.000000	0.000000
вводить	0.000272	0.040822	0.000011
вдохновение	0.001635	0.116534	0.000191
вдохновляться	0.000272	0.116534	0.000032
вегетарианский	0.000545	0.116534	0.000064
великий	0.000545	0.116534	0.000064
венгерский	0.000272	0.116534	0.000032
весенний	0.000545	0.051293	0.000028
весна	0.001907	0.116534	0.000222
ветчина	0.000272	0.094311	0.000026
взбить	0.000272	2.525729	0.000688
взрослый	0.000272	2.659260	0.000725
видео	0.000545	0.116534	0.000064
видеорецепт	0.000272	0.301105	0.000082
вино	0.000545	0.040822	0.000022
включать	0.000272	0.634878	0.000173
вкус	0.004087	0.105361	0.000431
вкусно	0.001362	0.094311	0.000128
вкусный	0.004905	0.061875	0.000303
вкусовой	0.000272	2.813411	0.000767
влюбить	0.000272	0.116534	0.000032
вначале	0.001090	0.248461	0.000271
внимание	0.000272	1.237874	0.000337
вовсю	0.000272	4.605170	0.001255
вода	0.002997	0.094311	0.000283
водка	0.000545	2.302585	0.001255
воздушный	0.000272	1.469676	0.000400
возможно	0.000272	1.469676	0.000400
войти	0.000272	0.000000	0.000000
волован	0.000272	0.116534	0.000032
волшебный	0.000272	0.116534	0.000032
волшебство	0.000272	0.116534	0.000032
вопрос	0.000272	0.000000	0.000000
восторг	0.000272	1.309333	0.000357
восточный	0.000272	0.127833	0.000035
время	0.002452	0.105361	0.000258
вспомнить	0.000545	0.040822	0.000022
второе	0.000272	0.116534	0.000032
второй	0.000545	0.116534	0.000064
вход	0.000817	0.030459	0.000025
выйти	0.000272	0.040822	0.000011
выпекать	0.000272	2.995732	0.000816
выпечка	0.006540	0.040822	0.000267
вьетнамский	0.000272	0.116534	0.000032
гавайский	0.000272	0.116534	0.000032
гараж	0.000545	1.078810	0.000588
гармоничный	0.000272	4.605170	0.001255
гарнир	0.001362	0.040822	0.000056
гаспачо	0.000272	0.040822	0.000011
гашёный	0.000545	2.207275	0.001203
гвоздик	0.000545	2.302585	0.001255
география	0.000272	0.116534	0.000032
главный	0.000272	0.040822	0.000011
глаз	0.000272	2.207275	0.000601
глазурь	0.000817	0.040822	0.000033
глинтвейн	0.000272	0.040822	0.000011
говядина	0.001090	0.116534	0.000127
год	0.007084	0.083382	0.000591
голландский	0.000272	0.116534	0.000032
город	0.000272	0.116534	0.000032
горох	0.000272	0.116534	0.000032
горчица	0.000817	0.040822	0.000033
горшочек	0.000545	0.040822	0.000022
горячее	0.000545	0.116534	0.000064
горячий	0.011444	0.105361	0.001206
гость	0.000545	0.116534	0.000064
готовить	0.004087	0.083382	0.000341
готовиться	0.000817	0.371064	0.000303
готовый	0.000272	0.755023	0.000206
гребешков	0.000272	3.912023	0.001066
гренка	0.000545	0.040822	0.000022
грецкий	0.000545	1.469676	0.000801
греческий	0.000272	0.116534	0.000032
гречка	0.000272	0.040822	0.000011
гречневый	0.000545	3.506558	0.001911
