лемма	TF	IDF	TF-IDF
абхазский	0.000283	0.116534	0.000033
австралийский	0.000283	0.116534	0.000033
австрийский	0.000283	0.116534	0.000033
автоклав	0.000283	0.116534	0.000033
автор	0.000283	0.040822	0.000012
агро	0.000283	0.116534	0.000033
адалий	0.000283	4.605170	0.001303
аджика	0.000283	0.040822	0.000012
аз	0.000283	0.127833	0.000036
азербайджанский	0.000283	0.116534	0.000033
азиатский	0.000283	0.127833	0.000036
айран	0.000283	0.040822	0.000012
акватик	0.000849	0.127833	0.000109
алексей	0.000283	0.127833	0.000036
алкоголь	0.000849	0.116534	0.000099
алкогольный	0.000283	0.116534	0.000033
альянс	0.000283	0.116534	0.000033
американский	0.000283	0.116534	0.000033
ангел	0.000283	4.605170	0.001303
английский	0.000283	0.116534	0.000033
андрей	0.000283	0.127833	0.000036
апрель	0.000566	0.544727	0.000308
арабский	0.000283	0.116534	0.000033
арахис	0.000566	2.995732	0.001696
аргентинский	0.000283	0.116534	0.000033
арканзас	0.000283	4.605170	0.001303
армянский	0.000283	0.116534	0.000033
ароматный	0.000849	0.693147	0.000589
ассорти	0.000566	0.116534	0.000066
атлант	0.000283	0.116534	0.000033
афганский	0.000283	0.116534	0.000033
африканский	0.000283	0.116534	0.000033
аэрогриль	0.002830	0.116534	0.000330
бабич	0.000283	1.514128	0.000429
баклажан	0.000283	0.040822	0.000012
балткома	0.000283	0.127833	0.000036
баранина	0.001132	0.116534	0.000132
басмати	0.000566	0.127833	0.000072
бастурм	0.000283	0.040822	0.000012
бастурма	0.000283	0.040822	0.000012
батончик	0.000283	0.127833	0.000036
башкирский	0.000283	0.116534	0.000033
безалкогольный	0.000283	0.116534	0.000033
безглютеновое	0.000283	0.116534	0.000033
безе	0.001415	0.040822	0.000058
белебеевский	0.000566	0.116534	0.000066
белок	0.001698	2.040221	0.003465
белорусский	0.000283	0.116534	0.000033
белый	0.000566	1.237874	0.000701
бельгийский	0.000283	0.116534	0.000033
беременная	0.000283	0.116534	0.000033
беседин	0.000283	0.127833	0.000036
бесконечно	0.000283	4.605170	0.001303
бисквит	0.000566	0.040822	0.000023
бисквитный	0.001415	0.105361	0.000149
благодарить	0.000283	2.407946	0.000682
близкий	0.000849	0.116534	0.000099
