лемма	TF	IDF	TF-IDF
абхазский	0.000274	0.116534	0.000032
август	0.000274	0.843970	0.000232
авокадо	0.000549	3.218876	0.001767
австралийский	0.000274	0.116534	0.000032
австрийский	0.000274	0.116534	0.000032
автоклав	0.000274	0.116534	0.000032
автор	0.000274	0.040822	0.000011
агро	0.000274	0.116534	0.000032
адаптировать	0.000274	2.659260	0.000730
аджика	0.000274	0.040822	0.000011
ажурный	0.000274	2.659260	0.000730
аз	0.000274	0.127833	0.000035
азербайджанский	0.000274	0.116534	0.000032
азиатский	0.000274	0.127833	0.000035
айран	0.000274	0.040822	0.000011
акватик	0.000823	0.127833	0.000105
алексей	0.000274	0.127833	0.000035
алкоголь	0.000823	0.116534	0.000096
алкогольный	0.000274	0.116534	0.000032
альянс	0.000274	0.116534	0.000032
американский	0.000274	0.116534	0.000032
ананас	0.000549	2.995732	0.001645
английский	0.000823	0.116534	0.000096
андрей	0.000274	0.127833	0.000035
апрель	0.000274	0.544727	0.000150
арабский	0.000274	0.116534	0.000032
аргентинский	0.000274	0.116534	0.000032
армянский	0.000274	0.116534	0.000032
аромат	0.000274	0.820981	0.000225
ассорти	0.000549	0.116534	0.000064
атлант	0.000274	0.116534	0.000032
афганский	0.000274	0.116534	0.000032
африканский	0.000274	0.116534	0.000032
аэрогриль	0.002745	0.116534	0.000320
бабич	0.000274	1.514128	0.000416
базилик	0.000549	1.609438	0.000884
баклажан	0.000274	0.040822	0.000011
балкон	0.000274	2.120264	0.000582
балткома	0.000274	0.127833	0.000035
бальзамик	0.000549	2.659260	0.001460
баранина	0.001098	0.116534	0.000128
басмати	0.000549	0.127833	0.000070
бастурм	0.000274	0.040822	0.000011
бастурма	0.000274	0.040822	0.000011
батончик	0.000274	0.127833	0.000035
башкирский	0.000274	0.116534	0.000032
беда	0.000274	3.218876	0.000884
безалкогольный	0.000274	0.116534	0.000032
безглютеновое	0.000274	0.116534	0.000032
безе	0.001098	0.040822	0.000045
безумно	0.000274	1.560648	0.000428
белебеевский	0.000549	0.116534	0.000064
белорусский	0.000274	0.116534	0.000032
бельгийский	0.000274	0.116534	0.000032
беременная	0.000274	0.116534	0.000032
беседин	0.000274	0.127833	0.000035
бисквит	0.000549	0.040822	0.000022
бисквитный	0.000823	0.105361	0.000087
близкий	0.000549	0.116534	0.000064
блин	0.002196	0.040822	0.000090
блюдо	0.030195	0.040822	0.001233
бобовый	0.002196	0.116534	0.000256
болгарский	0.001372	0.116534	0.000160
большой	0.001098	0.094311	0.000104
борщ	0.000549	0.040822	0.000022
ботвинья	0.000274	0.040822	0.000011
бразильский	0.000274	0.116534	0.000032
браузер	0.000274	0.040822	0.000011
брауни	0.000274	0.040822	0.000011
брест	0.000274	0.127833	0.000035
брокколи	0.000274	0.040822	0.000011
буженина	0.000274	0.040822	0.000011
булочка	0.000823	0.040822	0.000034
бульон	0.003568	0.040822	0.000146
бургер	0.000549	0.040822	0.000022
бурятский	0.000274	0.116534	0.000032
бутерброд	0.001372	0.040822	0.000056
быстро	0.000549	0.094311	0.000052
быстрый	0.001098	0.094311	0.000104
важный	0.000274	0.116534	0.000032
валлийский	0.000274	0.116534	0.000032
варение	0.000549	0.040822	0.000022
