лемма	TF	IDF	TF-IDF
абхазский	0.000316	0.116534	0.000037
австралийский	0.000316	0.116534	0.000037
австрийский	0.000316	0.116534	0.000037
автоклав	0.000316	0.116534	0.000037
автор	0.003165	0.040822	0.000129
агро	0.000316	0.116534	0.000037
аджика	0.000316	0.040822	0.000013
аз	0.000316	0.127833	0.000040
азербайджанский	0.000316	0.116534	0.000037
азиатский	0.000316	0.127833	0.000040
айран	0.000316	0.040822	0.000013
акватик	0.000949	0.127833	0.000121
алексей	0.000316	0.127833	0.000040
алкоголь	0.000949	0.116534	0.000111
алкогольный	0.000316	0.116534	0.000037
альянс	0.000316	0.116534	0.000037
американский	0.000316	0.116534	0.000037
английский	0.000316	0.116534	0.000037
андрей	0.000316	0.127833	0.000040
арабский	0.000316	0.116534	0.000037
аргентинский	0.000316	0.116534	0.000037
армянский	0.000316	0.116534	0.000037
аромат	0.000316	0.820981	0.000260
ароматный	0.000316	0.693147	0.000219
ассорти	0.000633	0.116534	0.000074
атлант	0.000316	0.116534	0.000037
афганский	0.000316	0.116534	0.000037
африканский	0.000316	0.116534	0.000037
аэрогриль	0.003165	0.116534	0.000369
баклажан	0.000633	0.040822	0.000026
балткома	0.000316	0.127833	0.000040
баранина	0.001266	0.116534	0.000148
басмати	0.000633	0.127833	0.000081
бастурм	0.000316	0.040822	0.000013
бастурма	0.000316	0.040822	0.000013
батончик	0.000316	0.127833	0.000040
башкирский	0.000316	0.116534	0.000037
безалкогольный	0.000316	0.116534	0.000037
безглютеновое	0.000316	0.116534	0.000037
безе	0.001266	0.040822	0.000052
белебеевский	0.000633	0.116534	0.000074
белка	0.000633	2.120264	0.001342
белокочанный	0.001266	0.967584	0.001225
белорусский	0.000316	0.116534	0.000037
бельгийский	0.000316	0.116534	0.000037
беременная	0.000316	0.116534	0.000037
беседин	0.000316	0.127833	0.000040
бета	0.000316	4.605170	0.001457
бисквит	0.000633	0.040822	0.000026
бисквитный	0.000949	0.105361	0.000100
близкий	0.000633	0.116534	0.000074
блин	0.001899	0.040822	0.000078
блог	0.000633	2.302585	0.001457
блюдо	0.036709	0.040822	0.001499
бобовый	0.004114	0.116534	0.000479
болгарский	0.000316	0.116534	0.000037
больший	0.000316	2.040221	0.000646
большой	0.000949	0.094311	0.000090
борщ	0.000633	0.040822	0.000026
ботвинья	0.000316	0.040822	0.000013
брависсиимммооо	0.000316	4.605170	0.001457
бразильский	0.000316	0.116534	0.000037
браузер	0.000316	0.040822	0.000013
брауни	0.000316	0.040822	0.000013
брест	0.000316	0.127833	0.000040
брокколи	0.000316	0.040822	0.000013
буженина	0.000316	0.040822	0.000013
буквально	0.000633	2.407946	0.001524
булочка	0.000949	0.040822	0.000039
бульон	0.003481	0.040822	0.000142
бургер	0.000633	0.040822	0.000026
бурятский	0.000316	0.116534	0.000037
бутерброд	0.001266	0.040822	0.000052
бухгалтер	0.000316	4.605170	0.001457
бывать	0.000633	1.897120	0.001201
быстро	0.001582	0.094311	0.000149
быстрый	0.001266	0.094311	0.000119
важный	0.000316	0.116534	0.000037
вай	0.000949	4.605170	0.004372
валлийский	0.000316	0.116534	0.000037
варение	0.000633	0.040822	0.000026
вареник	0.000316	0.116534	0.000037
вариант	0.000316	0.356675	0.000113
ватрушка	0.000316	0.040822	0.000013
вафля	0.000633	0.040822	0.000026
ваха	0.000316	4.605170	0.001457
ваш	0.001582	0.000000	0.000000
ввод	0.000316	2.302585	0.000729
вводить	0.000316	0.040822	0.000013
вдохновение	0.001899	0.116534	0.000221
вдохновляться	0.000316	0.116534	0.000037
вегетарианский	0.000633	0.116534	0.000074
великий	0.000316	0.116534	0.000037
великолепный	0.000316	1.427116	0.000452
венгерский	0.000316	0.116534	0.000037
верить	0.000316	2.407946	0.000762
версия	0.000316	1.897120	0.000600
весенний	0.000316	0.051293	0.000016
весна	0.002215	0.116534	0.000258
ветчина	0.000316	0.094311	0.000030
