лемма	TF	IDF	TF-IDF
аббатство	0.000562	4.605170	0.002589
абхазский	0.000281	0.116534	0.000033
август	0.000562	0.843970	0.000475
австралийский	0.000281	0.116534	0.000033
австрийский	0.000281	0.116534	0.000033
автоклав	0.000281	0.116534	0.000033
автор	0.000562	0.040822	0.000023
агро	0.000281	0.116534	0.000033
аджика	0.000281	0.040822	0.000011
аз	0.000281	0.127833	0.000036
азербайджанский	0.000281	0.116534	0.000033
азиатский	0.000281	0.127833	0.000036
айран	0.000281	0.040822	0.000011
акватик	0.000843	0.127833	0.000108
акрон	0.000281	4.605170	0.001295
алексей	0.000281	0.127833	0.000036
алиго	0.000843	4.605170	0.003884
алкоголь	0.000843	0.116534	0.000098
алкогольный	0.000281	0.116534	0.000033
альянс	0.000281	0.116534	0.000033
американский	0.000281	0.116534	0.000033
анастасия	0.000281	3.506558	0.000986
английский	0.000281	0.116534	0.000033
андрей	0.000281	0.127833	0.000036
арабский	0.000281	0.116534	0.000033
аргентинский	0.000281	0.116534	0.000033
армянский	0.000281	0.116534	0.000033
ароматный	0.000562	0.693147	0.000390
архив	0.000281	4.605170	0.001295
ассорти	0.000562	0.116534	0.000066
атлант	0.000281	0.116534	0.000033
афганский	0.000281	0.116534	0.000033
африканский	0.000281	0.116534	0.000033
аэрогриль	0.002811	0.116534	0.000328
базилик	0.001687	1.609438	0.002715
баклажан	0.000843	0.040822	0.000034
балткома	0.000281	0.127833	0.000036
баранина	0.001125	0.116534	0.000131
басмати	0.000562	0.127833	0.000072
бастурм	0.000281	0.040822	0.000011
бастурма	0.000281	0.040822	0.000011
батончик	0.000281	0.127833	0.000036
башкирский	0.000281	0.116534	0.000033
безалкогольный	0.000281	0.116534	0.000033
безглютеновое	0.000281	0.116534	0.000033
безе	0.001125	0.040822	0.000046
безумие	0.000281	4.605170	0.001295
бекон	0.000843	1.897120	0.001600
белебеевский	0.000562	0.116534	0.000066
белорусский	0.000281	0.116534	0.000033
бельгийский	0.000281	0.116534	0.000033
беременная	0.000281	0.116534	0.000033
беседин	0.000281	0.127833	0.000036
бисквит	0.000562	0.040822	0.000023
бисквитный	0.000843	0.105361	0.000089
блат	0.000281	3.506558	0.000986
близкий	0.000562	0.116534	0.000066
блин	0.001687	0.040822	0.000069
блюдо	0.034580	0.040822	0.001412
бобовый	0.002530	0.116534	0.000295
болгарский	0.001968	0.116534	0.000229
больший	0.000281	2.040221	0.000574
большой	0.000562	0.094311	0.000053
бомба	0.000281	3.506558	0.000986
борщ	0.000562	0.040822	0.000023
ботвинья	0.000281	0.040822	0.000011
бразильский	0.000281	0.116534	0.000033
брат	0.000281	2.813411	0.000791
брать	0.000281	1.897120	0.000533
браузер	0.000281	0.040822	0.000011
брауни	0.000281	0.040822	0.000011
брест	0.000281	0.127833	0.000036
брокколи	0.000281	0.040822	0.000011
будни	0.000281	2.525729	0.000710
буженина	0.000281	0.040822	0.000011
булочка	0.000843	0.040822	0.000034
бульон	0.003092	0.040822	0.000126
бургер	0.000562	0.040822	0.000023
бурятский	0.000281	0.116534	0.000033
бутерброд	0.001125	0.040822	0.000046
быстро	0.000843	0.094311	0.000080
быстрый	0.001125	0.094311	0.000106
важный	0.000562	0.116534	0.000066
валлийский	0.000281	0.116534	0.000033
варение	0.000562	0.040822	0.000023
вареник	0.000281	0.116534	0.000033
вариант	0.000281	0.356675	0.000100
ватрушка	0.000281	0.040822	0.000011
вафля	0.000562	0.040822	0.000023
ваш	0.001125	0.000000	0.000000
вводить	0.000281	0.040822	0.000011
вдохновение	0.001687	0.116534	0.000197
вдохновляться	0.000281	0.116534	0.000033
вегетарианский	0.000562	0.116534	0.000066
великий	0.000562	0.116534	0.000066
венгерский	0.000281	0.116534	0.000033
венерик	0.000843	2.120264	0.001788
весенний	0.000281	0.051293	0.000014
весна	0.001687	0.116534	0.000197
ветчина	0.000843	0.094311	0.000080
вечный	0.000281	4.605170	0.001295
взрослый	0.000281	2.659260	0.000748
вид	0.000281	0.776529	0.000218
видео	0.000562	0.116534	0.000066
видеорецепт	0.000281	0.301105	0.000085
вино	0.000562	0.040822	0.000023
включать	0.000281	0.634878	0.000178
вкус	0.004217	0.105361	0.000444
вкусно	0.002249	0.094311	0.000212
вкусный	0.004779	0.061875	0.000296
влюбить	0.000281	0.116534	0.000033
вначале	0.001125	0.248461	0.000279
вода	0.001968	0.094311	0.000186
войти	0.000281	0.000000	0.000000
волован	0.000281	0.116534	0.000033
волшебный	0.000281	0.116534	0.000033
волшебство	0.000281	0.116534	0.000033
вопрос	0.000281	0.000000	0.000000
воспользоваться	0.000281	1.832581	0.000515
восточный	0.000281	0.127833	0.000036
впечатление	0.000281	2.407946	0.000677
время	0.002530	0.105361	0.000267
вспомнить	0.000281	0.040822	0.000011
встретить	0.000281	3.506558	0.000986
второе	0.000281	0.116534	0.000033
второй	0.000562	0.116534	0.000066
вход	0.000843	0.030459	0.000026
выбрасывать	0.000281	3.912023	0.001100
выжить	0.000281	4.605170	0.001295
выйти	0.000281	0.040822	0.000011
выкладывать	0.000281	1.660731	0.000467
выпечка	0.006747	0.040822	0.000275
выручалочка	0.000281	1.560648	0.000439
выходной	0.000281	2.040221	0.000574
вьетнамский	0.000281	0.116534	0.000033
вяленый	0.000562	2.525729	0.001420
гавайский	0.000281	0.116534	0.000033
гарнир	0.001406	0.040822	0.000057
гаспачо	0.000281	0.040822	0.000011
гениальный	0.000281	4.605170	0.001295
география	0.000281	0.116534	0.000033
гибель	0.000281	4.605170	0.001295
главное	0.000562	1.139434	0.000641
главный	0.000281	0.040822	0.000011
глазурь	0.000843	0.040822	0.000034
глинтвейн	0.000281	0.040822	0.000011
глубинка	0.000281	4.605170	0.001295
говядина	0.001125	0.116534	0.000131
год	0.006747	0.083382	0.000563
голландский	0.000843	0.116534	0.000098
город	0.000281	0.116534	0.000033
горох	0.000281	0.116534	0.000033
горчица	0.001406	0.040822	0.000057
горшочек	0.000562	0.040822	0.000023
горячее	0.000562	0.116534	0.000066
горячий	0.014338	0.105361	0.001511
гость	0.000281	0.116534	0.000033
готовить	0.004498	0.083382	0.000375
готовиться	0.000843	0.371064	0.000313
готовый	0.000281	0.755023	0.000212
гренка	0.000562	0.040822	0.000023
грех	0.000281	4.605170	0.001295
греческий	0.000281	0.116534	0.000033
гречка	0.000281	0.040822	0.000011
гриб	0.004217	0.040822	0.000172
грибной	0.000562	0.040822	0.000023
