лемма	TF	IDF	TF-IDF
абхазский	0.000267	0.116534	0.000031
австралийский	0.000267	0.116534	0.000031
австрийский	0.000267	0.116534	0.000031
автоклав	0.000267	0.116534	0.000031
автор	0.000267	0.040822	0.000011
агро	0.000267	0.116534	0.000031
аджика	0.000267	0.040822	0.000011
аз	0.000267	0.127833	0.000034
азербайджанский	0.000267	0.116534	0.000031
азиатский	0.000267	0.127833	0.000034
айран	0.000267	0.040822	0.000011
акватик	0.000802	0.127833	0.000103
алексей	0.000267	0.127833	0.000034
алкоголь	0.000802	0.116534	0.000093
алкогольный	0.000267	0.116534	0.000031
альянс	0.000267	0.116534	0.000031
американский	0.000267	0.116534	0.000031
амплуа	0.000267	3.912023	0.001046
ананас	0.000535	2.995732	0.001602
анастасия	0.000267	3.506558	0.000938
английский	0.000267	0.116534	0.000031
андрей	0.000267	0.127833	0.000034
арабский	0.000267	0.116534	0.000031
аргентинский	0.000267	0.116534	0.000031
армянский	0.000267	0.116534	0.000031
ассорти	0.000535	0.116534	0.000062
атлант	0.000267	0.116534	0.000031
афганский	0.000267	0.116534	0.000031
африканский	0.000267	0.116534	0.000031
аэрогриль	0.002674	0.116534	0.000312
баклажан	0.000267	0.040822	0.000011
балткома	0.000267	0.127833	0.000034
баранина	0.001337	0.116534	0.000156
басмати	0.000535	0.127833	0.000068
бастурм	0.000267	0.040822	0.000011
бастурма	0.000267	0.040822	0.000011
батон	0.000535	1.514128	0.000810
батончик	0.000267	0.127833	0.000034
башкирский	0.000267	0.116534	0.000031
безалкогольный	0.000267	0.116534	0.000031
безглютеновое	0.000267	0.116534	0.000031
безе	0.001070	0.040822	0.000044
безобразие	0.000267	2.525729	0.000675
безумно	0.000267	1.560648	0.000417
белебеевский	0.000535	0.116534	0.000062
белокочанный	0.001070	0.967584	0.001035
белорусский	0.000267	0.116534	0.000031
белый	0.000535	1.237874	0.000662
бельгийский	0.000267	0.116534	0.000031
беременная	0.000267	0.116534	0.000031
беседин	0.000267	0.127833	0.000034
бисквит	0.000535	0.040822	0.000022
бисквитный	0.000802	0.105361	0.000085
благодарить	0.000267	2.407946	0.000644
благополучно	0.000267	3.506558	0.000938
близкий	0.000802	0.116534	0.000093
блин	0.001604	0.040822	0.000065
блинчик	0.000267	1.714798	0.000459
блокнот	0.000267	3.912023	0.001046
блондинка	0.000267	4.605170	0.001231
блондиночка	0.000267	3.218876	0.000861
блюдо	0.027807	0.040822	0.001135
бобовый	0.002406	0.116534	0.000280
бокал	0.000267	4.605170	0.001231
болгарский	0.001337	0.116534	0.000156
большой	0.000535	0.094311	0.000050
бооооольший	0.000267	3.218876	0.000861
борщ	0.000535	0.040822	0.000022
ботвинья	0.000267	0.040822	0.000011
бразильский	0.000267	0.116534	0.000031
брать	0.000267	1.897120	0.000507
браузер	0.000267	0.040822	0.000011
брауни	0.000267	0.040822	0.000011
брест	0.000267	0.127833	0.000034
брокколи	0.000267	0.040822	0.000011
будни	0.000267	2.525729	0.000675
буженина	0.000267	0.040822	0.000011
булочка	0.000802	0.040822	0.000033
бульон	0.002941	0.040822	0.000120
бумажка	0.000267	4.605170	0.001231
бургер	0.000535	0.040822	0.000022
бурятский	0.000267	0.116534	0.000031
бутерброд	0.001070	0.040822	0.000044
быстро	0.000802	0.094311	0.000076
быстрый	0.001337	0.094311	0.000126
важный	0.000267	0.116534	0.000031
валлийский	0.000267	0.116534	0.000031
варение	0.000535	0.040822	0.000022
вареник	0.000267	0.116534	0.000031
вариант	0.000535	0.356675	0.000191
ватрушка	0.000267	0.040822	0.000011
вафля	0.000535	0.040822	0.000022
ваш	0.000535	0.000000	0.000000
вводить	0.000267	0.040822	0.000011
вдохновение	0.001604	0.116534	0.000187
вдохновляться	0.000267	0.116534	0.000031
вдруг	0.000267	2.407946	0.000644
вегетарианский	0.000535	0.116534	0.000062
великий	0.000267	0.116534	0.000031
венгерский	0.000267	0.116534	0.000031
венерик	0.000535	2.120264	0.001134
верить	0.001070	2.407946	0.002575
вернуться	0.000267	2.995732	0.000801
весенний	0.000267	0.051293	0.000014
весна	0.001872	0.116534	0.000218
ветчина	0.002139	0.094311	0.000202
вещь	0.000267	3.912023	0.001046
взять	0.000535	1.171183	0.000626
вид	0.000267	0.776529	0.000208
видео	0.000535	0.116534	0.000062
видеорецепт	0.000267	0.301105	0.000081
вина	0.000267	2.995732	0.000801
вино	0.000802	0.040822	0.000033
вкус	0.003209	0.105361	0.000338
вкусно	0.001337	0.094311	0.000126
вкусный	0.004813	0.061875	0.000298
вкуснятина	0.000267	2.207275	0.000590
влюбить	0.000267	0.116534	0.000031
вместе	0.000267	0.916291	0.000245
вначале	0.001070	0.248461	0.000266
внутри	0.000267	1.469676	0.000393
вода	0.001337	0.094311	0.000126
возможность	0.000267	1.966113	0.000526
войти	0.000267	0.000000	0.000000
волован	0.000535	0.116534	0.000062
волшебный	0.000267	0.116534	0.000031
волшебство	0.000267	0.116534	0.000031
вопрос	0.000267	0.000000	0.000000
восточный	0.000267	0.127833	0.000034
впереди	0.000267	2.407946	0.000644
время	0.001872	0.105361	0.000197
всегда	0.000535	0.653926	0.000350
вспомнить	0.000267	0.040822	0.000011
вставать	0.000267	3.912023	0.001046
встреча	0.000267	3.218876	0.000861
второе	0.000267	0.116534	0.000031
второй	0.000802	0.116534	0.000093
вход	0.000802	0.030459	0.000024
выйти	0.000267	0.040822	0.000011
выкладывать	0.000267	1.660731	0.000444
выложить	0.000267	1.832581	0.000490
выпечка	0.004011	0.040822	0.000164
вырываться	0.000267	3.506558	0.000938
вытекать	0.000267	2.813411	0.000752
выходной	0.000267	2.040221	0.000546
вьетнамский	0.000267	0.116534	0.000031
гавайский	0.000267	0.116534	0.000031
гараж	0.000267	1.078810	0.000288
гарнир	0.001337	0.040822	0.000055
гаспачо	0.000267	0.040822	0.000011
география	0.000267	0.116534	0.000031
главное	0.000267	1.139434	0.000305
главный	0.000535	0.040822	0.000022
глазурь	0.000802	0.040822	0.000033
глехурада	0.000267	3.218876	0.000861
глинтвейн	0.000267	0.040822	0.000011
говорить	0.000535	1.272966	0.000681
говядина	0.001337	0.116534	0.000156
год	0.007487	0.083382	0.000624
голландский	0.000267	0.116534	0.000031
город	0.000267	0.116534	0.000031
горох	0.000267	0.116534	0.000031
гороховый	0.000267	3.506558	0.000938
горчица	0.001337	0.040822	0.000055
горшочек	0.000535	0.040822	0.000022
горячее	0.000535	0.116534	0.000062
горячий	0.010428	0.105361	0.001099
гость	0.001604	0.116534	0.000187
готовить	0.005348	0.083382	0.000446
готовиться	0.000802	0.371064	0.000298
гратный	0.000267	2.813411	0.000752
гренка	0.000535	0.040822	0.000022
грецкий	0.001070	1.469676	0.001572
греческий	0.000267	0.116534	0.000031
гречка	0.000267	0.040822	0.000011
гриб	0.004813	0.040822	0.000196
грибной	0.000535	0.040822	0.000022
гриль	0.002674	0.105361	0.000282
грильмания	0.000267	0.116534	0.000031
грог	0.000267	0.040822	0.000011
грудка	0.001070	0.967584	0.001035
грузинский	0.000267	0.116534	0.000031
группа	0.000267	0.061875	0.000017
гурм	0.000267	0.127833	0.000034
гурмания	0.001604	0.116534	0.000187
гусь	0.000802	0.105361	0.000085
давать	0.000267	0.040822	0.000011
давно	0.000267	0.967584	0.000259
данные	0.000267	0.040822	0.000011
данный	0.000267	1.660731	0.000444
дар	0.000267	0.116534	0.000031
дата	0.000535	0.248461	0.000133
датский	0.000267	0.116534	0.000031
дать	0.000267	0.040822	0.000011
дачный	0.000802	0.116534	0.000093
два	0.000535	0.967584	0.000517
девяностый	0.000267	3.218876	0.000861
декабрь	0.000802	0.597837	0.000480
декор	0.000267	0.127833	0.000034
делать	0.000535	0.083382	0.000045
делиться	0.000267	0.040822	0.000011
дело	0.000267	0.105361	0.000028
день	0.002941	0.040822	0.000120
деревенский	0.000535	2.659260	0.001422
десерт	0.004545	0.040822	0.000186
десертация	0.000267	0.116534	0.000031
десертный	0.000267	0.116534	0.000031
джем	0.000267	0.040822	0.000011
