лемма	TF	IDF	TF-IDF
абхазский	0.000261	0.116534	0.000030
австралийский	0.000522	0.116534	0.000061
австрийский	0.000261	0.116534	0.000030
автоклав	0.000261	0.116534	0.000030
автор	0.000261	0.040822	0.000011
агро	0.000261	0.116534	0.000030
аджика	0.000261	0.040822	0.000011
аз	0.000261	0.127833	0.000033
азербайджанский	0.000261	0.116534	0.000030
азиатский	0.000261	0.127833	0.000033
айран	0.000261	0.040822	0.000011
акватик	0.000783	0.127833	0.000100
александр	0.000261	2.995732	0.000782
алексей	0.000261	0.127833	0.000033
алкоголь	0.000783	0.116534	0.000091
алкогольный	0.000261	0.116534	0.000030
алушта	0.000261	4.605170	0.001202
альянс	0.000261	0.116534	0.000030
американский	0.001044	0.116534	0.000122
английский	0.000261	0.116534	0.000030
ангус	0.000783	4.605170	0.003605
андрей	0.000261	0.127833	0.000033
аппетит	0.000261	2.302585	0.000601
апрель	0.001044	0.544727	0.000569
арабский	0.000261	0.116534	0.000030
аргентинский	0.000261	0.116534	0.000030
армянский	0.000261	0.116534	0.000030
ароматный	0.000261	0.693147	0.000181
ассорти	0.000522	0.116534	0.000061
ассоциация	0.000261	4.605170	0.001202
ассоциироваться	0.000261	3.912023	0.001021
атлант	0.000261	0.116534	0.000030
атмосфера	0.000261	2.813411	0.000734
афганский	0.000261	0.116534	0.000030
африканский	0.000261	0.116534	0.000030
аэрогриль	0.002610	0.116534	0.000304
бабушка	0.000522	2.207275	0.001152
байка	0.000261	3.912023	0.001021
баклажан	0.000261	0.040822	0.000011
балаклава	0.000261	4.605170	0.001202
балткома	0.000261	0.127833	0.000033
банан	0.000522	3.218876	0.001680
банановый	0.000261	3.218876	0.000840
баранина	0.001044	0.116534	0.000122
басмати	0.000522	0.127833	0.000067
бастурм	0.000261	0.040822	0.000011
бастурма	0.000261	0.040822	0.000011
батончик	0.000261	0.127833	0.000033
башкирский	0.000261	0.116534	0.000030
безалкогольный	0.000261	0.116534	0.000030
безглютеновое	0.000261	0.116534	0.000030
безе	0.001044	0.040822	0.000043
беззаботный	0.000261	4.605170	0.001202
безумно	0.000522	1.560648	0.000815
белебеевский	0.000522	0.116534	0.000061
белорусский	0.000261	0.116534	0.000030
белоцерковский	0.000261	3.912023	0.001021
белый	0.000522	1.237874	0.000646
бельгийский	0.000261	0.116534	0.000030
беременная	0.000261	0.116534	0.000030
бернес	0.000261	4.605170	0.001202
беседин	0.000261	0.127833	0.000033
биндюжник	0.000261	4.605170	0.001202
бисквит	0.001305	0.040822	0.000053
бисквитный	0.001566	0.105361	0.000165
благодарность	0.000261	2.659260	0.000694
блатной	0.000522	4.605170	0.002404
близкий	0.000783	0.116534	0.000091
блин	0.001566	0.040822	0.000064
блюдо	0.029489	0.040822	0.001204
бобовый	0.002088	0.116534	0.000243
болгарский	0.000783	0.116534	0.000091
больший	0.000261	2.040221	0.000532
большой	0.001044	0.094311	0.000098
борщ	0.000522	0.040822	0.000021
ботвинья	0.000261	0.040822	0.000011
бразильский	0.000261	0.116534	0.000030
брат	0.000261	2.813411	0.000734
браузер	0.000261	0.040822	0.000011
брауни	0.000261	0.040822	0.000011
брест	0.000261	0.127833	0.000033
брокколи	0.000261	0.040822	0.000011
буженина	0.000261	0.040822	0.000011
булочка	0.001044	0.040822	0.000043
бульон	0.002871	0.040822	0.000117
бургер	0.000522	0.040822	0.000021
бурятский	0.000261	0.116534	0.000030
бутерброд	0.001044	0.040822	0.000043
быстро	0.001305	0.094311	0.000123
быстрый	0.000783	0.094311	0.000074
важный	0.000261	0.116534	0.000030
валлийский	0.000261	0.116534	0.000030
ваниль	0.000522	2.813411	0.001468
ванильный	0.001044	1.347074	0.001406
варение	0.001044	0.040822	0.000043
вареник	0.000261	0.116534	0.000030
вариант	0.000522	0.356675	0.000186
ватрушка	0.000261	0.040822	0.000011
вафля	0.000522	0.040822	0.000021
ваш	0.000783	0.000000	0.000000
вводить	0.000261	0.040822	0.000011
вдохновение	0.001566	0.116534	0.000182
вдохновляться	0.000261	0.116534	0.000030
вдруг	0.000261	2.407946	0.000628
вегетарианский	0.000522	0.116534	0.000061
ведро	0.000261	4.605170	0.001202
великий	0.000261	0.116534	0.000030
великолепно	0.000261	3.506558	0.000915
венгерский	0.000261	0.116534	0.000030
вермишель	0.000522	3.912023	0.002042
весенний	0.000261	0.051293	0.000013
весна	0.001566	0.116534	0.000182
ветчина	0.000261	0.094311	0.000025
вид	0.000261	0.776529	0.000203
видео	0.000522	0.116534	0.000061
видеорецепт	0.000261	0.301105	0.000079
вино	0.000522	0.040822	0.000021
вишня	0.000261	1.832581	0.000478
включать	0.000261	0.634878	0.000166
вкус	0.004436	0.105361	0.000467
вкусно	0.001827	0.094311	0.000172
вкусность	0.000261	3.218876	0.000840
вкусный	0.003392	0.061875	0.000210
влажный	0.000783	3.506558	0.002745
влюбить	0.000261	0.116534	0.000030
вместо	0.000261	2.407946	0.000628
вначале	0.001044	0.248461	0.000259
вода	0.002610	0.094311	0.000246
войти	0.000261	0.000000	0.000000
волован	0.000261	0.116534	0.000030
волшебный	0.000261	0.116534	0.000030
волшебство	0.000261	0.116534	0.000030
вопрос	0.000522	0.000000	0.000000
воспоминание	0.000261	2.302585	0.000601
восторг	0.000522	1.309333	0.000683
восточный	0.000261	0.127833	0.000033
восход	0.000261	4.605170	0.001202
впечатление	0.000522	2.407946	0.001257
вполне	0.000261	2.813411	0.000734
время	0.002088	0.105361	0.000220
всегда	0.000783	0.653926	0.000512
вспомнить	0.000261	0.040822	0.000011
второе	0.000261	0.116534	0.000030
второй	0.000261	0.116534	0.000030
вход	0.000783	0.030459	0.000024
выйти	0.000261	0.040822	0.000011
выпечка	0.005480	0.040822	0.000224
выраженный	0.000261	3.506558	0.000915
выручалочка	0.000261	1.560648	0.000407
выручить	0.000261	3.218876	0.000840
вьетнамский	0.000261	0.116534	0.000030
гавайский	0.000261	0.116534	0.000030
газ	0.000261	3.912023	0.001021
газовый	0.000261	3.912023	0.001021
гамма	0.000522	3.912023	0.002042
гараж	0.000261	1.078810	0.000282
гарнир	0.001566	0.040822	0.000064
гаспачо	0.000261	0.040822	0.000011
гастроном	0.000261	3.506558	0.000915
гвоздик	0.000522	2.302585	0.001202
география	0.000261	0.116534	0.000030
гитара	0.000261	4.605170	0.001202
гитарный	0.000261	4.605170	0.001202
главное	0.000261	1.139434	0.000297
главный	0.000261	0.040822	0.000011
глазурь	0.000783	0.040822	0.000032
глинтвейн	0.000261	0.040822	0.000011
го	0.000261	3.506558	0.000915
говорить	0.001305	1.272966	0.001661
говядина	0.001305	0.116534	0.000152
год	0.006263	0.083382	0.000522
голландский	0.000261	0.116534	0.000030
голова	0.000261	2.659260	0.000694
город	0.000261	0.116534	0.000030
горох	0.000261	0.116534	0.000030
горчица	0.000783	0.040822	0.000032
горшочек	0.000522	0.040822	0.000021
горячее	0.000783	0.116534	0.000091
горячий	0.011743	0.105361	0.001237
гость	0.000783	0.116534	0.000091
готовить	0.003914	0.083382	0.000326
готовиться	0.001566	0.371064	0.000581
гренка	0.000522	0.040822	0.000021
греческий	0.000261	0.116534	0.000030
гречка	0.000261	0.040822	0.000011
гречневый	0.000783	3.506558	0.002745
гриб	0.003653	0.040822	0.000149
грибной	0.000522	0.040822	0.000021
гриль	0.002610	0.105361	0.000275
грильмания	0.000261	0.116534	0.000030
грог	0.000261	0.040822	0.000011
громкий	0.000261	3.912023	0.001021
громко	0.000783	4.605170	0.003605
грузинский	0.000261	0.116534	0.000030
группа	0.000522	0.061875	0.000032
гурм	0.000261	0.127833	0.000033
гурмания	0.001566	0.116534	0.000182
гусь	0.000522	0.105361	0.000055
давать	0.000261	0.040822	0.000011
данные	0.000261	0.040822	0.000011
данный	0.000261	1.660731	0.000433
дар	0.000261	0.116534	0.000030
дата	0.000522	0.248461	0.000130
датский	0.000261	0.116534	0.000030
дать	0.000261	0.040822	0.000011
дачный	0.000783	0.116534	0.000091
два	0.000261	0.967584	0.000253
дебошир	0.000261	4.605170	0.001202
девочка	0.000261	1.171183	0.000306
декабрь	0.000261	0.597837	0.000156
декор	0.000261	0.127833	0.000033
делать	0.000783	0.083382	0.000065
делиться	0.000522	0.040822	0.000021
дело	0.000261	0.105361	0.000027
день	0.003132	0.040822	0.000128
десерт	0.007046	0.040822	0.000288
десертация	0.000261	0.116534	0.000030
десертный	0.000522	0.116534	0.000061
детский	0.000261	2.525729	0.000659
детство	0.000261	1.897120	0.000495
джем	0.000261	0.040822	0.000011
джема	0.000261	0.040822	0.000011
дзен	0.000261	0.116534	0.000030
диета	0.000522	0.094311	0.000049
дикий	0.000783	0.116534	0.000091
дип	0.000261	0.116534	0.000030
дичь	0.000783	0.116534	0.000091
дневник	0.000261	0.061875	0.000016
добавить	0.000261	0.083382	0.000022
добавление	0.000261	0.223144	0.000058
добавлять	0.000261	0.040822	0.000011
добро	0.000261	3.218876	0.000840
доброфлот	0.000261	0.127833	0.000033
добрый	0.000261	2.659260	0.000694
доверять	0.000261	0.116534	0.000030
