лемма	TF	IDF	TF-IDF
абсолютно	0.000289	1.832581	0.000529
абхазский	0.000289	0.116534	0.000034
август	0.000289	0.843970	0.000244
австралийский	0.000289	0.116534	0.000034
австрийский	0.000289	0.116534	0.000034
автоклав	0.000289	0.116534	0.000034
автор	0.000289	0.040822	0.000012
агро	0.000289	0.116534	0.000034
аджика	0.000289	0.040822	0.000012
ажур	0.000289	2.525729	0.000729
аз	0.000289	0.127833	0.000037
азербайджанский	0.000289	0.116534	0.000034
азиатский	0.000289	0.127833	0.000037
айран	0.000289	0.040822	0.000012
акватик	0.000866	0.127833	0.000111
активный	0.000289	3.912023	0.001129
алексей	0.000289	0.127833	0.000037
алкоголь	0.000866	0.116534	0.000101
алкогольный	0.000289	0.116534	0.000034
альянс	0.000289	0.116534	0.000034
америка	0.000289	2.207275	0.000637
американский	0.000866	0.116534	0.000101
английский	0.000289	0.116534	0.000034
андрей	0.000289	0.127833	0.000037
апрель	0.000577	0.544727	0.000315
арабский	0.000289	0.116534	0.000034
аргентинский	0.000289	0.116534	0.000034
армянский	0.000289	0.116534	0.000034
аромат	0.000289	0.820981	0.000237
ассорти	0.000577	0.116534	0.000067
атлант	0.000289	0.116534	0.000034
афганский	0.000289	0.116534	0.000034
африканский	0.000289	0.116534	0.000034
аэрогриль	0.002887	0.116534	0.000336
бабич	0.000289	1.514128	0.000437
баклажан	0.000289	0.040822	0.000012
балткома	0.000289	0.127833	0.000037
баранина	0.001155	0.116534	0.000135
басмати	0.000577	0.127833	0.000074
бастурм	0.000866	0.040822	0.000035
бастурма	0.000866	0.040822	0.000035
батончик	0.000289	0.127833	0.000037
башкирский	0.000289	0.116534	0.000034
безалкогольный	0.000289	0.116534	0.000034
безглютеновое	0.000289	0.116534	0.000034
безе	0.001155	0.040822	0.000047
белебеевский	0.000577	0.116534	0.000067
белокочанный	0.001155	0.967584	0.001117
белорусский	0.000289	0.116534	0.000034
бельгийский	0.000289	0.116534	0.000034
беременная	0.000289	0.116534	0.000034
беседин	0.000289	0.127833	0.000037
бесподобный	0.000289	1.560648	0.000451
бисквит	0.000866	0.040822	0.000035
бисквитный	0.000866	0.105361	0.000091
благодаря	0.000577	1.897120	0.001095
близкий	0.000577	0.116534	0.000067
блин	0.001732	0.040822	0.000071
блюдо	0.031755	0.040822	0.001296
бобовый	0.002309	0.116534	0.000269
болгарский	0.001155	0.116534	0.000135
больно	0.000289	1.966113	0.000568
большой	0.002021	0.094311	0.000191
борщ	0.000577	0.040822	0.000024
ботвинья	0.000289	0.040822	0.000012
бояться	0.000289	2.659260	0.000768
бразильский	0.000289	0.116534	0.000034
браузер	0.000289	0.040822	0.000012
брауни	0.000289	0.040822	0.000012
брест	0.000289	0.127833	0.000037
брокколи	0.000289	0.040822	0.000012
буженина	0.000289	0.040822	0.000012
булочка	0.000866	0.040822	0.000035
бульон	0.003176	0.040822	0.000130
бургер	0.000577	0.040822	0.000024
бурятский	0.000289	0.116534	0.000034
бутерброд	0.001732	0.040822	0.000071
быстро	0.001155	0.094311	0.000109
быстрый	0.001155	0.094311	0.000109
важный	0.000289	0.116534	0.000034
валлийский	0.000289	0.116534	0.000034
ванильный	0.000577	1.347074	0.000778
варение	0.000577	0.040822	0.000024
вареник	0.000866	0.116534	0.000101
вариант	0.000289	0.356675	0.000103
варка	0.000289	1.832581	0.000529
ватрушка	0.000289	0.040822	0.000012
вафля	0.000577	0.040822	0.000024
ваш	0.001155	0.000000	0.000000
вводить	0.000289	0.040822	0.000012
вдохновение	0.001732	0.116534	0.000202
вдохновляться	0.000289	0.116534	0.000034
вегетарианский	0.000577	0.116534	0.000067
век	0.000289	2.120264	0.000612
великий	0.000577	0.116534	0.000067
великолепнейшеий	0.000289	2.659260	0.000768
великолепный	0.000289	1.427116	0.000412
венгерский	0.000289	0.116534	0.000034
весенний	0.000289	0.051293	0.000015
весна	0.001732	0.116534	0.000202
ветчина	0.000866	0.094311	0.000082
взбивать	0.000289	2.995732	0.000865
взгляд	0.000866	1.427116	0.001236
вид	0.000289	0.776529	0.000224
видео	0.000577	0.116534	0.000067
видеорецепт	0.000289	0.301105	0.000087
вино	0.000577	0.040822	0.000024
включать	0.000289	0.634878	0.000183
вкус	0.004330	0.105361	0.000456
вкусно	0.001155	0.094311	0.000109
вкусный	0.003753	0.061875	0.000232
влюбить	0.000289	0.116534	0.000034
влюбиться	0.000289	1.386294	0.000400
вначале	0.001155	0.248461	0.000287
вода	0.003753	0.094311	0.000354
войти	0.000289	0.000000	0.000000
волновать	0.000289	2.407946	0.000695
волован	0.000289	0.116534	0.000034
волшебный	0.000289	0.116534	0.000034
волшебство	0.000577	0.116534	0.000067
вопрос	0.000289	0.000000	0.000000
восточный	0.000289	0.127833	0.000037
впервые	0.000289	1.560648	0.000451
врать	0.000289	2.407946	0.000695
время	0.002598	0.105361	0.000274
вспомнить	0.000289	0.040822	0.000012
второе	0.000289	0.116534	0.000034
второй	0.000289	0.116534	0.000034
вход	0.000866	0.030459	0.000026
выглядеть	0.000289	1.469676	0.000424
выйти	0.000289	0.040822	0.000012
выпечка	0.007217	0.040822	0.000295
выпросить	0.000289	2.525729	0.000729
выручалочка	0.000289	1.560648	0.000451
вьетнамский	0.000289	0.116534	0.000034
гавайский	0.000289	0.116534	0.000034
газета	0.000289	2.207275	0.000637
гараж	0.000289	1.078810	0.000311
гарнир	0.001443	0.040822	0.000059
гаспачо	0.000289	0.040822	0.000012
география	0.000289	0.116534	0.000034
главный	0.000289	0.040822	0.000012
глазурь	0.000866	0.040822	0.000035
глинтвейн	0.000289	0.040822	0.000012
гнездо	0.000289	2.207275	0.000637
говядина	0.001155	0.116534	0.000135
год	0.007794	0.083382	0.000650
голландский	0.000289	0.116534	0.000034
город	0.000289	0.116534	0.000034
горох	0.000289	0.116534	0.000034
горчица	0.001443	0.040822	0.000059
горшочек	0.000577	0.040822	0.000024
горячее	0.000577	0.116534	0.000067
горячий	0.012702	0.105361	0.001338
гость	0.000289	0.116534	0.000034
готовить	0.005485	0.083382	0.000457
готовиться	0.001155	0.371064	0.000428
готовый	0.001155	0.755023	0.000872
гренка	0.000577	0.040822	0.000024
греческий	0.000289	0.116534	0.000034
гречка	0.000289	0.040822	0.000012
гриб	0.002887	0.040822	0.000118
грибной	0.000577	0.040822	0.000024
гриль	0.002887	0.105361	0.000304
грильмания	0.000289	0.116534	0.000034
грог	0.000289	0.040822	0.000012
грудка	0.000577	0.967584	0.000559
грузинский	0.000289	0.116534	0.000034
группа	0.000289	0.061875	0.000018
гурм	0.000289	0.127833	0.000037
гурмания	0.001732	0.116534	0.000202
гусь	0.000577	0.105361	0.000061
давать	0.000289	0.040822	0.000012
давно	0.000577	0.967584	0.000559
давный	0.000289	2.407946	0.000695
данные	0.000289	0.040822	0.000012
дар	0.000289	0.116534	0.000034
дата	0.000577	0.248461	0.000143
датский	0.000289	0.116534	0.000034
дать	0.000289	0.040822	0.000012
дачный	0.000866	0.116534	0.000101
дверь	0.000289	2.302585	0.000665
декабрь	0.000289	0.597837	0.000173
декор	0.000289	0.127833	0.000037
делать	0.001155	0.083382	0.000096
делаться	0.000577	1.203973	0.000695
делиться	0.000289	0.040822	0.000012
дело	0.000289	0.105361	0.000030
день	0.002021	0.040822	0.000082
депрессия	0.000289	2.302585	0.000665
держаться	0.000289	2.302585	0.000665
десерт	0.004908	0.040822	0.000200
десертация	0.000289	0.116534	0.000034
десертный	0.000289	0.116534	0.000034
джем	0.000289	0.040822	0.000012
джема	0.000289	0.040822	0.000012
дзен	0.000289	0.116534	0.000034
диета	0.000577	0.094311	0.000054
дикий	0.000866	0.116534	0.000101
дип	0.000289	0.116534	0.000034
дичь	0.000866	0.116534	0.000101
длительный	0.000289	2.207275	0.000637
дневник	0.000289	0.061875	0.000018
добавить	0.000289	0.083382	0.000024
добавление	0.000289	0.223144	0.000064
добавлять	0.000289	0.040822	0.000012
доброфлот	0.000289	0.127833	0.000037
доверять	0.000289	0.116534	0.000034
должный	0.001443	1.078810	0.001557
дом	0.003464	0.040822	0.000141
домашний	0.004042	0.040822	0.000165
домохозяйка	0.000289	2.302585	0.000665
дорогой	0.000289	1.139434	0.000329
достоинство	0.000289	2.120264	0.000612
драйв	0.001443	0.127833	0.000185
дрожжевой	0.000866	0.116534	0.000101
дрожжи	0.001732	0.916291	0.001587
думать	0.000577	0.634878	0.000367
духовка	0.001155	0.105361	0.000122
душа	0.000866	0.105361	0.000091
еврейский	0.000289	0.116534	0.000034
египетский	0.000289	0.116534	0.000034
единый	0.000289	0.000000	0.000000
ежегодно	0.000289	2.407946	0.000695
еко	0.000289	0.127833	0.000037
жаркое	0.000289	0.040822	0.000012
желание	0.000289	1.771957	0.000512
желе	0.000866	0.040822	0.000035
женский	0.000577	0.020203	0.000012
женщина	0.000577	0.061875	0.000036
жизнь	0.000577	0.040822	0.000024
жирный	0.000289	2.207275	0.000637
жульен	0.000289	0.040822	0.000012
журнал	0.000577	0.072571	0.000042
жюльен	0.000289	0.040822	0.000012
жюльный	0.000289	0.040822	0.000012
забыть	0.000289	2.040221	0.000589
заварной	0.000866	0.116534	0.000101
зависеть	0.000289	2.120264	0.000612
завтрак	0.002309	0.094311	0.000218
заготовка	0.001155	0.040822	0.000047
задавать	0.000289	0.040822	0.000012
заинтересовать	0.000289	1.966113	0.000568
закваска	0.000866	0.040822	0.000035
закрытый	0.000289	0.116534	0.000034
закуска	0.006062	0.040822	0.000247
закусончик	0.000289	0.116534	0.000034
закусочка	0.000289	0.116534	0.000034
закусочная	0.002598	0.116534	0.000303
заламинировать	0.000289	2.407946	0.000695
заливное	0.000577	0.040822	0.000024
замес	0.000289	2.302585	0.000665
замечательный	0.000289	0.713350	0.000206
заморозить	0.000289	2.302585	0.000665
заморозка	0.000289	0.105361	0.000030
запад	0.000289	0.116534	0.000034
запекание	0.000289	1.514128	0.000437
запеканка	0.003176	0.040822	0.000130
заправка	0.000577	0.040822	0.000024
зарегистрироваться	0.000577	0.030459	0.000018
засолка	0.000289	0.116534	0.000034
заявлять	0.000289	1.771957	0.000512
заяц	0.000577	0.116534	0.000067
званый	0.000289	0.127833	0.000037
звезда	0.000289	0.116534	0.000034
звёздный	0.000289	0.116534	0.000034
здоровый	0.000577	0.116534	0.000067
зелень	0.001155	0.094311	0.000109
зелёный	0.000577	0.820981	0.000474
зефир	0.000289	0.040822	0.000012
зима	0.001155	0.040822	0.000047
зимний	0.000289	0.051293	0.000015
знать	0.000866	0.462035	0.000400
золотой	0.000289	0.116534	0.000034
зраза	0.000289	2.040221	0.000589
иванов	0.000289	0.127833	0.000037
идеально	0.000289	1.514128	0.000437
идеальный	0.002021	0.116534	0.000235
идейка	0.000289	0.116534	0.000034
известный	0.000289	1.049822	0.000303
изделие	0.004330	0.116534	0.000505
икра	0.000866	0.040822	0.000035
иметь	0.000289	1.171183	0.000338
имя	0.000289	0.030459	0.000009
иначе	0.000289	1.897120	0.000548
инверторный	0.000289	0.127833	0.000037
ингредиент	0.008949	0.139262	0.001246
индейка	0.001732	0.094311	0.000163
индийский	0.000289	0.116534	0.000034
индилайта	0.000866	0.116534	0.000101
индиресный	0.000289	0.116534	0.000034
инет	0.000577	1.771957	0.001023
инструкция	0.000289	0.030459	0.000009
интернет	0.000289	0.967584	0.000279
иракский	0.000289	0.116534	0.000034
иранский	0.000289	0.116534	0.000034
ирландский	0.000289	0.116534	0.000034
ирреза	0.000289	1.347074	0.000389
исключительный	0.000289	3.506558	0.001012
искренне	0.000289	0.116534	0.000034
исландский	0.000289	0.116534	0.000034
испанский	0.000289	0.116534	0.000034
испечь	0.000289	0.105361	0.000030
испытывать	0.000289	2.407946	0.000695
история	0.001732	0.116534	0.000202
италия	0.000577	0.105361	0.000061
итальянский	0.000289	0.105361	0.000030
июль	0.000289	0.579818	0.000167
июнь	0.000289	0.562119	0.000162
йогурт	0.000866	0.040822	0.000035
йорк	0.000289	2.407946	0.000695
кабачок	0.000289	0.040822	0.000012
кавказский	0.000289	0.116534	0.000034
казан	0.000289	0.116534	0.000034
казаться	0.000289	1.139434	0.000329
казахский	0.000289	0.116534	0.000034
какао	0.001155	0.040822	0.000047
калейдоскоп	0.001155	0.116534	0.000135
калмыцкий	0.000289	0.116534	0.000034
кальмар	0.000289	0.040822	0.000012
кальцон	0.000289	2.813411	0.000812
камера	0.000289	0.116534	0.000034
канадский	0.000289	0.116534	0.000034
канал	0.000866	0.040822	0.000035
канапе	0.000577	0.040822	0.000024
капуста	0.002309	0.040822	0.000094
