лемма	TF	IDF	TF-IDF
абхазский	0.000271	0.116534	0.000032
австралийский	0.000271	0.116534	0.000032
австрийский	0.000271	0.116534	0.000032
автоклав	0.000271	0.116534	0.000032
автор	0.000271	0.040822	0.000011
агро	0.000271	0.116534	0.000032
аджика	0.000271	0.040822	0.000011
аз	0.000271	0.127833	0.000035
азербайджанский	0.000271	0.116534	0.000032
азиатский	0.000271	0.127833	0.000035
айран	0.000271	0.040822	0.000011
акватик	0.000813	0.127833	0.000104
алексей	0.000271	0.127833	0.000035
алкоголь	0.000813	0.116534	0.000095
алкогольный	0.000271	0.116534	0.000032
альянс	0.000271	0.116534	0.000032
американский	0.000271	0.116534	0.000032
английский	0.000271	0.116534	0.000032
андрей	0.000271	0.127833	0.000035
апрель	0.000813	0.544727	0.000443
арабский	0.000271	0.116534	0.000032
аргентинский	0.000271	0.116534	0.000032
армянский	0.000271	0.116534	0.000032
аромат	0.000542	0.820981	0.000445
ассорти	0.000542	0.116534	0.000063
атлант	0.000271	0.116534	0.000032
афганский	0.000271	0.116534	0.000032
африканский	0.000271	0.116534	0.000032
ачм	0.000271	3.218876	0.000873
аэрогриль	0.002711	0.116534	0.000316
баклажан	0.000271	0.040822	0.000011
балкон	0.000271	2.120264	0.000575
балткома	0.000271	0.127833	0.000035
баранина	0.001085	0.116534	0.000126
басмати	0.000542	0.127833	0.000069
бастурм	0.000271	0.040822	0.000011
бастурма	0.000271	0.040822	0.000011
батон	0.001627	1.514128	0.002463
батончик	0.000271	0.127833	0.000035
башкирский	0.000271	0.116534	0.000032
безалкогольный	0.000271	0.116534	0.000032
безглютеновое	0.000271	0.116534	0.000032
безе	0.001085	0.040822	0.000044
безобразие	0.000542	2.525729	0.001370
белебеевский	0.000542	0.116534	0.000063
белокочанный	0.000542	0.967584	0.000525
белорусский	0.000271	0.116534	0.000032
белый	0.000542	1.237874	0.000671
бельгийский	0.000271	0.116534	0.000032
беременная	0.000271	0.116534	0.000032
беседин	0.000271	0.127833	0.000035
бисквит	0.000542	0.040822	0.000022
бисквитный	0.000813	0.105361	0.000086
бич	0.000271	3.912023	0.001061
близкий	0.000542	0.116534	0.000063
блин	0.001627	0.040822	0.000066
блюдо	0.031725	0.040822	0.001295
бобовый	0.002440	0.116534	0.000284
болгарский	0.001898	0.116534	0.000221
большой	0.000813	0.094311	0.000077
бооооольший	0.000271	3.218876	0.000873
борщ	0.000542	0.040822	0.000022
ботвинья	0.000271	0.040822	0.000011
бразильский	0.000271	0.116534	0.000032
брат	0.000271	2.813411	0.000763
браузер	0.000271	0.040822	0.000011
брауни	0.000271	0.040822	0.000011
брест	0.000271	0.127833	0.000035
брокколи	0.000271	0.040822	0.000011
брызги	0.000271	2.659260	0.000721
буженина	0.000271	0.040822	0.000011
булочка	0.000813	0.040822	0.000033
бульон	0.003796	0.040822	0.000155
бургер	0.000542	0.040822	0.000022
бурятский	0.000271	0.116534	0.000032
бутерброд	0.001356	0.040822	0.000055
быстро	0.000542	0.094311	0.000051
быстрый	0.000813	0.094311	0.000077
важный	0.000271	0.116534	0.000032
валлийский	0.000271	0.116534	0.000032
валсенбург	0.000271	4.605170	0.001249
варение	0.000542	0.040822	0.000022
вареник	0.000271	0.116534	0.000032
ватрушка	0.000271	0.040822	0.000011
вафля	0.000542	0.040822	0.000022
ваш	0.001085	0.000000	0.000000
вводить	0.000271	0.040822	0.000011
вдохновение	0.001627	0.116534	0.000190
вдохновляться	0.000271	0.116534	0.000032
вдруг	0.000271	2.407946	0.000653
вегетарианский	0.000542	0.116534	0.000063
великий	0.000542	0.116534	0.000063
венгерский	0.000271	0.116534	0.000032
вернуться	0.000271	2.995732	0.000812
весенний	0.000271	0.051293	0.000014
весна	0.001898	0.116534	0.000221
ветчина	0.000271	0.094311	0.000026
взгляд	0.000271	1.427116	0.000387
видео	0.000542	0.116534	0.000063
видеорецепт	0.000271	0.301105	0.000082
вино	0.000542	0.040822	0.000022
включать	0.000271	0.634878	0.000172
вкус	0.003525	0.105361	0.000371
вкусно	0.002440	0.094311	0.000230
вкусный	0.004338	0.061875	0.000268
влюбить	0.000271	0.116534	0.000032
влюбиться	0.000271	1.386294	0.000376
вначале	0.001085	0.248461	0.000269
внимание	0.000271	1.237874	0.000336
внутри	0.000542	1.469676	0.000797
вода	0.000813	0.094311	0.000077
воздушный	0.000271	1.469676	0.000399
войти	0.000271	0.000000	0.000000
волован	0.000271	0.116534	0.000032
волшебно	0.000271	2.525729	0.000685
волшебный	0.000542	0.116534	0.000063
волшебство	0.000271	0.116534	0.000032
вопрос	0.000542	0.000000	0.000000
воспоминание	0.000271	2.302585	0.000624
восточный	0.000271	0.127833	0.000035
впервые	0.000271	1.560648	0.000423
время	0.002711	0.105361	0.000286
всегда	0.000813	0.653926	0.000532
вспомнить	0.000271	0.040822	0.000011
второе	0.000271	0.116534	0.000032
второй	0.000542	0.116534	0.000063
вход	0.000813	0.030459	0.000025
вчера	0.000271	2.040221	0.000553
выйти	0.000271	0.040822	0.000011
выкладывать	0.000271	1.660731	0.000450
выпечка	0.004610	0.040822	0.000188
вытеснить	0.000271	3.218876	0.000873
вьетнамский	0.000271	0.116534	0.000032
гавайский	0.000271	0.116534	0.000032
гараж	0.000271	1.078810	0.000293
гарнир	0.002711	0.040822	0.000111
гаспачо	0.000271	0.040822	0.000011
география	0.000271	0.116534	0.000032
главное	0.000271	1.139434	0.000309
главный	0.000271	0.040822	0.000011
глазурь	0.000813	0.040822	0.000033
глехурада	0.000271	3.218876	0.000873
глинтвейн	0.000271	0.040822	0.000011
говядина	0.001085	0.116534	0.000126
год	0.007592	0.083382	0.000633
голландский	0.000813	0.116534	0.000095
гордый	0.000271	3.218876	0.000873
город	0.000271	0.116534	0.000032
горох	0.000271	0.116534	0.000032
горчица	0.000813	0.040822	0.000033
горшочек	0.000542	0.040822	0.000022
горячее	0.000542	0.116534	0.000063
горячий	0.013015	0.105361	0.001371
гость	0.000813	0.116534	0.000095
готовить	0.004610	0.083382	0.000384
готовиться	0.000271	0.371064	0.000101
готовка	0.000271	2.120264	0.000575
гренка	0.000542	0.040822	0.000022
грецкий	0.000542	1.469676	0.000797
греческий	0.000271	0.116534	0.000032
гречка	0.000271	0.040822	0.000011
гриб	0.003254	0.040822	0.000133
грибной	0.000542	0.040822	0.000022
гриль	0.002711	0.105361	0.000286
грильмания	0.000271	0.116534	0.000032
грог	0.000271	0.040822	0.000011
грузинский	0.000271	0.116534	0.000032
группа	0.000271	0.061875	0.000017
гурм	0.000271	0.127833	0.000035
гурмания	0.001627	0.116534	0.000190
гусь	0.000542	0.105361	0.000057
давать	0.000271	0.040822	0.000011
давно	0.000271	0.967584	0.000262
данные	0.000271	0.040822	0.000011
данный	0.000271	1.660731	0.000450
дар	0.000271	0.116534	0.000032
дата	0.000542	0.248461	0.000135
датский	0.000271	0.116534	0.000032
дать	0.000271	0.040822	0.000011
дачный	0.000813	0.116534	0.000095
два	0.000271	0.967584	0.000262
девочка	0.000271	1.171183	0.000318
девяностый	0.000271	3.218876	0.000873
декор	0.000271	0.127833	0.000035
делать	0.000542	0.083382	0.000045
делиться	0.000271	0.040822	0.000011
дело	0.000542	0.105361	0.000057
день	0.001898	0.040822	0.000077
деревенский	0.000542	2.659260	0.001442
десерт	0.004610	0.040822	0.000188
десертация	0.000271	0.116534	0.000032
десертный	0.000271	0.116534	0.000032
детство	0.000271	1.897120	0.000514
джем	0.000271	0.040822	0.000011
джема	0.000271	0.040822	0.000011
дженять	0.000271	2.659260	0.000721
дзен	0.000271	0.116534	0.000032
диета	0.000542	0.094311	0.000051
диетический	0.000271	1.966113	0.000533
дикий	0.000813	0.116534	0.000095
дип	0.000271	0.116534	0.000032
дичь	0.000813	0.116534	0.000095
дневник	0.000271	0.061875	0.000017
дно	0.000271	2.813411	0.000763
добавить	0.000542	0.083382	0.000045
добавление	0.000271	0.223144	0.000061
добавлять	0.000271	0.040822	0.000011
доброфлот	0.000271	0.127833	0.000035
доверять	0.000271	0.116534	0.000032
довольно	0.000271	1.609438	0.000436
долгий	0.000271	1.609438	0.000436
должный	0.000271	1.078810	0.000293
дом	0.003525	0.040822	0.000144
домашний	0.003254	0.040822	0.000133
дополнять	0.000271	2.407946	0.000653
дорожка	0.000271	3.218876	0.000873
драйв	0.001356	0.127833	0.000173
дрожжевой	0.000271	0.116534	0.000032
друг	0.000813	0.544727	0.000443
дух	0.000271	2.407946	0.000653
духовка	0.001627	0.105361	0.000171
душа	0.000813	0.105361	0.000086
еврейский	0.000271	0.116534	0.000032
египетский	0.000271	0.116534	0.000032
единый	0.000271	0.000000	0.000000
еко	0.000271	0.127833	0.000035
елена	0.000271	2.813411	0.000763
ехать	0.000271	2.302585	0.000624
жареный	0.000271	1.272966	0.000345
жарить	0.000813	1.347074	0.001096
жариться	0.000271	2.120264	0.000575
жаркое	0.000271	0.040822	0.000011
ждать	0.000271	2.207275	0.000599
желатина	0.000542	1.427116	0.000774
желе	0.000813	0.040822	0.000033
женский	0.000542	0.020203	0.000011
