лемма	TF	IDF	TF-IDF
абхазский	0.000289	0.116534	0.000034
аврора	0.000289	4.605170	0.001333
австралийский	0.000289	0.116534	0.000034
австрийский	0.000289	0.116534	0.000034
автоклав	0.000289	0.116534	0.000034
автор	0.000868	0.040822	0.000035
агро	0.000289	0.116534	0.000034
аджика	0.000289	0.040822	0.000012
аз	0.000289	0.127833	0.000037
азербайджанский	0.000289	0.116534	0.000034
азиатский	0.000289	0.127833	0.000037
айран	0.000289	0.040822	0.000012
акватик	0.000868	0.127833	0.000111
алексей	0.000289	0.127833	0.000037
алкоголь	0.000868	0.116534	0.000101
алкогольный	0.000289	0.116534	0.000034
альянс	0.000289	0.116534	0.000034
американский	0.000289	0.116534	0.000034
английский	0.000289	0.116534	0.000034
андрей	0.000289	0.127833	0.000037
апрель	0.001157	0.544727	0.000630
арабский	0.000289	0.116534	0.000034
аргентинский	0.000289	0.116534	0.000034
армянский	0.000289	0.116534	0.000034
ароматный	0.000289	0.693147	0.000201
ассорти	0.000579	0.116534	0.000067
атлант	0.000289	0.116534	0.000034
афганский	0.000289	0.116534	0.000034
африканский	0.000289	0.116534	0.000034
аэрогриль	0.002894	0.116534	0.000337
бабич	0.000289	1.514128	0.000438
баклажан	0.000289	0.040822	0.000012
балткома	0.000289	0.127833	0.000037
баранина	0.001157	0.116534	0.000135
басмати	0.000579	0.127833	0.000074
бастурм	0.000289	0.040822	0.000012
бастурма	0.000289	0.040822	0.000012
батончик	0.000289	0.127833	0.000037
башкирский	0.000289	0.116534	0.000034
безалкогольный	0.000289	0.116534	0.000034
безглютеновое	0.000289	0.116534	0.000034
безе	0.001157	0.040822	0.000047
безмерно	0.000289	2.659260	0.000769
белебеевский	0.000579	0.116534	0.000067
белокочанный	0.000579	0.967584	0.000560
белорусский	0.000289	0.116534	0.000034
бельгийский	0.000289	0.116534	0.000034
беременная	0.000289	0.116534	0.000034
беседин	0.000289	0.127833	0.000037
бисквит	0.001157	0.040822	0.000047
бисквитный	0.001736	0.105361	0.000183
благодарный	0.000579	1.660731	0.000961
близкий	0.000579	0.116534	0.000067
блин	0.002315	0.040822	0.000094
блиц	0.000289	2.207275	0.000639
блюдо	0.031539	0.040822	0.001287
бобовый	0.002315	0.116534	0.000270
болгарский	0.000289	0.116534	0.000034
большинство	0.000289	2.207275	0.000639
большой	0.001157	0.094311	0.000109
борщ	0.000579	0.040822	0.000024
ботвинья	0.000289	0.040822	0.000012
бразильский	0.000289	0.116534	0.000034
браузер	0.000289	0.040822	0.000012
брауни	0.000289	0.040822	0.000012
брест	0.000289	0.127833	0.000037
брокколи	0.000289	0.040822	0.000012
будни	0.000289	2.525729	0.000731
буженина	0.000289	0.040822	0.000012
булочка	0.000868	0.040822	0.000035
бульон	0.003762	0.040822	0.000154
бургер	0.000579	0.040822	0.000024
бурятский	0.000289	0.116534	0.000034
бутерброд	0.001157	0.040822	0.000047
быстро	0.001157	0.094311	0.000109
быстрый	0.001447	0.094311	0.000136
важный	0.000289	0.116534	0.000034
валлийский	0.000289	0.116534	0.000034
ванилин	0.000579	1.609438	0.000931
ванильный	0.001157	1.347074	0.001559
варение	0.000579	0.040822	0.000024
вареник	0.000289	0.116534	0.000034
вариант	0.000289	0.356675	0.000103
ватрушка	0.000289	0.040822	0.000012
вафля	0.000579	0.040822	0.000024
ваш	0.001157	0.000000	0.000000
вводить	0.000289	0.040822	0.000012
вдохновение	0.001736	0.116534	0.000202
вдохновляться	0.000289	0.116534	0.000034
вдуматься	0.000289	4.605170	0.001333
вегетарианский	0.000579	0.116534	0.000067
великий	0.000289	0.116534	0.000034
великолепный	0.000579	1.427116	0.000826
венгерский	0.000289	0.116534	0.000034
весенний	0.000289	0.051293	0.000015
весна	0.001736	0.116534	0.000202
ветчина	0.000289	0.094311	0.000027
взгляд	0.000579	1.427116	0.000826
видео	0.000579	0.116534	0.000067
видеорецепт	0.000289	0.301105	0.000087
вино	0.000579	0.040822	0.000024
вишня	0.000579	1.832581	0.001061
включать	0.000289	0.634878	0.000184
вкус	0.003472	0.105361	0.000366
вкусно	0.001736	0.094311	0.000164
вкусный	0.004051	0.061875	0.000251
влюбить	0.000289	0.116534	0.000034
влюбиться	0.000289	1.386294	0.000401
вначале	0.001157	0.248461	0.000288
внимание	0.000289	1.237874	0.000358
вода	0.000868	0.094311	0.000082
воздушный	0.000579	1.469676	0.000851
возможно	0.000579	1.469676	0.000851
войти	0.000289	0.000000	0.000000
волован	0.000289	0.116534	0.000034
волшебный	0.000289	0.116534	0.000034
волшебство	0.000289	0.116534	0.000034
вообще	0.000579	1.386294	0.000802
вопрос	0.000579	0.000000	0.000000
