лемма	TF	IDF	TF-IDF
абсолютно	0.000284	1.832581	0.000520
абхазский	0.000284	0.116534	0.000033
август	0.000568	0.843970	0.000479
австралийский	0.000284	0.116534	0.000033
австрийский	0.000284	0.116534	0.000033
автоклав	0.000284	0.116534	0.000033
автор	0.000284	0.040822	0.000012
агро	0.000284	0.116534	0.000033
адаптировать	0.000284	2.659260	0.000755
аджика	0.000284	0.040822	0.000012
аз	0.000284	0.127833	0.000036
азербайджанский	0.000284	0.116534	0.000033
азиатский	0.000284	0.127833	0.000036
айран	0.000284	0.040822	0.000012
акватик	0.000851	0.127833	0.000109
алексей	0.000284	0.127833	0.000036
алкоголь	0.000851	0.116534	0.000099
алкогольный	0.000284	0.116534	0.000033
альянс	0.000284	0.116534	0.000033
американский	0.000284	0.116534	0.000033
английский	0.000284	0.116534	0.000033
андрей	0.000284	0.127833	0.000036
арабский	0.000284	0.116534	0.000033
аргентинский	0.000284	0.116534	0.000033
армянский	0.000284	0.116534	0.000033
аромат	0.001135	0.820981	0.000932
ароматный	0.000568	0.693147	0.000393
ассорти	0.000568	0.116534	0.000066
атлант	0.000284	0.116534	0.000033
ауричка	0.000284	3.506558	0.000995
афганский	0.000284	0.116534	0.000033
африканский	0.000284	0.116534	0.000033
аэрогриль	0.002838	0.116534	0.000331
багет	0.000568	2.995732	0.001700
бадьян	0.000568	3.218876	0.001827
базилик	0.001135	1.609438	0.001827
баклажан	0.000284	0.040822	0.000012
балткома	0.000284	0.127833	0.000036
бальзамик	0.000568	2.659260	0.001509
баранина	0.001135	0.116534	0.000132
басмати	0.000568	0.127833	0.000073
бастурм	0.000284	0.040822	0.000012
бастурма	0.000284	0.040822	0.000012
батончик	0.000284	0.127833	0.000036
башкирский	0.000284	0.116534	0.000033
бедро	0.000851	2.302585	0.001960
безалкогольный	0.000284	0.116534	0.000033
безглютеновое	0.000284	0.116534	0.000033
безе	0.001135	0.040822	0.000046
безобразие	0.000284	2.525729	0.000717
бекон	0.000568	1.897120	0.001077
белебеевский	0.000568	0.116534	0.000066
белорусский	0.000284	0.116534	0.000033
белоцерковский	0.000284	3.912023	0.001110
бельгийский	0.000284	0.116534	0.000033
беременная	0.000284	0.116534	0.000033
берёзовый	0.000284	4.605170	0.001307
беседин	0.000284	0.127833	0.000036
бесподобный	0.000568	1.560648	0.000886
бисквит	0.000568	0.040822	0.000023
бисквитный	0.000851	0.105361	0.000090
благодаря	0.000284	1.897120	0.000538
близкий	0.000568	0.116534	0.000066
блин	0.001703	0.040822	0.000070
блюдо	0.034620	0.040822	0.001413
бобовый	0.002554	0.116534	0.000298
