лемма	TF	IDF	TF-IDF
абдюшев	0.006073	4.605170	0.027967
абрикосовый	0.001012	3.912023	0.003960
автор	0.001012	0.040822	0.000041
аджика	0.001012	0.040822	0.000041
айран	0.001012	0.040822	0.000041
акчучий	0.006073	2.995732	0.018193
аналогично	0.001012	4.605170	0.004661
ароматный	0.001012	0.693147	0.000702
баклажан	0.001012	0.040822	0.000041
балкон	0.001012	2.120264	0.002146
банан	0.002024	3.218876	0.006516
бастурм	0.001012	0.040822	0.000041
бастурма	0.001012	0.040822	0.000041
безе	0.001012	0.040822	0.000041
белко	0.002024	4.605170	0.009322
бисквит	0.001012	0.040822	0.000041
блин	0.007085	0.040822	0.000289
блинчик	0.003036	1.714798	0.005207
блюдо	0.007085	0.040822	0.000289
большой	0.006073	0.094311	0.000573
борщ	0.001012	0.040822	0.000041
ботвинья	0.001012	0.040822	0.000041
браузер	0.001012	0.040822	0.000041
брауни	0.001012	0.040822	0.000041
брокколи	0.001012	0.040822	0.000041
буженина	0.001012	0.040822	0.000041
булочка	0.001012	0.040822	0.000041
бульон	0.001012	0.040822	0.000041
бургер	0.001012	0.040822	0.000041
бутерброд	0.001012	0.040822	0.000041
быстро	0.001012	0.094311	0.000095
варение	0.002024	0.040822	0.000083
вариант	0.002024	0.356675	0.000722
варить	0.001012	3.506558	0.003549
варка	0.001012	1.832581	0.001855
варя	0.001012	3.912023	0.003960
ватрушка	0.001012	0.040822	0.000041
вафля	0.001012	0.040822	0.000041
ваш	0.002024	0.000000	0.000000
вверх	0.001012	4.605170	0.004661
вводить	0.001012	0.040822	0.000041
весенний	0.002024	0.051293	0.000104
ветчина	0.001012	0.094311	0.000095
взять	0.001012	1.171183	0.001185
вид	0.001012	0.776529	0.000786
винный	0.001012	4.605170	0.004661
вино	0.001012	0.040822	0.000041
вкус	0.004049	0.105361	0.000427
вкусно	0.008097	0.094311	0.000764
вкусный	0.008097	0.061875	0.000501
вместе	0.002024	0.916291	0.001855
вместо	0.002024	2.407946	0.004874
вода	0.002024	0.094311	0.000191
войти	0.001012	0.000000	0.000000
вопрос	0.001012	0.000000	0.000000
всегда	0.001012	0.653926	0.000662
вспомнить	0.001012	0.040822	0.000041
второй	0.002024	0.116534	0.000236
вход	0.003036	0.030459	0.000092
выйти	0.001012	0.040822	0.000041
выпечка	0.001012	0.040822	0.000041
выраженный	0.001012	3.506558	0.003549
гарнир	0.001012	0.040822	0.000041
гаспачо	0.001012	0.040822	0.000041
главный	0.001012	0.040822	0.000041
глазурь	0.001012	0.040822	0.000041
глинтвейн	0.001012	0.040822	0.000041
год	0.001012	0.083382	0.000084
горчица	0.001012	0.040822	0.000041
горшочек	0.002024	0.040822	0.000083
готовить	0.013158	0.083382	0.001097
готовый	0.001012	0.755023	0.000764
гренка	0.001012	0.040822	0.000041
гречка	0.001012	0.040822	0.000041
греш	0.001012	4.605170	0.004661
гриб	0.001012	0.040822	0.000041
грибной	0.001012	0.040822	0.000041
грог	0.001012	0.040822	0.000041
группа	0.001012	0.061875	0.000063
густовато	0.001012	4.605170	0.004661
густой	0.001012	2.407946	0.002437
густота	0.001012	3.912023	0.003960
гусь	0.001012	0.105361	0.000107
давать	0.001012	0.040822	0.000041
давно	0.001012	0.967584	0.000979
далее	0.005061	2.813411	0.014238
данные	0.002024	0.040822	0.000083
дать	0.003036	0.040822	0.000124
девочка	0.001012	1.171183	0.001185
делать	0.001012	0.083382	0.000084
делиться	0.001012	0.040822	0.000041
день	0.002024	0.040822	0.000083
деревенский	0.001012	2.659260	0.002692
десерт	0.001012	0.040822	0.000041
джем	0.004049	0.040822	0.000165
джема	0.005061	0.040822	0.000207
диетический	0.001012	1.966113	0.001990
диетичёска	0.001012	3.912023	0.003960
дневник	0.001012	0.061875	0.000063
добавить	0.026316	0.083382	0.002194
добавление	0.001012	0.223144	0.000226
добавлять	0.001012	0.040822	0.000041
долгий	0.001012	1.609438	0.001629
дом	0.007085	0.040822	0.000289
домашний	0.004049	0.040822	0.000165
дочь	0.001012	3.218876	0.003258
духовка	0.001012	0.105361	0.000107
единый	0.001012	0.000000	0.000000
жаркое	0.002024	0.040822	0.000083
ждать	0.001012	2.207275	0.002234
желе	0.001012	0.040822	0.000041
женский	0.001012	0.020203	0.000020
живой	0.001012	2.995732	0.003032
жизнь	0.001012	0.040822	0.000041
жульен	0.001012	0.040822	0.000041
жюльен	0.001012	0.040822	0.000041
жюльный	0.001012	0.040822	0.000041
завтрак	0.001012	0.094311	0.000095
заготовка	0.001012	0.040822	0.000041
задавать	0.001012	0.040822	0.000041
закваска	0.001012	0.040822	0.000041
закидать	0.001012	3.912023	0.003960
закуска	0.003036	0.040822	0.000124
залежаться	0.001012	4.605170	0.004661
