лемма	TF	IDF	TF-IDF
абхазский	0.000285	0.116534	0.000033
август	0.000570	0.843970	0.000481
австралийский	0.000285	0.116534	0.000033
австрийский	0.000285	0.116534	0.000033
автоклав	0.000285	0.116534	0.000033
автор	0.000285	0.040822	0.000012
агро	0.000285	0.116534	0.000033
аджика	0.000285	0.040822	0.000012
аз	0.000285	0.127833	0.000036
азербайджанский	0.000285	0.116534	0.000033
азиатский	0.000285	0.127833	0.000036
айран	0.000285	0.040822	0.000012
акватик	0.000855	0.127833	0.000109
алексей	0.000285	0.127833	0.000036
алкоголь	0.000855	0.116534	0.000100
алкогольный	0.000285	0.116534	0.000033
альянс	0.000285	0.116534	0.000033
американский	0.000285	0.116534	0.000033
английский	0.000285	0.116534	0.000033
андрей	0.000285	0.127833	0.000036
апрель	0.000285	0.544727	0.000155
арабский	0.000285	0.116534	0.000033
аргентинский	0.000285	0.116534	0.000033
армянский	0.000285	0.116534	0.000033
аромат	0.000285	0.820981	0.000234
ассорти	0.000570	0.116534	0.000066
атлант	0.000285	0.116534	0.000033
афганский	0.000285	0.116534	0.000033
африканский	0.000285	0.116534	0.000033
аэрогриль	0.002851	0.116534	0.000332
бабуля	0.000285	3.912023	0.001115
баварский	0.000285	3.506558	0.001000
баклажан	0.000285	0.040822	0.000012
балткома	0.000285	0.127833	0.000036
банк	0.000570	1.966113	0.001121
баранина	0.001140	0.116534	0.000133
бархатов	0.000285	3.506558	0.001000
басмати	0.000570	0.127833	0.000073
бастурм	0.000285	0.040822	0.000012
бастурма	0.000285	0.040822	0.000012
батончик	0.000285	0.127833	0.000036
башкирский	0.000285	0.116534	0.000033
безалкогольный	0.000285	0.116534	0.000033
безглютеновое	0.000285	0.116534	0.000033
безе	0.001140	0.040822	0.000047
безумно	0.000285	1.560648	0.000445
белебеевский	0.000570	0.116534	0.000066
белорусский	0.000285	0.116534	0.000033
бельгийский	0.000285	0.116534	0.000033
беременная	0.000285	0.116534	0.000033
беседин	0.000285	0.127833	0.000036
бесхлопотный	0.000285	4.605170	0.001313
бефстроганов	0.000285	2.995732	0.000854
бисквит	0.000570	0.040822	0.000023
бисквитный	0.000855	0.105361	0.000090
биточек	0.000285	1.897120	0.000541
близкий	0.000570	0.116534	0.000066
блин	0.001710	0.040822	0.000070
блюдо	0.046465	0.040822	0.001897
бобовый	0.002281	0.116534	0.000266
болгарский	0.001425	0.116534	0.000166
больший	0.000285	2.040221	0.000582
большой	0.001140	0.094311	0.000108
борщ	0.000570	0.040822	0.000023
ботвинья	0.000285	0.040822	0.000012
бразильский	0.000285	0.116534	0.000033
браузер	0.000285	0.040822	0.000012
брауни	0.000285	0.040822	0.000012
брест	0.000285	0.127833	0.000036
бризоль	0.000285	2.659260	0.000758
брокколи	0.000285	0.040822	0.000012
буженина	0.000285	0.040822	0.000012
булочка	0.000855	0.040822	0.000035
бульон	0.003421	0.040822	0.000140
бургер	0.000570	0.040822	0.000023
бурятский	0.000285	0.116534	0.000033
бутерброд	0.001140	0.040822	0.000047
бывать	0.000285	1.897120	0.000541
быстро	0.001140	0.094311	0.000108
быстрый	0.000855	0.094311	0.000081
важный	0.000285	0.116534	0.000033
валлийский	0.000285	0.116534	0.000033
варение	0.000570	0.040822	0.000023
вареник	0.000285	0.116534	0.000033
вариант	0.000855	0.356675	0.000305
ватрушка	0.000285	0.040822	0.000012
вафля	0.000570	0.040822	0.000023
ваш	0.001425	0.000000	0.000000
вводить	0.000285	0.040822	0.000012
вдохновение	0.001710	0.116534	0.000199
вдохновляться	0.000285	0.116534	0.000033
вегетарианский	0.000570	0.116534	0.000066
великий	0.000285	0.116534	0.000033
венгерский	0.000285	0.116534	0.000033
весенний	0.000285	0.051293	0.000015
весна	0.001710	0.116534	0.000199
ветчина	0.000285	0.094311	0.000027
вечер	0.000285	2.120264	0.000604
взять	0.000285	1.171183	0.000334
вид	0.000855	0.776529	0.000664
видео	0.000570	0.116534	0.000066
видеорецепт	0.000285	0.301105	0.000086
вино	0.000570	0.040822	0.000023
вкус	0.003421	0.105361	0.000360
вкусненький	0.000285	2.995732	0.000854
вкусно	0.001425	0.094311	0.000134
вкусный	0.004561	0.061875	0.000282
владимировна	0.000285	4.605170	0.001313
влюбить	0.000285	0.116534	0.000033
вместе	0.000285	0.916291	0.000261
вначале	0.001140	0.248461	0.000283
вода	0.000285	0.094311	0.000027
войти	0.000285	0.000000	0.000000
волован	0.000285	0.116534	0.000033
волшебно	0.000285	2.525729	0.000720
волшебный	0.000570	0.116534	0.000066
волшебство	0.000285	0.116534	0.000033
вопрос	0.000285	0.000000	0.000000
восток	0.000285	3.218876	0.000918
восторг	0.000570	1.309333	0.000746
восточный	0.000570	0.127833	0.000073
востребовать	0.000285	4.605170	0.001313
время	0.001995	0.105361	0.000210
всегда	0.000285	0.653926	0.000186
вспомнить	0.000285	0.040822	0.000012
второе	0.000285	0.116534	0.000033
второй	0.000570	0.116534	0.000066
вход	0.000855	0.030459	0.000026
выйти	0.000285	0.040822	0.000012
выкладывать	0.000285	1.660731	0.000473
выпечка	0.004276	0.040822	0.000175
вьетнамский	0.000285	0.116534	0.000033
гавайский	0.000285	0.116534	0.000033
