лемма	TF	IDF	TF-IDF
абхазский	0.000860	0.116534	0.000100
август	0.000287	0.843970	0.000242
австралийский	0.000287	0.116534	0.000033
австрийский	0.000287	0.116534	0.000033
автоклав	0.000287	0.116534	0.000033
автор	0.000287	0.040822	0.000012
агро	0.000287	0.116534	0.000033
адаптировать	0.000287	2.659260	0.000762
аджика	0.001147	0.040822	0.000047
аз	0.000287	0.127833	0.000037
азербайджанский	0.000287	0.116534	0.000033
азиатский	0.000287	0.127833	0.000037
айран	0.000287	0.040822	0.000012
акватик	0.000860	0.127833	0.000110
алексей	0.000287	0.127833	0.000037
алкоголь	0.000860	0.116534	0.000100
алкогольный	0.000287	0.116534	0.000033
альянс	0.000287	0.116534	0.000033
американский	0.000287	0.116534	0.000033
английский	0.000287	0.116534	0.000033
андрей	0.000287	0.127833	0.000037
аппетитно	0.000287	3.506558	0.001005
арабский	0.000287	0.116534	0.000033
арахис	0.001147	2.995732	0.003435
аргентинский	0.000287	0.116534	0.000033
армянский	0.000287	0.116534	0.000033
аромат	0.000573	0.820981	0.000471
ассорти	0.000573	0.116534	0.000067
атлант	0.000287	0.116534	0.000033
афганский	0.000287	0.116534	0.000033
африканский	0.000287	0.116534	0.000033
аэрогриль	0.002867	0.116534	0.000334
бадьян	0.000573	3.218876	0.001846
базилик	0.001147	1.609438	0.001846
баклажан	0.002580	0.040822	0.000105
балткома	0.000287	0.127833	0.000037
банальный	0.000287	2.995732	0.000859
баранина	0.001147	0.116534	0.000134
басмати	0.000573	0.127833	0.000073
бастурм	0.000860	0.040822	0.000035
бастурма	0.000860	0.040822	0.000035
батончик	0.000287	0.127833	0.000037
башкирский	0.000287	0.116534	0.000033
безалкогольный	0.000287	0.116534	0.000033
безглютеновое	0.000287	0.116534	0.000033
безе	0.001147	0.040822	0.000047
белебеевский	0.000573	0.116534	0.000067
белокочанный	0.001147	0.967584	0.001110
белорусский	0.000287	0.116534	0.000033
белый	0.000573	1.237874	0.000710
бельгийский	0.000287	0.116534	0.000033
беременная	0.000287	0.116534	0.000033
беседин	0.000287	0.127833	0.000037
бисквит	0.000573	0.040822	0.000023
бисквитный	0.000860	0.105361	0.000091
благодарный	0.000287	1.660731	0.000476
близкий	0.000573	0.116534	0.000067
блин	0.001720	0.040822	0.000070
блистательный	0.000287	3.912023	0.001122
блюдо	0.033830	0.040822	0.001381
бобовый	0.002867	0.116534	0.000334
болгарский	0.001433	0.116534	0.000167
больно	0.000287	1.966113	0.000564
большой	0.000573	0.094311	0.000054
борщ	0.000860	0.040822	0.000035
ботвинья	0.000287	0.040822	0.000012
бразильский	0.000287	0.116534	0.000033
браузер	0.000287	0.040822	0.000012
брауни	0.000287	0.040822	0.000012
брест	0.000287	0.127833	0.000037
брокколи	0.000287	0.040822	0.000012
буженина	0.000287	0.040822	0.000012
буквально	0.000287	2.407946	0.000690
булочка	0.000860	0.040822	0.000035
бульон	0.003440	0.040822	0.000140
бургер	0.000573	0.040822	0.000023
бурятский	0.000287	0.116534	0.000033
бутерброд	0.001147	0.040822	0.000047
быстро	0.000860	0.094311	0.000081
быстрый	0.000860	0.094311	0.000081
важный	0.000287	0.116534	0.000033
валлийский	0.000287	0.116534	0.000033
варение	0.000573	0.040822	0.000023
вареник	0.000287	0.116534	0.000033
вариант	0.000287	0.356675	0.000102
ватрушка	0.000287	0.040822	0.000012
вафля	0.000573	0.040822	0.000023
ваш	0.000573	0.000000	0.000000
вводить	0.000287	0.040822	0.000012
вдохновение	0.001720	0.116534	0.000200
вдохновляться	0.000287	0.116534	0.000033
вегетарианский	0.000573	0.116534	0.000067
великий	0.000287	0.116534	0.000033
венгерский	0.000287	0.116534	0.000033
венерик	0.000573	2.120264	0.001216
верный	0.000287	2.995732	0.000859
версия	0.000287	1.897120	0.000544
весенний	0.000287	0.051293	0.000015
весна	0.001720	0.116534	0.000200
весёлый	0.000287	2.525729	0.000724
ветчина	0.000287	0.094311	0.000027
вечером	0.000573	2.407946	0.001381
взрыв	0.000287	2.995732	0.000859
взять	0.000287	1.171183	0.000336
вид	0.000287	0.776529	0.000223
видео	0.000573	0.116534	0.000067
видеорецепт	0.000287	0.301105	0.000086
вино	0.001147	0.040822	0.000047
включать	0.000287	0.634878	0.000182
вкус	0.004874	0.105361	0.000514
вкусно	0.001147	0.094311	0.000108
вкусный	0.003154	0.061875	0.000195
влюбить	0.000287	0.116534	0.000033
вначале	0.001147	0.248461	0.000285
вобщий	0.000287	4.605170	0.001320
вода	0.003154	0.094311	0.000297
войти	0.000287	0.000000	0.000000
волован	0.000287	0.116534	0.000033
волшебный	0.000287	0.116534	0.000033
волшебство	0.000287	0.116534	0.000033
вопрос	0.000287	0.000000	0.000000
восточный	0.000287	0.127833	0.000037
время	0.002580	0.105361	0.000272
всегда	0.000860	0.653926	0.000562
вспоминать	0.000287	2.813411	0.000807
вспомнить	0.000287	0.040822	0.000012
всякий	0.000287	2.120264	0.000608
второе	0.000287	0.116534	0.000033
второй	0.000287	0.116534	0.000033
вход	0.000860	0.030459	0.000026
выйти	0.000287	0.040822	0.000012
выпечка	0.004300	0.040822	0.000176
вьетнамский	0.000287	0.116534	0.000033
вяленый	0.000287	2.525729	0.000724
гавайский	0.000287	0.116534	0.000033
газета	0.000287	2.207275	0.000633
гараж	0.000287	1.078810	0.000309
гарнир	0.001433	0.040822	0.000059
гаспачо	0.000287	0.040822	0.000012
гвоздик	0.000573	2.302585	0.001320
география	0.000287	0.116534	0.000033
главное	0.000287	1.139434	0.000327
главный	0.000573	0.040822	0.000023
глазурь	0.000860	0.040822	0.000035
глинтвейн	0.000287	0.040822	0.000012
говорить	0.000287	1.272966	0.000365
говядина	0.001433	0.116534	0.000167
год	0.007454	0.083382	0.000622
голландский	0.000287	0.116534	0.000033
головокружительный	0.000287	4.605170	0.001320
город	0.000287	0.116534	0.000033
горох	0.000287	0.116534	0.000033
горчица	0.000860	0.040822	0.000035
горшочек	0.000573	0.040822	0.000023
горячее	0.000573	0.116534	0.000067
горячий	0.014048	0.105361	0.001480
гость	0.000287	0.116534	0.000033
готовить	0.004874	0.083382	0.000406
готовиться	0.001147	0.371064	0.000426
готовность	0.000287	3.912023	0.001122
готовый	0.000287	0.755023	0.000216
гренка	0.000573	0.040822	0.000023
греческий	0.000860	0.116534	0.000100
гречка	0.000287	0.040822	0.000012
гриб	0.005447	0.040822	0.000222
грибной	0.001147	0.040822	0.000047
грибочек	0.000573	3.218876	0.001846
гриль	0.002867	0.105361	0.000302
грильмания	0.000287	0.116534	0.000033
грог	0.000287	0.040822	0.000012
грузинский	0.000287	0.116534	0.000033
группа	0.000287	0.061875	0.000018
гурм	0.000287	0.127833	0.000037
гурмания	0.001720	0.116534	0.000200
гусь	0.000573	0.105361	0.000060
давать	0.000287	0.040822	0.000012
давно	0.000573	0.967584	0.000555
данные	0.000287	0.040822	0.000012
данный	0.000287	1.660731	0.000476
дар	0.000287	0.116534	0.000033
дата	0.000573	0.248461	0.000142
датский	0.000287	0.116534	0.000033
