лемма	TF	IDF	TF-IDF
абсолютно	0.000284	1.832581	0.000520
абхазский	0.000284	0.116534	0.000033
август	0.000284	0.843970	0.000239
австралийский	0.000284	0.116534	0.000033
австрийский	0.000284	0.116534	0.000033
автоклав	0.000284	0.116534	0.000033
автор	0.000851	0.040822	0.000035
агро	0.000284	0.116534	0.000033
аджика	0.000284	0.040822	0.000012
аз	0.000284	0.127833	0.000036
азербайджанский	0.000284	0.116534	0.000033
азиатский	0.000284	0.127833	0.000036
айран	0.000284	0.040822	0.000012
акватик	0.000851	0.127833	0.000109
александр	0.000284	2.995732	0.000849
алексей	0.000284	0.127833	0.000036
алкоголь	0.000851	0.116534	0.000099
алкогольный	0.000284	0.116534	0.000033
альянс	0.000284	0.116534	0.000033
америка	0.000284	2.207275	0.000626
американский	0.000851	0.116534	0.000099
английский	0.000284	0.116534	0.000033
андрей	0.000284	0.127833	0.000036
аппетитный	0.000284	1.832581	0.000520
апрель	0.000851	0.544727	0.000463
арабский	0.000284	0.116534	0.000033
аргентинский	0.000284	0.116534	0.000033
армянский	0.000284	0.116534	0.000033
аромат	0.000284	0.820981	0.000233
ассорти	0.000567	0.116534	0.000066
атлант	0.000284	0.116534	0.000033
афганский	0.000284	0.116534	0.000033
африканский	0.000284	0.116534	0.000033
аэрогриль	0.002835	0.116534	0.000330
бабич	0.000284	1.514128	0.000429
баклажан	0.000284	0.040822	0.000012
балткома	0.000284	0.127833	0.000036
баранина	0.001134	0.116534	0.000132
басмати	0.000567	0.127833	0.000072
бастурм	0.000284	0.040822	0.000012
бастурма	0.000284	0.040822	0.000012
батончик	0.000284	0.127833	0.000036
башкирский	0.000284	0.116534	0.000033
безалкогольный	0.000284	0.116534	0.000033
безглютеновое	0.000284	0.116534	0.000033
безе	0.001134	0.040822	0.000046
безмерно	0.000284	2.659260	0.000754
белебеевский	0.000567	0.116534	0.000066
белокочанный	0.001134	0.967584	0.001097
белорусский	0.000284	0.116534	0.000033
бельгийский	0.000284	0.116534	0.000033
беременная	0.000284	0.116534	0.000033
беседин	0.000284	0.127833	0.000036
бесподобный	0.000284	1.560648	0.000442
бисквит	0.001701	0.040822	0.000069
бисквитный	0.001418	0.105361	0.000149
биточек	0.000284	1.897120	0.000538
благодарный	0.000284	1.660731	0.000471
благодаря	0.000284	1.897120	0.000538
близкий	0.000567	0.116534	0.000066
блин	0.003969	0.040822	0.000162
блинчик	0.000851	1.714798	0.001459
блиц	0.000284	2.207275	0.000626
блюдо	0.028636	0.040822	0.001169
бобовый	0.002268	0.116534	0.000264
болгарский	0.000567	0.116534	0.000066
