лемма	TF	IDF	TF-IDF
абхазский	0.000283	0.116534	0.000033
австралийский	0.000283	0.116534	0.000033
австрийский	0.000283	0.116534	0.000033
автоклав	0.000283	0.116534	0.000033
автор	0.000850	0.040822	0.000035
агро	0.000283	0.116534	0.000033
аджика	0.000283	0.040822	0.000012
ажурный	0.000566	2.659260	0.001506
аз	0.000283	0.127833	0.000036
азербайджанский	0.000283	0.116534	0.000033
азиатский	0.000283	0.127833	0.000036
айран	0.000283	0.040822	0.000012
акватик	0.000850	0.127833	0.000109
аламед	0.000283	3.912023	0.001108
алексей	0.000283	0.127833	0.000036
алкоголь	0.000850	0.116534	0.000099
алкогольный	0.000283	0.116534	0.000033
альянс	0.000283	0.116534	0.000033
американский	0.000283	0.116534	0.000033
английский	0.000283	0.116534	0.000033
андрей	0.000283	0.127833	0.000036
аппетитный	0.000283	1.832581	0.000519
апрель	0.000850	0.544727	0.000463
арабский	0.000283	0.116534	0.000033
аргентинский	0.000283	0.116534	0.000033
армянский	0.000283	0.116534	0.000033
ароматный	0.000283	0.693147	0.000196
ассорти	0.000566	0.116534	0.000066
ася	0.000283	3.218876	0.000912
атлант	0.000283	0.116534	0.000033
афганский	0.000283	0.116534	0.000033
африканский	0.000283	0.116534	0.000033
аэрогриль	0.002832	0.116534	0.000330
баклажан	0.000283	0.040822	0.000012
балкон	0.000283	2.120264	0.000600
балткома	0.000283	0.127833	0.000036
баранина	0.001133	0.116534	0.000132
бархат	0.000283	4.605170	0.001304
бархатный	0.000283	2.659260	0.000753
басмати	0.000566	0.127833	0.000072
бастурм	0.000283	0.040822	0.000012
бастурма	0.000283	0.040822	0.000012
батончик	0.000283	0.127833	0.000036
башкирский	0.000283	0.116534	0.000033
безалкогольный	0.000283	0.116534	0.000033
безглютеновое	0.000283	0.116534	0.000033
безе	0.001133	0.040822	0.000046
белебеевский	0.000566	0.116534	0.000066
белорусский	0.000283	0.116534	0.000033
бельгийский	0.000283	0.116534	0.000033
беременная	0.000566	0.116534	0.000066
беременный	0.000283	4.605170	0.001304
беседин	0.000283	0.127833	0.000036
бисквит	0.000566	0.040822	0.000023
бисквитный	0.000850	0.105361	0.000090
биточек	0.000283	1.897120	0.000537
благодарить	0.000283	2.407946	0.000682
