лемма	TF	IDF	TF-IDF
абхазский	0.000292	0.116534	0.000034
авокадо	0.000292	3.218876	0.000940
австралийский	0.000292	0.116534	0.000034
австрийский	0.000292	0.116534	0.000034
автоклав	0.000292	0.116534	0.000034
автор	0.001460	0.040822	0.000060
агро	0.000292	0.116534	0.000034
аджика	0.000292	0.040822	0.000012
аз	0.000292	0.127833	0.000037
азербайджанский	0.000292	0.116534	0.000034
азиатский	0.000292	0.127833	0.000037
айран	0.000292	0.040822	0.000012
акватик	0.000876	0.127833	0.000112
алексей	0.000292	0.127833	0.000037
алкоголь	0.000876	0.116534	0.000102
алкогольный	0.000292	0.116534	0.000034
альянс	0.000292	0.116534	0.000034
американский	0.000292	0.116534	0.000034
английский	0.000292	0.116534	0.000034
андрей	0.000292	0.127833	0.000037
аппетит	0.000292	2.302585	0.000672
арабский	0.000292	0.116534	0.000034
аргентинский	0.000292	0.116534	0.000034
армянский	0.000292	0.116534	0.000034
ассорти	0.000584	0.116534	0.000068
атлант	0.000292	0.116534	0.000034
афганский	0.000292	0.116534	0.000034
африканский	0.000292	0.116534	0.000034
аэрогриль	0.002921	0.116534	0.000340
баклажан	0.000292	0.040822	0.000012
балткома	0.000292	0.127833	0.000037
банк	0.001168	1.966113	0.002297
баранина	0.001168	0.116534	0.000136
басмати	0.000584	0.127833	0.000075
бастурм	0.000292	0.040822	0.000012
бастурма	0.000292	0.040822	0.000012
батончик	0.000292	0.127833	0.000037
башкирский	0.000292	0.116534	0.000034
безалкогольный	0.000292	0.116534	0.000034
безглютеновое	0.000292	0.116534	0.000034
безе	0.001168	0.040822	0.000048
белебеевский	0.000584	0.116534	0.000068
белка	0.000876	2.120264	0.001858
белорусский	0.000292	0.116534	0.000034
белые	0.001168	3.218876	0.003760
бельгийский	0.000292	0.116534	0.000034
бендерик	0.000292	3.912023	0.001143
беременная	0.000292	0.116534	0.000034
беседин	0.000292	0.127833	0.000037
бешамель	0.000292	2.813411	0.000822
бисквит	0.000584	0.040822	0.000024
бисквитный	0.000876	0.105361	0.000092
близкий	0.000584	0.116534	0.000068
блин	0.009638	0.040822	0.000393
блинница	0.000292	3.912023	0.001143
блинный	0.007301	2.813411	0.020542
блинчатый	0.000292	4.605170	0.001345
блинчик	0.000584	1.714798	0.001002
блог	0.000584	2.302585	0.001345
блюдо	0.030666	0.040822	0.001252
бобовый	0.002336	0.116534	0.000272
богатый	0.000292	2.813411	0.000822
болгарский	0.000292	0.116534	0.000034
большой	0.001168	0.094311	0.000110
борщ	0.000584	0.040822	0.000024
ботвинья	0.000292	0.040822	0.000012
брависссииимооо	0.000292	4.605170	0.001345
браво	0.000292	3.218876	0.000940
бразильский	0.000292	0.116534	0.000034
браузер	0.000292	0.040822	0.000012
брауни	0.000292	0.040822	0.000012
брест	0.000292	0.127833	0.000037
бретон	0.000292	3.912023	0.001143
брокколи	0.000292	0.040822	0.000012
буженина	0.000292	0.040822	0.000012
булочка	0.000876	0.040822	0.000036
бульон	0.003213	0.040822	0.000131
бургер	0.000584	0.040822	0.000024
