лемма	TF	IDF	TF-IDF
группа	0.000285	0.061875	0.000018
гурм	0.000285	0.127833	0.000036
гурмания	0.001708	0.116534	0.000199
гусь	0.000569	0.105361	0.000060
давать	0.000569	0.040822	0.000023
давно	0.000285	0.967584	0.000276
данные	0.000285	0.040822	0.000012
данный	0.000569	1.660731	0.000946
дар	0.000285	0.116534	0.000033
дата	0.000569	0.248461	0.000141
датский	0.000285	0.116534	0.000033
дать	0.000569	0.040822	0.000023
дача	0.000285	2.659260	0.000757
дачный	0.000854	0.116534	0.000100
девочка	0.000285	1.171183	0.000333
действительно	0.000285	1.832581	0.000522
декабрь	0.000569	0.597837	0.000340
декор	0.000285	0.127833	0.000036
делать	0.001708	0.083382	0.000142
делиться	0.000285	0.040822	0.000012
дело	0.000569	0.105361	0.000060
день	0.002563	0.040822	0.000105
десерт	0.004841	0.040822	0.000198
десертация	0.000285	0.116534	0.000033
десертный	0.000285	0.116534	0.000033
десять	0.000285	2.040221	0.000581
джем	0.000285	0.040822	0.000012
джема	0.000285	0.040822	0.000012
дзен	0.000285	0.116534	0.000033
диета	0.001139	0.094311	0.000107
диетический	0.001139	1.966113	0.002239
дикий	0.000854	0.116534	0.000100
дип	0.000285	0.116534	0.000033
дичь	0.000854	0.116534	0.000100
дневник	0.000285	0.061875	0.000018
добавить	0.000569	0.083382	0.000047
добавление	0.000285	0.223144	0.000064
добавлять	0.000285	0.040822	0.000012
добро	0.000285	3.218876	0.000917
доброфлот	0.000285	0.127833	0.000036
доверять	0.000285	0.116534	0.000033
довольно	0.000285	1.609438	0.000458
довольный	0.000285	1.897120	0.000540
дом	0.002847	0.040822	0.000116
домашний	0.003986	0.040822	0.000163
дочий	0.000285	3.506558	0.000998
драйв	0.001424	0.127833	0.000182
дрожжевой	0.000285	0.116534	0.000033
духовка	0.001139	0.105361	0.000120
душа	0.000854	0.105361	0.000090
душистый	0.000569	1.237874	0.000705
еврейский	0.000285	0.116534	0.000033
египетский	0.000285	0.116534	0.000033
единый	0.000285	0.000000	0.000000
еко	0.000285	0.127833	0.000036
елена	0.000285	2.813411	0.000801
жаркое	0.000285	0.040822	0.000012
желаемый	0.000285	1.469676	0.000418
желание	0.000285	1.771957	0.000505
желательно	0.000285	2.525729	0.000719
желатина	0.000569	1.427116	0.000813
желе	0.000854	0.040822	0.000035
женский	0.000569	0.020203	0.000012
женщина	0.000569	0.061875	0.000035
жизнь	0.000569	0.040822	0.000023
жкт	0.000285	3.506558	0.000998
жульен	0.000285	0.040822	0.000012
журнал	0.000285	0.072571	0.000021
жюльен	0.000285	0.040822	0.000012
жюльный	0.000285	0.040822	0.000012
заболевание	0.000285	3.506558	0.000998
забывать	0.000285	3.218876	0.000917
заварной	0.000569	0.116534	0.000066
завтрак	0.002278	0.094311	0.000215
заготовка	0.001139	0.040822	0.000046
задавать	0.000285	0.040822	0.000012
заказ	0.000285	3.506558	0.000998
закваска	0.000854	0.040822	0.000035
закрытый	0.000569	0.116534	0.000066
закуска	0.017084	0.040822	0.000697
