лемма	TF	IDF	TF-IDF
абсолютно	0.000286	1.832581	0.000524
абхазский	0.000286	0.116534	0.000033
австралийский	0.000286	0.116534	0.000033
австрийский	0.000286	0.116534	0.000033
автоклав	0.000286	0.116534	0.000033
автор	0.000286	0.040822	0.000012
агро	0.000286	0.116534	0.000033
аджика	0.000286	0.040822	0.000012
аз	0.000286	0.127833	0.000037
азербайджанский	0.000286	0.116534	0.000033
азиатский	0.000286	0.127833	0.000037
айран	0.000286	0.040822	0.000012
акватик	0.000858	0.127833	0.000110
алексей	0.000286	0.127833	0.000037
алкоголь	0.000858	0.116534	0.000100
алкогольный	0.000286	0.116534	0.000033
альянс	0.000286	0.116534	0.000033
американский	0.000286	0.116534	0.000033
английский	0.000286	0.116534	0.000033
андрей	0.000286	0.127833	0.000037
апрель	0.000286	0.544727	0.000156
арабский	0.000286	0.116534	0.000033
аргентинский	0.000286	0.116534	0.000033
армянский	0.000286	0.116534	0.000033
ароматный	0.000286	0.693147	0.000198
ассорти	0.000572	0.116534	0.000067
атабаска	0.000286	3.912023	0.001119
атлант	0.000286	0.116534	0.000033
афганский	0.000286	0.116534	0.000033
африканский	0.000286	0.116534	0.000033
аэрогриль	0.002860	0.116534	0.000333
багет	0.000286	2.995732	0.000857
баклажан	0.000286	0.040822	0.000012
балткома	0.000286	0.127833	0.000037
бальзамик	0.000572	2.659260	0.001521
баранина	0.001144	0.116534	0.000133
басмати	0.000572	0.127833	0.000073
бастурм	0.000286	0.040822	0.000012
бастурма	0.000286	0.040822	0.000012
батон	0.002288	1.514128	0.003464
батончик	0.000286	0.127833	0.000037
башкирский	0.000286	0.116534	0.000033
безалкогольный	0.000286	0.116534	0.000033
безглютеновое	0.000286	0.116534	0.000033
безе	0.001144	0.040822	0.000047
бекон	0.001430	1.897120	0.002712
белебеевский	0.000572	0.116534	0.000067
белок	0.000572	2.040221	0.001167
белорусский	0.000286	0.116534	0.000033
бельгийский	0.000286	0.116534	0.000033
беременная	0.000286	0.116534	0.000033
берет	0.000286	4.605170	0.001317
беседин	0.000286	0.127833	0.000037
бисквит	0.000572	0.040822	0.000023
бисквитный	0.000858	0.105361	0.000090
бить	0.000286	3.506558	0.001003
благоверный	0.000286	4.605170	0.001317
близкий	0.000572	0.116534	0.000067
блин	0.001716	0.040822	0.000070
блюдо	0.028596	0.040822	0.001167
бобовый	0.002288	0.116534	0.000267
болгарский	0.000858	0.116534	0.000100
больший	0.000286	2.040221	0.000583
большой	0.001144	0.094311	0.000108
борщ	0.000572	0.040822	0.000023
ботвинья	0.000286	0.040822	0.000012
бразильский	0.000286	0.116534	0.000033
браузер	0.000286	0.040822	0.000012
брауни	0.000286	0.040822	0.000012
брест	0.000286	0.127833	0.000037
брокколи	0.000286	0.040822	0.000012
буженина	0.000286	0.040822	0.000012
булка	0.000572	4.605170	0.002634
булочка	0.004289	0.040822	0.000175
бульон	0.003146	0.040822	0.000128
бургер	0.001716	0.040822	0.000070
бурятский	0.000286	0.116534	0.000033
бутерброд	0.013440	0.040822	0.000549
бутербродик	0.000286	4.605170	0.001317
быстро	0.000286	0.094311	0.000027
быстрый	0.001144	0.094311	0.000108
важный	0.000286	0.116534	0.000033
валлийский	0.000286	0.116534	0.000033
варение	0.000572	0.040822	0.000023
вареник	0.000286	0.116534	0.000033
вариант	0.000572	0.356675	0.000204
ватрушка	0.000286	0.040822	0.000012
вафля	0.000572	0.040822	0.000023
ваш	0.000858	0.000000	0.000000
вводить	0.000286	0.040822	0.000012
вдохновение	0.001716	0.116534	0.000200
вдохновляться	0.000286	0.116534	0.000033
вегетарианский	0.000572	0.116534	0.000067
ведущий	0.000286	4.605170	0.001317
великий	0.000286	0.116534	0.000033
венгерский	0.000286	0.116534	0.000033
весенний	0.000286	0.051293	0.000015
весна	0.001716	0.116534	0.000200
ветчина	0.002288	0.094311	0.000216
взять	0.001144	1.171183	0.001340
видео	0.000572	0.116534	0.000067
видеорецепт	0.000286	0.301105	0.000086
видеть	0.000286	2.659260	0.000760
вилка	0.000286	3.218876	0.000920
вино	0.000572	0.040822	0.000023
вкус	0.003717	0.105361	0.000392
вкусно	0.002574	0.094311	0.000243
вкусный	0.004861	0.061875	0.000301
вкусовой	0.000572	2.813411	0.001609
влюбить	0.000286	0.116534	0.000033
вместе	0.000286	0.916291	0.000262
вместо	0.000286	2.407946	0.000689
вначале	0.001144	0.248461	0.000284
внутри	0.000286	1.469676	0.000420
внучка	0.000286	3.218876	0.000920
вода	0.002002	0.094311	0.000189
войти	0.000286	0.000000	0.000000
волован	0.000286	0.116534	0.000033
волшебный	0.000286	0.116534	0.000033
волшебство	0.000286	0.116534	0.000033
вопрос	0.000572	0.000000	0.000000
восточный	0.000286	0.127833	0.000037
временной	0.000286	3.912023	0.001119
время	0.002574	0.105361	0.000271
вроде	0.000286	1.897120	0.000542
вспомнить	0.000286	0.040822	0.000012
второе	0.000286	0.116534	0.000033
второй	0.000286	0.116534	0.000033
вход	0.000858	0.030459	0.000026
выбрасывать	0.000286	3.912023	0.001119
выйти	0.000286	0.040822	0.000012
выпечка	0.004289	0.040822	0.000175
вьетнамский	0.000286	0.116534	0.000033
гавайский	0.000286	0.116534	0.000033
гамбургер	0.000286	4.605170	0.001317
гарнир	0.001430	0.040822	0.000058
гаспачо	0.000286	0.040822	0.000012
гатин	0.000286	3.912023	0.001119
география	0.000286	0.116534	0.000033
главное	0.000286	1.139434	0.000326
главный	0.000286	0.040822	0.000012
глазурь	0.000858	0.040822	0.000035
глинтвейн	0.000286	0.040822	0.000012
говядина	0.001144	0.116534	0.000133
год	0.007149	0.083382	0.000596
голландский	0.000286	0.116534	0.000033
голова	0.000286	2.659260	0.000760
город	0.000286	0.116534	0.000033
горох	0.000286	0.116534	0.000033
горчица	0.002860	0.040822	0.000117
горшочек	0.000572	0.040822	0.000023
горячее	0.000572	0.116534	0.000067
горячий	0.011438	0.105361	0.001205
гость	0.000572	0.116534	0.000067
готовить	0.004575	0.083382	0.000382
готовый	0.000572	0.755023	0.000432
гражданин	0.000286	4.605170	0.001317
гренка	0.000858	0.040822	0.000035
греческий	0.000286	0.116534	0.000033
гречка	0.000286	0.040822	0.000012
гриб	0.004003	0.040822	0.000163
грибной	0.000572	0.040822	0.000023
гриль	0.002860	0.105361	0.000301
грильмания	0.000286	0.116534	0.000033
грог	0.000286	0.040822	0.000012
грузинский	0.000286	0.116534	0.000033
группа	0.000286	0.061875	0.000018
гудкук	0.000286	4.605170	0.001317
гурм	0.000286	0.127833	0.000037
гурмания	0.001716	0.116534	0.000200
гусь	0.000572	0.105361	0.000060
давать	0.000572	0.040822	0.000023
данные	0.000286	0.040822	0.000012
данный	0.000286	1.660731	0.000475
дар	0.000286	0.116534	0.000033
дата	0.000572	0.248461	0.000142
датский	0.000286	0.116534	0.000033
дать	0.000286	0.040822	0.000012
дача	0.000286	2.659260	0.000760
дачный	0.000858	0.116534	0.000100
дебютировать	0.000286	4.605170	0.001317
действительно	0.000286	1.832581	0.000524
декабрь	0.000286	0.597837	0.000171
декор	0.000286	0.127833	0.000037
делать	0.001144	0.083382	0.000095
делиться	0.000286	0.040822	0.000012
дело	0.000286	0.105361	0.000030
день	0.002288	0.040822	0.000093
десерт	0.004861	0.040822	0.000198
десертация	0.000286	0.116534	0.000033
десертный	0.000286	0.116534	0.000033
детишки	0.000286	3.506558	0.001003
джем	0.000286	0.040822	0.000012
джема	0.000286	0.040822	0.000012
дзен	0.000286	0.116534	0.000033
диета	0.000572	0.094311	0.000054
дикий	0.000858	0.116534	0.000100
дип	0.001430	0.116534	0.000167
дичь	0.000858	0.116534	0.000100
дневник	0.000286	0.061875	0.000018
