лемма	TF	IDF	TF-IDF
абрикос	0.000293	3.912023	0.001146
абсолютно	0.000293	1.832581	0.000537
абхазский	0.000293	0.116534	0.000034
австралийский	0.000293	0.116534	0.000034
австрийский	0.000293	0.116534	0.000034
автоклав	0.000293	0.116534	0.000034
автор	0.005567	0.040822	0.000227
агро	0.000293	0.116534	0.000034
аджика	0.000293	0.040822	0.000012
аз	0.000293	0.127833	0.000037
азербайджанский	0.000293	0.116534	0.000034
азиатский	0.000293	0.127833	0.000037
айран	0.000293	0.040822	0.000012
акватик	0.000879	0.127833	0.000112
алексеев	0.000293	4.605170	0.001349
алексей	0.000293	0.127833	0.000037
алкоголь	0.000879	0.116534	0.000102
алкогольный	0.000293	0.116534	0.000034
аллочко	0.000293	3.912023	0.001146
альтернатива	0.000293	2.813411	0.000824
альянс	0.000293	0.116534	0.000034
американский	0.000293	0.116534	0.000034
английский	0.000293	0.116534	0.000034
андрей	0.000293	0.127833	0.000037
анечка	0.000293	3.912023	0.001146
аппетитный	0.000879	1.832581	0.001611
арабский	0.000293	0.116534	0.000034
аргентинский	0.000293	0.116534	0.000034
армянский	0.000293	0.116534	0.000034
ароматный	0.001172	0.693147	0.000812
ассорти	0.000586	0.116534	0.000068
атаев	0.000293	4.605170	0.001349
атлант	0.000293	0.116534	0.000034
афганский	0.000293	0.116534	0.000034
африканский	0.000293	0.116534	0.000034
аэрогриль	0.002930	0.116534	0.000341
баклажан	0.000293	0.040822	0.000012
балткома	0.000293	0.127833	0.000037
баня	0.000293	4.605170	0.001349
баранина	0.001172	0.116534	0.000137
бархатный	0.000293	2.659260	0.000779
басмати	0.000586	0.127833	0.000075
бастурм	0.000293	0.040822	0.000012
бастурма	0.000293	0.040822	0.000012
батончик	0.000293	0.127833	0.000037
башкирский	0.000293	0.116534	0.000034
безалкогольный	0.000293	0.116534	0.000034
безглютеновое	0.000293	0.116534	0.000034
безе	0.001172	0.040822	0.000048
белебеевский	0.000586	0.116534	0.000068
белка	0.000586	2.120264	0.001242
белорусский	0.000293	0.116534	0.000034
бельгийский	0.000293	0.116534	0.000034
беременная	0.000293	0.116534	0.000034
беседин	0.000293	0.127833	0.000037
бисквит	0.000586	0.040822	0.000024
бисквитный	0.000879	0.105361	0.000093
блендер	0.000293	4.605170	0.001349
блеск	0.000293	4.605170	0.001349
близкий	0.000586	0.116534	0.000068
блин	0.001758	0.040822	0.000072
блог	0.000586	2.302585	0.001349
блюдо	0.029300	0.040822	0.001196
бобовый	0.002344	0.116534	0.000273
болгарский	0.000293	0.116534	0.000034
большой	0.002637	0.094311	0.000249
борщ	0.000586	0.040822	0.000024
ботвинья	0.000293	0.040822	0.000012
браво	0.000293	3.218876	0.000943
бразильский	0.000293	0.116534	0.000034
брамптон	0.000293	4.605170	0.001349
брать	0.000586	1.897120	0.001112
браузер	0.000293	0.040822	0.000012
брауни	0.000293	0.040822	0.000012
брест	0.000293	0.127833	0.000037
брокколи	0.000293	0.040822	0.000012
буженина	0.000293	0.040822	0.000012
булочка	0.000879	0.040822	0.000036
бульон	0.003223	0.040822	0.000132
бумага	0.000293	3.506558	0.001027
бургер	0.000586	0.040822	0.000024
бурятский	0.000293	0.116534	0.000034
бутерброд	0.001172	0.040822	0.000048
быстро	0.000586	0.094311	0.000055
быстрота	0.000293	3.506558	0.001027
быстрый	0.000879	0.094311	0.000083
важный	0.000293	0.116534	0.000034
валлийский	0.000293	0.116534	0.000034
варение	0.000586	0.040822	0.000024
вареник	0.000293	0.116534	0.000034
варёный	0.000293	2.407946	0.000706
ватрушка	0.000293	0.040822	0.000012
вафля	0.000586	0.040822	0.000024
ваш	0.000879	0.000000	0.000000
ввод	0.000293	2.302585	0.000675
вводить	0.000293	0.040822	0.000012
вдохновение	0.001758	0.116534	0.000205
вдохновляться	0.000293	0.116534	0.000034
вегетарианский	0.000586	0.116534	0.000068
великий	0.000293	0.116534	0.000034
венгерский	0.000293	0.116534	0.000034
версия	0.000293	1.897120	0.000556
весенний	0.000293	0.051293	0.000015
весна	0.001758	0.116534	0.000205
ветчина	0.000293	0.094311	0.000028
взбить	0.000293	2.525729	0.000740
видео	0.000586	0.116534	0.000068
вино	0.000586	0.040822	0.000024
включить	0.000293	3.506558	0.001027
вкус	0.004981	0.105361	0.000525
вкусно	0.001172	0.094311	0.000111
вкусный	0.003809	0.061875	0.000236
влажный	0.001465	3.506558	0.005137
влить	0.000293	3.218876	0.000943
влюбить	0.000293	0.116534	0.000034
внимание	0.000293	1.237874	0.000363
внук	0.000293	4.605170	0.001349
вода	0.000293	0.094311	0.000028
водяной	0.000293	4.605170	0.001349
воздушный	0.000293	1.469676	0.000431
войти	0.001172	0.000000	0.000000
волован	0.000293	0.116534	0.000034
волшебный	0.000293	0.116534	0.000034
волшебство	0.000293	0.116534	0.000034
вопрос	0.000586	0.000000	0.000000
воспользоваться	0.000293	1.832581	0.000537
восточный	0.000293	0.127833	0.000037
восхитительный	0.000293	2.120264	0.000621
впечатлить	0.000293	3.218876	0.000943
впечатлять	0.000293	4.605170	0.001349
вполне	0.000293	2.813411	0.000824
время	0.002051	0.105361	0.000216
вспомнить	0.000293	0.040822	0.000012
вставка	0.000586	2.407946	0.001411
вступать	0.000293	2.302585	0.000675
второе	0.000293	0.116534	0.000034
второй	0.000293	0.116534	0.000034
вход	0.000879	0.030459	0.000027
вчера	0.002344	2.040221	0.004782
выглядеть	0.000293	1.469676	0.000431
выйти	0.000293	0.040822	0.000012
вылить	0.000586	3.912023	0.002292
выпекать	0.000293	2.995732	0.000878
выпечка	0.006446	0.040822	0.000263
выставить	0.000293	2.813411	0.000824
вьетнамский	0.000293	0.116534	0.000034
гавайский	0.000293	0.116534	0.000034
ганаш	0.003809	4.605170	0.017541
гарнир	0.001465	0.040822	0.000060
гаспачо	0.000293	0.040822	0.000012
география	0.000293	0.116534	0.000034
главный	0.000293	0.040822	0.000012
глазурь	0.000879	0.040822	0.000036
глинтвейн	0.000293	0.040822	0.000012
говядина	0.001172	0.116534	0.000137
год	0.002637	0.083382	0.000220
голландский	0.000293	0.116534	0.000034
горка	0.000293	3.218876	0.000943
город	0.000293	0.116534	0.000034
горох	0.000293	0.116534	0.000034
горчица	0.000879	0.040822	0.000036
горшочек	0.000586	0.040822	0.000024
горячее	0.000586	0.116534	0.000068
горячий	0.011427	0.105361	0.001204
гость	0.000293	0.116534	0.000034
готовить	0.004688	0.083382	0.000391
готовиться	0.000879	0.371064	0.000326
готовность	0.000293	3.912023	0.001146
готовый	0.000586	0.755023	0.000442
градус	0.000293	2.525729	0.000740
грамм	0.000293	3.218876	0.000943
гренка	0.000586	0.040822	0.000024
греческий	0.000293	0.116534	0.000034
гречка	0.000293	0.040822	0.000012
гриб	0.002930	0.040822	0.000120
грибной	0.000586	0.040822	0.000024
гриль	0.002930	0.105361	0.000309
грильмания	0.000293	0.116534	0.000034
грог	0.000293	0.040822	0.000012
грузинский	0.000293	0.116534	0.000034
группа	0.000879	0.061875	0.000054
гурм	0.000293	0.127833	0.000037
гурмания	0.001758	0.116534	0.000205
гусь	0.000586	0.105361	0.000062
давать	0.000879	0.040822	0.000036
давно	0.000293	0.967584	0.000283
данные	0.000293	0.040822	0.000012
дар	0.000293	0.116534	0.000034
датский	0.000293	0.116534	0.000034
дать	0.000586	0.040822	0.000024
дачный	0.000879	0.116534	0.000102
декор	0.000293	0.127833	0.000037
делать	0.002344	0.083382	0.000195
делиться	0.000586	0.040822	0.000024
дело	0.000586	0.105361	0.000062
день	0.003809	0.040822	0.000155
деревянный	0.000293	3.912023	0.001146
десерт	0.006739	0.040822	0.000275
десертация	0.000293	0.116534	0.000034
десертный	0.000293	0.116534	0.000034
десять	0.000293	2.040221	0.000598
деть	0.000293	3.912023	0.001146
джем	0.000293	0.040822	0.000012
джема	0.000293	0.040822	0.000012
