лемма	TF	IDF	TF-IDF
абхазский	0.000299	0.116534	0.000035
август	0.000299	0.843970	0.000252
австралийский	0.000299	0.116534	0.000035
австрийский	0.000299	0.116534	0.000035
автоклав	0.000299	0.116534	0.000035
автор	0.000299	0.040822	0.000012
агро	0.000299	0.116534	0.000035
аджика	0.000299	0.040822	0.000012
аз	0.000299	0.127833	0.000038
азербайджанский	0.000299	0.116534	0.000035
азиатский	0.000299	0.127833	0.000038
айран	0.000299	0.040822	0.000012
акватик	0.000896	0.127833	0.000114
алексей	0.000299	0.127833	0.000038
алкоголь	0.000896	0.116534	0.000104
алкогольный	0.000299	0.116534	0.000035
альянс	0.000299	0.116534	0.000035
америка	0.000299	2.207275	0.000659
американский	0.000299	0.116534	0.000035
английский	0.000299	0.116534	0.000035
андрей	0.000299	0.127833	0.000038
арабский	0.000299	0.116534	0.000035
аргентинский	0.000299	0.116534	0.000035
армянский	0.000299	0.116534	0.000035
ассорти	0.000597	0.116534	0.000070
атлант	0.000299	0.116534	0.000035
афганский	0.000299	0.116534	0.000035
африканский	0.000299	0.116534	0.000035
ах	0.000299	3.912023	0.001168
аэрогриль	0.002985	0.116534	0.000348
бабич	0.000299	1.514128	0.000452
баклажан	0.001493	0.040822	0.000061
балткома	0.000299	0.127833	0.000038
бар	0.000896	3.218876	0.002883
баранина	0.001194	0.116534	0.000139
басмати	0.000597	0.127833	0.000076
бастурм	0.000299	0.040822	0.000012
бастурма	0.000299	0.040822	0.000012
батон	0.000597	1.514128	0.000904
батончик	0.000299	0.127833	0.000038
баффало	0.000896	3.506558	0.003140
башкирский	0.000299	0.116534	0.000035
безалкогольный	0.000299	0.116534	0.000035
безглютеновое	0.000299	0.116534	0.000035
безе	0.001194	0.040822	0.000049
бекон	0.000896	1.897120	0.001699
белебеевский	0.000597	0.116534	0.000070
белорусский	0.000299	0.116534	0.000035
бельгийский	0.000299	0.116534	0.000035
беременная	0.000299	0.116534	0.000035
беседин	0.000299	0.127833	0.000038
бисквит	0.000597	0.040822	0.000024
бисквитный	0.000896	0.105361	0.000094
бить	0.000299	3.506558	0.001047
благодаря	0.000299	1.897120	0.000566
близкий	0.000597	0.116534	0.000070
блин	0.001791	0.040822	0.000073
блю	0.000299	3.506558	0.001047
блюдо	0.032836	0.040822	0.001340
бобовый	0.002687	0.116534	0.000313
болгарский	0.000299	0.116534	0.000035
большой	0.000597	0.094311	0.000056
бомба	0.000299	3.506558	0.001047
борщ	0.000597	0.040822	0.000024
ботвинья	0.000299	0.040822	0.000012
бразильский	0.000299	0.116534	0.000035
браузер	0.000299	0.040822	0.000012
брауни	0.000299	0.040822	0.000012
брест	0.000299	0.127833	0.000038
брокколи	0.000299	0.040822	0.000012
буженина	0.000299	0.040822	0.000012
булочка	0.001493	0.040822	0.000061
бульон	0.003284	0.040822	0.000134
бургер	0.000597	0.040822	0.000024
бурятский	0.000299	0.116534	0.000035
бутерброд	0.002090	0.040822	0.000085
быстро	0.001194	0.094311	0.000113
быстрый	0.001194	0.094311	0.000113
важный	0.000299	0.116534	0.000035
валлийский	0.000299	0.116534	0.000035
варение	0.000597	0.040822	0.000024
вареник	0.000299	0.116534	0.000035
вариант	0.000597	0.356675	0.000213
васаби	0.000597	3.912023	0.002336
ватрушка	0.000299	0.040822	0.000012
вафля	0.000597	0.040822	0.000024
ваш	0.000597	0.000000	0.000000
вводить	0.000299	0.040822	0.000012
вдохновение	0.001791	0.116534	0.000209
вдохновляться	0.000299	0.116534	0.000035
вегетарианский	0.000597	0.116534	0.000070
великий	0.000299	0.116534	0.000035
великолепный	0.000299	1.427116	0.000426
венгерский	0.000299	0.116534	0.000035
весенний	0.000597	0.051293	0.000031
весна	0.001791	0.116534	0.000209
ветчина	0.000299	0.094311	0.000028
вид	0.000896	0.776529	0.000695
видео	0.000597	0.116534	0.000070
видеорецепт	0.000299	0.301105	0.000090
вина	0.000299	2.995732	0.000894
вино	0.000597	0.040822	0.000024
