лемма	TF	IDF	TF-IDF
абхазский	0.000321	0.116534	0.000037
австралийский	0.000321	0.116534	0.000037
австрийский	0.000321	0.116534	0.000037
автоклав	0.000321	0.116534	0.000037
автор	0.000962	0.040822	0.000039
агро	0.000321	0.116534	0.000037
аджика	0.000321	0.040822	0.000013
аз	0.000321	0.127833	0.000041
азербайджанский	0.000321	0.116534	0.000037
азиатский	0.000321	0.127833	0.000041
айран	0.000321	0.040822	0.000013
акватик	0.000962	0.127833	0.000123
аккуратно	0.000321	3.506558	0.001124
алексей	0.000321	0.127833	0.000041
алкоголь	0.000962	0.116534	0.000112
алкогольный	0.000321	0.116534	0.000037
альянс	0.000321	0.116534	0.000037
американский	0.000321	0.116534	0.000037
ананасовый	0.000321	3.506558	0.001124
английский	0.000321	0.116534	0.000037
андрей	0.000321	0.127833	0.000041
арабский	0.000321	0.116534	0.000037
аргентинский	0.000321	0.116534	0.000037
армянский	0.000321	0.116534	0.000037
ассорти	0.000641	0.116534	0.000075
атлант	0.000321	0.116534	0.000037
афганский	0.000321	0.116534	0.000037
африканский	0.000321	0.116534	0.000037
аэрогриль	0.003205	0.116534	0.000374
баварски	0.000321	4.605170	0.001476
бак	0.000321	4.605170	0.001476
баклажан	0.000321	0.040822	0.000013
баклажанный	0.000321	4.605170	0.001476
балткома	0.000321	0.127833	0.000041
баранина	0.001282	0.116534	0.000149
басмати	0.000641	0.127833	0.000082
бастурм	0.000321	0.040822	0.000013
бастурма	0.000321	0.040822	0.000013
батончик	0.000321	0.127833	0.000041
башкирский	0.000321	0.116534	0.000037
безалкогольный	0.000321	0.116534	0.000037
безглютеновое	0.000641	0.116534	0.000075
безе	0.001282	0.040822	0.000052
белебеевский	0.000641	0.116534	0.000075
белка	0.000641	2.120264	0.001359
белорусский	0.000321	0.116534	0.000037
бельгийский	0.000321	0.116534	0.000037
беременная	0.000321	0.116534	0.000037
беседин	0.000321	0.127833	0.000041
бисквит	0.000641	0.040822	0.000026
бисквитный	0.000962	0.105361	0.000101
биточек	0.000321	1.897120	0.000608
близкий	0.000641	0.116534	0.000075
блин	0.001923	0.040822	0.000079
блог	0.000641	2.302585	0.001476
блюдо	0.036859	0.040822	0.001505
бобовый	0.004167	0.116534	0.000486
болгарский	0.000321	0.116534	0.000037
большой	0.001603	0.094311	0.000151
борщ	0.000641	0.040822	0.000026
ботвинья	0.000321	0.040822	0.000013
брависсимо	0.000321	4.605170	0.001476
бразильский	0.000321	0.116534	0.000037
браузер	0.000321	0.040822	0.000013
брауни	0.000321	0.040822	0.000013
брест	0.000321	0.127833	0.000041
брокколи	0.000321	0.040822	0.000013
брынза	0.000321	3.912023	0.001254
буженина	0.000321	0.040822	0.000013
булгуром	0.000321	4.605170	0.001476
булочка	0.000962	0.040822	0.000039
бульон	0.003526	0.040822	0.000144
бургер	0.000641	0.040822	0.000026
бурятский	0.000321	0.116534	0.000037
бутерброд	0.001282	0.040822	0.000052
быстро	0.000641	0.094311	0.000060
быстрый	0.000962	0.094311	0.000091
важный	0.000321	0.116534	0.000037
валлийский	0.000321	0.116534	0.000037
варение	0.000641	0.040822	0.000026
вареник	0.000321	0.116534	0.000037
ватрушка	0.000321	0.040822	0.000013
вафля	0.000641	0.040822	0.000026
ваш	0.000641	0.000000	0.000000
ввод	0.000321	2.302585	0.000738
вводить	0.000321	0.040822	0.000013
вдохновение	0.001923	0.116534	0.000224
вдохновляться	0.000321	0.116534	0.000037
вегетарианский	0.000962	0.116534	0.000112
великий	0.000321	0.116534	0.000037
великолепно	0.000321	3.506558	0.001124
венгерский	0.000321	0.116534	0.000037
версия	0.000321	1.897120	0.000608
вес	0.000321	3.506558	0.001124
весенний	0.000321	0.051293	0.000016
весна	0.001923	0.116534	0.000224
ветчина	0.000321	0.094311	0.000030
вид	0.002885	0.776529	0.002240
видать	0.000321	4.605170	0.001476
видео	0.000641	0.116534	0.000075
вино	0.000641	0.040822	0.000026
включить	0.000321	3.506558	0.001124
вкус	0.005128	0.105361	0.000540
вкусно	0.001923	0.094311	0.000181
вкусный	0.002885	0.061875	0.000178
влюбить	0.000321	0.116534	0.000037
вместе	0.000321	0.916291	0.000294
вода	0.000321	0.094311	0.000030
войти	0.001282	0.000000	0.000000
волован	0.000321	0.116534	0.000037
волшебный	0.000321	0.116534	0.000037
волшебство	0.000321	0.116534	0.000037
вопрос	0.000641	0.000000	0.000000
воспользоваться	0.000321	1.832581	0.000587
восточный	0.000321	0.127833	0.000041
время	0.003205	0.105361	0.000338
вспомнить	0.000321	0.040822	0.000013
вставка	0.000641	2.407946	0.001544
вступать	0.000321	2.302585	0.000738
второе	0.000641	0.116534	0.000075
второй	0.000321	0.116534	0.000037
вход	0.000962	0.030459	0.000029
выглядеть	0.000641	1.469676	0.000942
выйти	0.000321	0.040822	0.000013
выпечка	0.004808	0.040822	0.000196
вырезать	0.000321	4.605170	0.001476
высушить	0.000321	4.605170	0.001476
вьетнамский	0.000321	0.116534	0.000037
гавайский	0.000321	0.116534	0.000037
газовый	0.000321	3.912023	0.001254
гарнир	0.002244	0.040822	0.000092
гаспачо	0.000321	0.040822	0.000013
география	0.000321	0.116534	0.000037
главный	0.000321	0.040822	0.000013
глазурь	0.000962	0.040822	0.000039
глинтвейн	0.000321	0.040822	0.000013
говядина	0.001282	0.116534	0.000149
год	0.002885	0.083382	0.000241
годзилла	0.000321	4.605170	0.001476
голландский	0.000321	0.116534	0.000037
город	0.000321	0.116534	0.000037
горох	0.000321	0.116534	0.000037
горчица	0.000962	0.040822	0.000039
горшочек	0.000641	0.040822	0.000026
горячее	0.000962	0.116534	0.000112
горячий	0.016026	0.105361	0.001688
гость	0.000321	0.116534	0.000037
готовить	0.005449	0.083382	0.000454
готовый	0.000321	0.755023	0.000242
градус	0.000321	2.525729	0.000810
грамм	0.000321	3.218876	0.001032
гренка	0.000641	0.040822	0.000026
греческий	0.000321	0.116534	0.000037
гречка	0.000321	0.040822	0.000013
гриб	0.004808	0.040822	0.000196
грибной	0.000641	0.040822	0.000026
гриль	0.003526	0.105361	0.000371
грильмания	0.000321	0.116534	0.000037
грог	0.000321	0.040822	0.000013
грудка	0.000321	0.967584	0.000310
грузинский	0.000321	0.116534	0.000037
группа	0.000962	0.061875	0.000059
гурм	0.000321	0.127833	0.000041
гурмания	0.001923	0.116534	0.000224
гусь	0.000641	0.105361	0.000068
давать	0.000321	0.040822	0.000013
данные	0.000321	0.040822	0.000013
дар	0.000321	0.116534	0.000037
датский	0.000321	0.116534	0.000037
дать	0.000321	0.040822	0.000013
дачный	0.000962	0.116534	0.000112
даша	0.000321	3.912023	0.001254
два	0.000321	0.967584	0.000310
декор	0.000321	0.127833	0.000041
делать	0.000962	0.083382	0.000080
делиться	0.000321	0.040822	0.000013
дело	0.000321	0.105361	0.000034
день	0.002885	0.040822	0.000118
деревянный	0.000321	3.912023	0.001254
десерт	0.005449	0.040822	0.000222
десертация	0.000321	0.116534	0.000037
десертный	0.000321	0.116534	0.000037
десять	0.000641	2.040221	0.001308
дешёвый	0.000321	3.218876	0.001032
джем	0.000321	0.040822	0.000013
джема	0.000321	0.040822	0.000013
дзен	0.000321	0.116534	0.000037
диета	0.000641	0.094311	0.000060
дикий	0.000962	0.116534	0.000112
дип	0.000321	0.116534	0.000037
дичь	0.000962	0.116534	0.000112
дневник	0.000321	0.061875	0.000020
добавить	0.000641	0.083382	0.000053
добавлять	0.000321	0.040822	0.000013
доброфлот	0.000321	0.127833	0.000041
доверять	0.000321	0.116534	0.000037
долька	0.000641	3.912023	0.002508
дом	0.003205	0.040822	0.000131
домашний	0.003846	0.040822	0.000157
дорога	0.000321	2.659260	0.000852
дорогой	0.000641	1.139434	0.000730
драйв	0.001603	0.127833	0.000205
дрожжевой	0.000321	0.116534	0.000037
друг	0.000321	0.544727	0.000175
духовка	0.003205	0.105361	0.000338
душа	0.000962	0.105361	0.000101
еврейский	0.000321	0.116534	0.000037
египетский	0.000321	0.116534	0.000037
единый	0.000321	0.000000	0.000000
еко	0.000321	0.127833	0.000041
жареный	0.001923	1.272966	0.002448
жарить	0.001282	1.347074	0.001727
жаркое	0.000321	0.040822	0.000013
желание	0.000321	1.771957	0.000568
желе	0.000962	0.040822	0.000039
женский	0.000641	0.020203	0.000013
женщина	0.000641	0.061875	0.000040
жизнь	0.000641	0.040822	0.000026
жир	0.000641	1.897120	0.001216
жульен	0.000321	0.040822	0.000013
журнал	0.000321	0.072571	0.000023
жюльен	0.000321	0.040822	0.000013
жюльный	0.000321	0.040822	0.000013
забрать	0.000321	4.605170	0.001476
заварной	0.000641	0.116534	0.000075
завтрак	0.002564	0.094311	0.000242
заготовка	0.001282	0.040822	0.000052
задавать	0.000321	0.040822	0.000013
закваска	0.000962	0.040822	0.000039
закрытый	0.000321	0.116534	0.000037
закуска	0.008654	0.040822	0.000353
закусончик	0.000321	0.116534	0.000037
закусочка	0.000321	0.116534	0.000037
закусочная	0.002885	0.116534	0.000336
заливное	0.000641	0.040822	0.000026
заморозка	0.000321	0.105361	0.000034
запад	0.000321	0.116534	0.000037
запекание	0.001603	1.514128	0.002426
запеканка	0.003526	0.040822	0.000144
запекать	0.002244	2.659260	0.005966
запечь	0.004167	0.916291	0.003818
запись	0.000321	1.897120	0.000608
заправка	0.000641	0.040822	0.000026
зарегистрировать	0.000321	1.897120	0.000608
зарегистрироваться	0.000962	0.030459	0.000029
засолка	0.000321	0.116534	0.000037
заяц	0.000641	0.116534	0.000075
званый	0.000321	0.127833	0.000041
звезда	0.000321	0.116534	0.000037
звёздный	0.000321	0.116534	0.000037
здоровый	0.000641	0.116534	0.000075
здоровье	0.000321	1.897120	0.000608
зелень	0.002885	0.094311	0.000272
зефир	0.000321	0.040822	0.000013
зима	0.001282	0.040822	0.000052
зимний	0.000641	0.051293	0.000033
золотой	0.000321	0.116534	0.000037
зря	0.000321	3.506558	0.001124
зуб	0.000321	3.506558	0.001124
иванов	0.000321	0.127833	0.000041
идеально	0.000321	1.514128	0.000485
идеальный	0.002244	0.116534	0.000261
идейка	0.000321	0.116534	0.000037
изделие	0.001923	0.116534	0.000224
икра	0.001282	0.040822	0.000052
имя	0.000321	0.030459	0.000010
инверторный	0.000321	0.127833	0.000041
ингредиент	0.001923	0.139262	0.000268
индейка	0.001923	0.094311	0.000181
индийский	0.000321	0.116534	0.000037
индилайта	0.000962	0.116534	0.000112
индиресный	0.000321	0.116534	0.000037
иногда	0.000321	1.897120	0.000608
инструкция	0.000321	0.030459	0.000010
интересно	0.000641	1.660731	0.001065
интересный	0.000321	0.916291	0.000294
иракский	0.000321	0.116534	0.000037
иранский	0.000321	0.116534	0.000037
ирландский	0.000321	0.116534	0.000037
ирушенек	0.000321	2.525729	0.000810
искренне	0.000321	0.116534	0.000037
исландский	0.000321	0.116534	0.000037
испанский	0.000321	0.116534	0.000037
испечь	0.000321	0.105361	0.000034
использоваться	0.000641	1.714798	0.001099
история	0.001923	0.116534	0.000224
италия	0.000641	0.105361	0.000068
итальянский	0.000321	0.105361	0.000034
йогурт	0.000962	0.040822	0.000039
кабачок	0.000321	0.040822	0.000013
кавказский	0.000321	0.116534	0.000037
казан	0.000321	0.116534	0.000037
казахский	0.000321	0.116534	0.000037
какао	0.000641	0.040822	0.000026
калейдоскоп	0.001282	0.116534	0.000149
калмыцкий	0.000321	0.116534	0.000037
кальмар	0.000321	0.040822	0.000013
камера	0.000321	0.116534	0.000037
канадский	0.000321	0.116534	0.000037
канал	0.000962	0.040822	0.000039
канапе	0.000641	0.040822	0.000026
капуста	0.001282	0.040822	0.000052
капустняк	0.000321	0.040822	0.000013
карамель	0.000321	0.040822	0.000013
каркасный	0.001282	0.116534	0.000149
картофель	0.001282	0.040822	0.000052
картофельный	0.000641	0.040822	0.000026
картошка	0.000962	0.040822	0.000039
кастер	0.000321	4.605170	0.001476
категория	0.001282	0.116534	0.000149
качество	0.000321	0.105361	0.000034
каша	0.002244	0.040822	0.000092
квас	0.001282	0.040822	0.000052
квасной	0.000962	0.116534	0.000112
кекс	0.000962	0.040822	0.000039
кефир	0.000321	0.040822	0.000013
кило	0.000321	4.605170	0.001476
килограмм	0.000321	2.407946	0.000772
кимчать	0.000321	0.040822	0.000013
киноа	0.000641	0.127833	0.000082
кинолента	0.000321	0.116534	0.000037
кисель	0.000641	0.040822	0.000026
китайский	0.000321	0.116534	0.000037
ккал	0.001282	2.302585	0.002952
класс	0.002885	0.116534	0.000336
кленовый	0.001603	2.659260	0.004262
клубень	0.000321	4.605170	0.001476
книга	0.000321	0.040822	0.000013
код	0.001603	2.407946	0.003859
коктейль	0.001923	0.040822	0.000079
колбаса	0.000321	0.040822	0.000013
колбасный	0.000962	0.116534	0.000112
команда	0.000641	0.127833	0.000082
коми	0.000321	0.116534	0.000037
