лемма	TF	IDF	TF-IDF
абсолютно	0.000282	1.832581	0.000517
абхазский	0.000282	0.116534	0.000033
август	0.000564	0.843970	0.000476
австралийский	0.000282	0.116534	0.000033
австрийский	0.000282	0.116534	0.000033
автоклав	0.000282	0.116534	0.000033
автор	0.000847	0.040822	0.000035
агро	0.000282	0.116534	0.000033
аджика	0.000282	0.040822	0.000012
ажур	0.000282	2.525729	0.000713
ажурный	0.000564	2.659260	0.001501
аз	0.000282	0.127833	0.000036
азербайджанский	0.000282	0.116534	0.000033
азиатский	0.000282	0.127833	0.000036
айран	0.000282	0.040822	0.000012
акватик	0.000847	0.127833	0.000108
алексей	0.000282	0.127833	0.000036
алкоголь	0.000847	0.116534	0.000099
алкогольный	0.000282	0.116534	0.000033
альянс	0.000282	0.116534	0.000033
американский	0.000564	0.116534	0.000066
английский	0.000282	0.116534	0.000033
андрей	0.000282	0.127833	0.000036
аппетитный	0.000282	1.832581	0.000517
апрель	0.000564	0.544727	0.000307
арабский	0.000282	0.116534	0.000033
аргентинский	0.000282	0.116534	0.000033
армянский	0.000282	0.116534	0.000033
ассорти	0.000564	0.116534	0.000066
атлант	0.000282	0.116534	0.000033
афганский	0.000282	0.116534	0.000033
африканский	0.000282	0.116534	0.000033
аэрогриль	0.002822	0.116534	0.000329
аэропорт	0.000282	2.525729	0.000713
баклажан	0.000282	0.040822	0.000012
балткома	0.000282	0.127833	0.000036
банк	0.000282	1.966113	0.000555
баранина	0.001129	0.116534	0.000132
басмати	0.000564	0.127833	0.000072
бастурм	0.000282	0.040822	0.000012
бастурма	0.000282	0.040822	0.000012
батончик	0.000282	0.127833	0.000036
башкирский	0.000282	0.116534	0.000033
безалкогольный	0.000282	0.116534	0.000033
безглютеновое	0.000282	0.116534	0.000033
безе	0.001129	0.040822	0.000046
безмерно	0.000282	2.659260	0.000751
белебеевский	0.000564	0.116534	0.000066
белокочанный	0.000564	0.967584	0.000546
белоруссия	0.000282	3.506558	0.000990
