лемма	TF	IDF	TF-IDF
абхазский	0.000275	0.116534	0.000032
австралийский	0.000275	0.116534	0.000032
австрийский	0.000275	0.116534	0.000032
автоклав	0.000275	0.116534	0.000032
автор	0.000275	0.040822	0.000011
агро	0.000275	0.116534	0.000032
аджика	0.000275	0.040822	0.000011
аз	0.000275	0.127833	0.000035
азербайджанский	0.000275	0.116534	0.000032
азиатский	0.000275	0.127833	0.000035
айран	0.000275	0.040822	0.000011
акватик	0.000826	0.127833	0.000106
алексей	0.000275	0.127833	0.000035
алкоголь	0.000826	0.116534	0.000096
алкогольный	0.000275	0.116534	0.000032
аллочко	0.000275	3.912023	0.001077
альтернативный	0.000275	3.912023	0.001077
альянс	0.000275	0.116534	0.000032
американский	0.000275	0.116534	0.000032
английский	0.000275	0.116534	0.000032
андрей	0.000275	0.127833	0.000035
арабский	0.000275	0.116534	0.000032
аргентинский	0.000275	0.116534	0.000032
армянский	0.000275	0.116534	0.000032
ароматный	0.000275	0.693147	0.000191
ассорти	0.000551	0.116534	0.000064
атлант	0.000275	0.116534	0.000032
афганский	0.000275	0.116534	0.000032
африканский	0.000275	0.116534	0.000032
аэрогриль	0.002753	0.116534	0.000321
баклажан	0.000275	0.040822	0.000011
балткома	0.000275	0.127833	0.000035
баранина	0.001101	0.116534	0.000128
бархатов	0.000275	3.506558	0.000965
басмати	0.000551	0.127833	0.000070
бастурм	0.000275	0.040822	0.000011
бастурма	0.000275	0.040822	0.000011
батончик	0.000275	0.127833	0.000035
башкирский	0.000275	0.116534	0.000032
бедро	0.000551	2.302585	0.001268
безалкогольный	0.000275	0.116534	0.000032
безглютеновое	0.000275	0.116534	0.000032
безе	0.001101	0.040822	0.000045
белебеевский	0.000551	0.116534	0.000064
белорусский	0.000275	0.116534	0.000032
бельгийский	0.000275	0.116534	0.000032
бендерик	0.000826	3.912023	0.003231
беременная	0.000275	0.116534	0.000032
беседин	0.000275	0.127833	0.000035
бисквит	0.000551	0.040822	0.000022
бисквитный	0.000826	0.105361	0.000087
биточек	0.000275	1.897120	0.000522
